Date,DOI,Source,Title,Abstract,Section,Citations to retracted article,Citing reasons,Sentiment (negative/neutral/positive),Mentions the article retraction,Notes
2000,10.1192/bjp.176.1.20,doi.org,Autism – an evolving concept,"Background
The rapid increase in research endeavour has not kept pace with the advent of well-publicised theories and treatments for autism.
Aims
To explore some of the newer developments in biological research into autism.
Method
A review of recent publications and presentations.
Results
The concept is shifting from the narrow perception of aloof autism, described by Kanner, to a wider one that includes a spectrum extending to a broader, subclinical phenotype. The genetic basis has been established; now we need to discover the location and interaction of the relevant sites. There is considerable interest in the bowel as a pathogenetic agent, particularly in the effects of exogenous opioids and multiple viral infection (the latter posing a public health problem). Also of concern is the role of (potentially treatable) epilepsy, analogous to the Laudau-Kleffner syndrome.
Conclusions
In the absence of a cure, the implementation of ideas will continue to outstrip factual evidence. Clinicians are challenged by the availability of information (and misinformation), particularly on the internet.
",middle section;“AETIOLOGY”;;,"More tangible has been the discovery of lymphoid hyperplasia near the ileo-caecal junction in children who had been selected on the basis of an autistic regression together with current bowel symptoms (Wakefield et al, 1998c ). The regression occurred immediately after immunisation in only one-third of the subjects, but nearly all the biopsy specimens showed evidence of measles infection (Wakefield et al, 1998a ). This suggests that measles might act in conjunction with another factor, whether genetic predisposition, intercurrent infection or multiple immunisation, to trigger a chronic inflammatory response.",qualifies;;,neutral;;,no;;,
2000,10.1080/13590840020013248,Other,"The Autism Epidemic, Vaccinations, and Mercury ",None,none,"Since many of the UK children were experiencing diarrhoea and other gastrointestinal problems, Dr Andrew Wake􏱜 eld, a gastroenterologist at the Royal Free Hospital, was consulted. 
The ensuing battle, conducted in the pages of The Lancet in articles, editorials and letters [8, 9, 10] would, if reported in detail, take more space than can possibly be devoted to it here, and is probably well known to the reader. Suf􏱜 ce it to say that the acrimonious charges and countercharges are still being heard, and the 􏱜 ght is far from over. ",obtains background from;;,neutral;;,no;;,"This article is an Editorial.;;
doubtful;;"
2000,10.1080/13590840020013257,Other,A Clinical Study of Secretin in Autism and Pervasive Developmental Delay,"Purpose: The aim of this study was to examine the clinical effect of a single dose of secretin given to patients whose disease status lay within the autistic spectrum. Design: Open, uncontrolled trial. Materials and Methods: Sixty-four patients were registered for the study. They included 3 female adults and 2 male adolescents. There was a total of 16 dropouts. Thus there were 48 evaluable patients. Each patient received a complete vial of secretin, irrespective of current age and body weight. Any existing treatment that had already been started before the study began was allowed to continue. No new treatment was permitted for a minimum period of 8 weeks when study surveillance was completed. The parents or guardians performed clinical assessment on a weekly basis, using numerical scoring of symptoms in a questionnaire. The only laboratory study performed was a hair analysis at the outset and at the completion of the 8 weeks of surveillance. Results: Of 48 evaluable patients, there were 39 whose clinical response varied from minor to major behavioral and/or bowel function improvement and 9 in whom there was no sign at all of either a behavioral or gastrointestinal response. Only a few of these patients showed significant abnormalities in hair analysis and there was no significant difference in these changes as compared with a group of children who had been seen at our clinic for reasons other than autistic spectrum. The side effects observed were temporary irritability in a few patients and exacerbation of previously quiescent seizures in one child. Conclusions: We found a clearcut population of clinical ''responders'' as compared with a much smaller group of ''non-responders.'' Little can be said about the dropout patients other than to conclude that total lack of response and expense were the most likely causes. We can certainly encourage and condone the use of secretin as a valuable weapon in attempting treatment of this devastating spectrum of disease. This study has not helped to define the indications to suggest a ''responder'' from a ''non-responder.''

",middle section;“Discussion”;;,"It is possible that other metals may play an etiologic role in some cases in a similar manner [16– 18]. There is now evidence that some of these children have had their bowel/brain disease triggered by immunizing agents [19], though this has been refuted [20]. Also, ileal-lymphoid nodular hyperplasia has been reported in other conditions [21]. ;;
",qualifies;;,neutral;;,no;;,
2000,10.1080/13590840020024994,Other,Mercury Again,None,none,"The number of children involved in it has now grown to over 1,000, and it should come to court early next year. Meanwhile Dr Andrew Wake􏱜 eld, with his new collaborator, Prof. John O’Leary of Dublin, hopes next year to publish new research which, they claim, con􏱜firms in greater detail the hypothesis set out in the 1988 Lancet paper [6]. But how does this mesh with the new, mercury-based, hypothesis of autism? 
",obtains background from;;,neutral;;,no;;,"This article is an Editorial.;;
doubtful;;"
2000,10.1007/s007870070022,doi.org,Medication treatment in subjects with autistic spectrum disorders,"Autism is a pervasive developmental disorder that is aetiologically and clinically heterogeneous. Twin and family genetic studies provide evidence for strong genetic components. An international consortium using an affected sib pair strategy has found a promising linkage to a region on chromosome 7. In 10–15% of the cases autism is due to associated medical conditions that affect normal brain functioning. Post-mortem studies on small case series report cellular abnormalities in the limbic system and cerebellum. Between 10 and 20% of subjects with autism have macrocephalia, which is in accordance with MRI findings of an increased total brain tissue volume and enlargement most prominent in the occipital and parietal lobes. The most robust and well-replicated neurobiological abnormality in autism is an elevation of whole blood serotonin found in over 30% of the patients. Pharmacological interventions with serotonin reuptake blockers or with atypical neuroleptics that block both dopamine (D2) and serotonin (5-HT2) receptors seem to offer clinical benefit and merit further study.

",middle section;“Aetiology ”;;,"Recently, attention has been drawn to a report on a consec- utive series of 12 children with a history of pervasive devel- opmental disorder who were reported to exhibit loss of acquired skills and intestinal symptoms, such as diarrhoea, abdominal pain and food intolerance. Extensive clinical investigations revealed a chronic inflammatory bowel disease, associated autism (N = 9) or related conditions (N = 3) and an absence of focal neurological abnormalities (124). According to the parents, the onset of behavioural symptoms was associ- ated with recent measles, mumps, rubella vaccination in eight children, with measles infection in one child and with otitis media in another child. ;;
",describes;;,neutral;;,no;;,
2000,10.1177/1362361300004002008,doi.org,"Feeding Patterns in Autism
",None,None,"The original theory of elevated levels of opioid-type compounds affecting neurotransmission within the central nervous system (CNS) of people with autism has been expanded (Shattock et al., 1990; Shattock and Savery, 1996; Wakefield et al., 1998) and biochemical tests are now available to establish the presence of these compounds in the urine of people with autistic spectrum dis- orders (Reichel et al., 1981; Shattock et al., 1990; Mills et al., 1998). Diet has long been suspected of being the source of these exogenously derived opioid-type compounds, with studies demonstrating a connection between the exclusion of gluten and/or casein from the diet and improve- ments in the behaviour of some children with autism (Knivsberg et al., 1990; 1995; Lucarelli et al., 1995; Whiteley et al., 1999). ;;",cites for information;;,neutral;;,no;;,This article is a commentary;;
2000,10.1177/088307380001500701,Other,Short-Term Benefit From Oral Vancomycin Treatment of Regressive-Onset Autism,"Inmostcasessymptomsofautismbegininearlyinfancy.However,asubsetofchildrenappearstodevelopnormallyuntil a clear deterioration is observed. Many parents of children with ""regressive""-onset autism have noted antecedent anti- 
biotic exposure followed by chronic diarrhea. We speculated that, in a subgroup of children, disruption of indigenous gut flora might promote colonization by one or more neurotoxin-producing bacteria, contributing, at least in part, to their autistic symptomatology. To help test this hypothesis, 11 children with regressive-onset autism w e r e recruited for a n inter- vention trial using a minimally absorbed oral antibiotic. Entry criteria included antecedent broad-spectrum antimicrobial 
exposure followed by chronic persistent diarrhea, deterioration of previously acquired skills, and then autistic features. Short-termimprovementwas notedusingmultiplepre-andpost-therapyevaluations.Theseincludedcoded,pairedvideo- tapes scored by a clinical psychologist blinded to treatment status; these noted improvement in 8 of 10 children studied. 
Unfortunately, these gains had largely waned at follow-up. Although the protocol used is not suggested as useful therapy, these results indicate that a possible gut flora-brain connection warrants further investigation, as it might lead to greater pathophysiologic insight and meaningful prevention or treatment in a subset of children with autism. (J Child Neurol 2000;15:429-435). 
",middle section;“Discussion”;;,"The apparent, though short-term, improvement during treat- ment with this minimally absorbed antibiotic is not explain- able using current conventional genetic hypotheses 17 alone for autism. Results of this preliminary study, along with previous reports of increased intestinal permeability18 and a &dquo;nonspecific colitis&dquo; in children with autism 19,&dquo; suggests a possible &dquo;gut-brain&dquo; etiologic connection in a subset of these children. Although the hypothesis that autism (in a defined sub- set of children) might be a sequela to the colonization of the intestinal tract by one or more neuro toxin-producing bac-teria is novel, published data along several paths could lend credence to the notion that an alteration in colonic flora con- tributes to autism symptoms. 
",qualifies;;,neutral;;,no;;,
2000,10.1111/j.1572-0241.2000.03247.x,Other,"Autism and the gastrointestinal tract

","The American Journal of Gastroenterology is published by Nature Publishing Group (NPG) on behalf of the American College of Gastroenterology (ACG). Ranked the #1 clinical journal covering gastroenterology and hepatology*, The American Journal of Gastroenterology (AJG) provides practical and professional support for clinicians dealing with the gastroenterological disorders seen most often in patients. Published with practicing clinicians in mind, the journal aims to be easily accessible, organizing its content by topic, both online and in print. www.amjgastro.com, *2007 Journal Citation Report (Thomson Reuters, 2008)
",None,"Others have emphasized the possible impact of a number of postnatal factors ranging from environmental toxins to dietary factors, and a variety of infectious agents. Of these, the possible relationship to casein and gluten intolerance (5), on one hand, and measles and MMR vac- cination (6), on the other, have generated particular interest. As a consequence of the former, many of these children, who often already have a very limited diet because of highly selective eating patterns, are placed on casein and gluten- free diets, rendering an already precarious dietary intake even more so.;;
However, it is the possible asso- ciation of autism with ileocolonic disease that has attracted the most attention. Wakefield et al. first reported prominent ileal lymphoid nodular hyperplasia (LNH) and ileocolitis in an uncontrolled study of 12 autistic children and went on to speculate a link to MMR vaccination (6). The same group had previously postulated a similar link between measles, MMR, and inflammatory bowel disease in adults (11, 12). ;;","obtains background from;;
describes;;","neutral;;
neutral;;",no;;,This article is an Editorial.;;
2000,10.1111/j.1572-0241.2000.03248.x,Other,"Enterocolitis in Children With Developmental Disorders

","OBJECTIVE:
Intestinal pathology, i.e., ileocolonic lymphoid nodular hyperplasia (LNH) and mucosal inflammation, has been described in children with developmental disorders. This study describes some of the endoscopic and pathological characteristics in a group of children with developmental disorders (affected children) that are associated with behavioral regression and bowel symptoms, and compares them with pediatric controls.
METHODS:
Ileocolonoscopy and biopsy were performed on 60 affected children (median age 6 yr, range 3–16; 53 male). Developmental diagnoses were autism (50 patients), Asperger's syndrome (five), disintegrative disorder (two), attention deficit hyperactivity disorder (ADHD) (one), schizophrenia (one), and dyslexia (one). Severity of ileal LNH was graded (0–3) in both affected children and 37 developmentally normal controls (median age 11 yr, range 2–13 yr) who were investigated for possible inflammatory bowel disease (IBD). Tissue sections were reviewed by three pathologists and scored on a standard proforma. Data were compared with ileocolonic biopsies from 22 histologically normal children (controls) and 20 children with ulcerative colitis (UC), scored in an identical manner. Gut pathogens were sought routinely.
RESULTS:
Ileal LNH was present in 54 of 58 (93%) affected children and in five of 35 (14.3%) controls (p < 0.001). Colonic LNH was present in 18 of 60 (30%) affected children and in two of 37 (5.4%) controls (p < 0.01). Histologically, reactive follicular hyperplasia was present in 46 of 52 (88.5%) ileal biopsies from affected children and in four of 14 (29%) with UC, but not in non-IBD controls (p < 0.01). Active ileitis was present in four of 51 (8%) affected children but not in controls. Chronic colitis was identified in 53 of 60 (88%) affected children compared with one of 22 (4.5%) controls and in 20 of 20 (100%) with UC. Scores of frequency and severity of inflammation were significantly greater in both affected children and those with UC, compared with controls (p < 0.001).
CONCLUSIONS:
A new variant of inflammatory bowel disease is present in this group of children with developmental disorders.","introduction;;
introduction;;
introduction;;
introduction;;
“MATERIALS AND METHODS”; middle section;;
“MATERIALS AND METHODS”; middle section;;
Results;;
Results;;
Final section; “Discussion”;;","We have recently described a characteristic pattern of in- testinal inflammation in a cohort of children with develop- mental disorders (1). In these children, the majority of whom had autism, a period of initial normal development was followed by developmental regression and loss of ac- quired skills, sometimes occurring precipitously over a pe- riod of days to weeks. ;;
In these children, the majority of whom had autism, a period of initial normal development was followed by developmental regression and loss of ac- quired skills, sometimes occurring precipitously over a pe- riod of days to weeks. Long-standing intestinal symptoms, as described previously (1), were typical of this group of children. These symptoms had often started at around the same time as the behavioral changes. ;;
In its persistent acquired form, ileal LNH has been reported in association with infection with human immunodeficiency virus (HIV) before the development of AIDS (10). 
The other consistent feature of the intestinal lesion was a mild-to-moderate colitis that lacked the specific diagnostic features of either Crohn’s disease or ulcerative colitis (1). This combination of features, i.e., LNH and nonspecific colitis, indicates the possibility of chronic mucosal and/or systemic immune dysregulation. ;;
These immune changes, plus the presence of myelin basic protein (MBP) antibodies (15) and inhibition of macrophage migration to MBP (16), have led some workers to suggest that the behavioural syndrome may be associated with cerebral damage due to an autoimmune response to myelin or other structural compo- nents of the CNS (15, 16). As part of our initial study (1) we undertook cerebral magnetic resonance imaging, EEG, and biochemical analysis of cerebrospinal fluid; none of these investigations indicated cerebral inflammation that would be consistent with autoimmune demyelination, although a more subtle lesion remains a possibility. Alternatively, oth- ers have proposed that some forms of autism may arise from the toxic effects of intestinal products on the developing brain (17–19), a situation that may have some overlap with hepatic enephalopathy. ;;
This study involved the analysis of data from 60 consecutive children with developmental disorders (affected children) including those 12 children described in a preliminary report (1). The median age of the children was 6 yr (range 3–16 yr) and 53 were boys, consistent with the male bias of devel- opmental disorders (20). ;;
All clinical investigations were undertaken with fully in- formed, written consent from the parents. The initial phase of these studies (1) was approved by the Ethical Practices Committee of the Royal Free Hampstead NHS Trust. There- after, children were investigated according to clinical need after a formal referral from each child’s General Practitioner or Consultant. ;;
LNH (not graded), red halo sign surrounding follicles (21), loss of vascular pattern, mucosal granularity, mucosal erythema, and presence of ulcer(s). These features, which are recognized correlates of associ- ated histopathological abnormality, were noted previously to be characteristic of this patient group (1). These features were recorded both for cases and for non-IBD controls; the data are shown in Figure 3. ;;
The differences between biopsies from affected children and from both non-IBD controls and those with ulcerative colitis are significant (p 􏰌 0.001 and p 􏰌 0.01, respectively). Qualitatively, ileal lymph nodes in those children with LNH showed marked expansion of lymphoid tissue in histological section, as described previously (1). Follicle numbers per biopsy were increased from 2–3 follicles per biopsy in normal ileal biopsies to 4–5 per biopsy in those with LNH: follicles were confluent with loss of follicle-to-follicle de- marcation. ;;
These data both confirm and extend our original observa- tions (1), and indicate a subtle and consistent pattern of intestinal pathology in this cohort of consecutively referred children. The combination of ileocolonic LNH and colitis in children with developmental disorders distinguished them from developmentally normal children with similar symp- toms (including abdominal pain and constipation) in whom LNH and histopathological change were uncommon. ;;
","obtains background from;;
discusses;;
cites for information;;
obtains background from;;
obtains background from;;
cites for information;;
obtains support from;;
obtains support from;;
extends;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;",no;;,
2000,10.1177/001857870003501203,Other,Side Effects of Vaccination: A Consumer's Guide to Cause and Effect,"Credit
This lesson is good for 0.2 CE units, with a passing grade of 70%.
Objectives
1. To describe historical examples of adverse events truly and spuriously associated with vaccination.
2. To describe a rational basis for deciding whether adverse events are causally or coincidentally linked to a medication.
3. To demonstrate how to apply this rational basis to a variety of exposure—outcome associations.",,,,,,This article is a duplicate of “10.1177/001857870003501217”.
2000,10.1177/001857870003501217,Other,"Side Effects of Vaccination: 
A Consumer’s Guide to Cause and Effect ","Credit — This lesson is good for 0.2 CE units, with a passing grade of70%.Objectives1. To describe historical examples of adverse events truly and spurious-ly associated with vaccination.2. To describe a rational basis for deciding whether adverse events arecausally or coincidentally linked to a medication.3. To demonstrate how to apply this rational basis to a variety of exposure—outcome associations.","middle section;“USING THE STEPS”;;
middle section;“USING THE STEPS”;;","Wakefield and colleagues raised concerns about MMR vaccine leading to inflammatory bowel disease (IBD, eg, ulcerative colitis, Crohn’s dis- ease).41 Wakefield’s theory is based on 12 people referred to a specialty service, even though no vaccine viruses were isolated from these patients. ;;
This is the time when MMR vaccine is administered. The other “evidence” offered for an association between MMR and autism is Wakefield’s infer- ence that bowel problems could lead to decreased absorption of nutrients, permitting developmental disorders like autism.41 This case against MMR is based on speculation and events coinciding in time, no more.51,55–56 ;;","credits;;
obtains background from;;","neutral;;
neutral;;",no;;,
