title,doi,pubmedid,date,authors,subject,venue,article_type,country,paywall,notes,other_article_info,retraction_reasons,retraction_date,retraction_notice_type,retraction_notice_doi
Theology as the hermeneutical logos of Theos: approach from its epistemological status,,,06/01/2008,Jaime Florez,(HUM) Religion; ,Theologica Xaveriana ---Pontificia Universidad Javeriana,Research Article,Mexico,No,,Lumen Gentium Catholic University Foundation Autonomous University of Cali,plagiarism of article; taken from dissertation/thesis,07/27/2018,Retraction,00000000; unavailable
Atomic resolution studies detect new biologic evidences on the Turin Shroud,10.1371/journal.pone.0180487,28666007,06/30/2017,Elvio Carlino; Liberato de Caro; Cinzia Giannini; Giulio Fanti,(HUM) Religion; (PHY) Crystallography/Spectroscopy; ,PLoS One ---PLoS,Research Article,Italy,No,,"Istituto Officina dei Materiali, Laboratorio Tecnologie Avanzate Superfici e Catalisi del Consiglio Nazionale delle Ricerche, Area Science Park–Basovizza, Trieste, Italy Istituto di Cristallografia, Consiglio Nazionale delle Ricerche, Bari, Italy Department of Industrial Engineering, Padua University, Padua, Italy; http://retractionwatch.com/2018/07/19/over-authors-objections-plos-one-retracts-paper-claiming-shroud-of-turin-showed-evidence-of-trauma/",concerns/issues about data; concerns/issues about image; concerns/issues about results; conflict of interest; lack of balance/bias issues; objections by author(s),07/19/2018,Retraction,30024956; 10.1371/journal.pone.0201272
Managing and interpreting D-Day's sites of memory: guardians of remembrance,10.1080/1743873X.2017.1279389,,01/19/2017,Warwick Frost,(HUM) History - Europe; ,Journal of Heritage Tourism ---Taylor and Francis,Review Article,Australia,Yes,,"LaTroube University, Australia",duplicate publication through error by journal/publisher; withdrawal,07/12/2018,Retraction,00000000; 10.1080/1743873X.2018.1499460
A look at Mayan artificial cranial deformation practices: morphological and cultural aspects,10.3171/2010.9.FOCUS10200,21121716,12/01/2010,Samuel Romero-Vargas; Jose Luis Ruiz-Sandoval; Arturo Sotomayor-Gonzalez; Rogelio Revuelta-Gutierrez; Miguel Angel Celis-Lopez; Juan Luis Gomez-Amador; Ulises Garcia-Gonzalez; Raul Lopez-Serna; Victor Garcia-Navarro; Diego Mendez-Rosito; Victor Correa-Correa; Sergio Gomez-Llata,(BLS) Anthropology; (BLS) Archeology; (HUM) History - South America; ,Neurosurgical Focus ---American Association of Neurological Surgeons,Review Article,Mexico,No,,"Department of Neurosurgery, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velazco Suarez,” Mexico City Department of Neurology and Neurosurgery, Hospital Civil de Guadalajara “Fray Antonio Alcalde,” Universidad de Guadalajara, Mexico",euphemisms for plagiarism; plagiarism of article,07/01/2018,Retraction,29961387; 10.3171/2018.5.FOCUS10200r
Knowledge of skull base anatomy and surgical implications of human sacrifice among pre-Columbian Mesoamerican cultures,10.3171/2012.6.FOCUS12120,22853827,08/01/2012,Raul Lopez-Serna; Juan Luis Gomez-Amador; Juan Barges-Coll; Nicasio Arriada-Mendicoa; Samuel Romero-Vargas; Miguel Ramos-Peek; Miguel Angel Celis-Lopez; Rogelio Revuelta-Gutierrez; Lesly Portocarrero-Ortiz,(BLS) Anthropology; (BLS) Archeology; (HUM) History - South America; ,Neurosurgical Focus ---American Association of Neurological Surgeons,Research Article,Mexico,No,,"Department of Neurosurgery, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velasco Suárez” Department of Spine Surgery, Instituto Nacional de Rehabilitacion, “Manuel Velasco Suárez,” Mexico City, Mexico Department of Neuroendocrinology, Instituto Nacional de Neurologia y Neurocirugia “Manuel Velasco Suárez,” Mexico City, Mexico",euphemisms for plagiarism; plagiarism of article,07/01/2018,Retraction,29961381; 10.3171/2018.5.FOCUS12120r
Organic Democracy: Political Participation and Representation in Franco’s Spain,10.5944/etfv.27.2015.15751,,12/09/2015,Miguel Angel Gimenez Martínez,(B/T) Government; (HUM) History - Europe; ,"Espacio, Tiempo y Forma ---UNED",Research Article,Spain,No,,Universidad de Castilla-La Mancha,investigation by journal/publisher; plagiarism of article,03/21/2018,Retraction,00000000; 10.5944/etfv.27.2015.15751
David Eduardo TAVAREZ (Ed.). Words and Worlds Turned Around: Indigenous Christianities in Colonial Latin America.,10.1007/s41603-018-0040-y,,03/13/2018,Marcos Verdugo,(HUM) Religion; ,International Journal of Latin American Religions ---Springer,Review Article,Brazil,No,,"Pontifical Catholic University, São Paulo, Brazil",euphemisms for plagiarism; plagiarism of article,03/13/2018,Retraction,00000000; 10.1007/s41603-018-0040-y
Why Pope Francis is Waging War on the Devil,,,08/01/2016,Thomas M Rosica,(HUM) Religion; ,Humanitas ---Pontificia Universidad Catolica de Chile,Review Article,Canada,No,,Salt and Light Catholic Media Foundation,euphemisms for plagiarism; plagiarism of article,02/27/2018,Retraction,00000000; unavailable
Divining the Real: The Film Theory and Criticism of Andre Bazin,,,12/01/2010,Robert James Cardullo,(HUM) Arts - Film Studies; ,The Midwest Quarterly ---Pittsburg State University,Review Article,Turkey,No,,"Izmir University of Economics, Turkey",plagiarism of article,01/13/2018,Retraction,00000000; unavailable
Subjectivity from a Semiotic Point of View,,,01/01/2001,Peter Johannes Schulz,(HUM) Philosophy; ,"Nordic-Baltic Summer Institute for Semiotic and Structural Studies, Part IV ---International Semiotics Institute",Book Chapter/Reference Work,Switzerland,No,,University of Lugano,plagiarism of article,01/09/2018,Retraction,00000000; unavailable
The democratic turn in the secularism-religion debate,10.3989/isegoria.2017.057.08,,01/07/2017,Diego Bermejo,(B/T) Government; (HUM) Religion; ,Isegoria: Revista de Filosofia Moral y Politica ---Consejo Superior de Investigaciones Científicas (CSIC),Research Article,Spain,No,,Universidad de Deusto,duplication of article,01/08/2018,Retraction,00000000; 10.3989/isegoria.2017.057.08
Brittany 1750 - 1950 The Invisible Nation and Brittany A Concise History,10.1093/fh/crn067,,10/24/2008,Alison Carrol,(HUM) History - Europe; ,French History ---Oxford Academic,Review Article,United Kingdom,No,,"Murray Edwards College, University of Cambridge",duplicate publication through error by journal/publisher,11/28/2017,Retraction,00000000; 10.1093/fh/crn067
Fundamentals of Electronic Resources Management,10.1016/j.acalib.2017.09.010,,10/31/2017,Madeline Kelly,(B/T) Technology; (HUM) Arts -Literature/Poetry; ,The Journal of Academic Librarianship ---Elsevier,Review Article,United States,No,,"George Mason University Libraries, Arlington, VA 22201, USA",duplicate publication through error by journal/publisher,11/01/2017,Retraction,00000000; 10.1016/j.acalib.2017.09.010
Many Europes: Rethinking multiplicity,,10.1177/1368431011432375,00000000,William Biebuyck; Chris Rumford,(HUM) History - Europe; ,European Journal of Social Theory ---SAGE Publications,Research Article,Canada,United States,Yes,"Carleton University, Canada University of London, UK",duplicate publication through error by journal/publisher,10/08/2017,Retraction,00000000; 10.1177/1368431011432375
The Study on Simulating Binaural Room Impulse Response,10.1109/ICCSIT.2010.5564505,,07/09/2010,Tian-Kui Guo; Yue-Zhe Zhao,(B/T) Technology; (HUM) Arts - Music; (PHY) Mathematics; ,2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT) ---IEEE: Institute of Electrical and Electronics Engineers,Conference Abstract/Paper,China,No,,"Experiment Teaching Department, Guangdong University of Technology, China State Key Laboratory of Subtropical Building Science, South China University of Technology, Guangzhou , China; http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",notice - limited or no information,09/07/2017,Retraction,00000000; 10.1109/ICCSIT.2010.5564505
Wassily Kandinsky’s The Yellow Sound as a total work of art,10.1007/s11059-017-0384-y,,04/04/2017,Robert James Cardullo,(HUM) Arts -Literature/Poetry; ,Neohelicon ---Springer,Review Article,Finland,No,,"Helsinki, Finland",euphemisms for plagiarism; plagiarism of article,09/07/2017,Retraction,00000000; 10.1007/s11059-017-0410-0
Case Study of Carbon Emissions from a Building’s Life Cycle Based on BIM and Ecotect,10.1155/2015/954651,,06/14/2015,Changhai Peng; Xiao Wu,(HUM) Architecture; (PHY) Engineering - General; ,Advances in Materials Science and Engineering ---Hindawi,Case Report,China,United States,No,"School of Architecture, Southeast University, Nanjing 210096, ChinaKey Laboratory of Urban and Architectural Heritage Conservation (Southeast University), Ministry of Education, Nanjing 210096, ChinaCollege of Engineering and Applied Science, University of Colorado Denver, Denver, CO 80217, USA",duplication of article,04/05/2017,Retraction,; 10.1155/2017/2193505
"Strategic Bombing, Causal Beliefs, and Double Effect",10.1007/s10790-015-9518-5,,09/10/2015,Ezio Di Nucci,(HUM) Philosophy; (SOC) Ethics/Bioethics; ,Journal of Value Inquiry ---Springer,Research Article,Denmark,Yes,,"University of Copenhagen, Copenhagen, Denmark",duplication of text; investigation by journal/publisher,03/21/2017,Retraction,; 10.1007/s10790-017-9595-8
"The Witness Set Constraint: Determiners, conservativity, witnesses",10.1093/jos/ffw009,,07/27/2016,Jordi Fortuny,(HUM) Philosophy; ,The Journal of Semantics ---Oxford Academic,Research Article,Spain,No,,"Departament de Filologia Catalana, Facultat de Filologia, Universitat de Barcelona, Gran Via de les Corts Catalanes, 585. 08007, Spain",concerns/issues about results; error in analyses; error in text; retract and replace,03/05/2017,Retraction,; 10.1093/jos/ffx002
The Cuban Revolution and historiography,10.3989/aeamer.2008.v65.i1.106,,01/01/2008,Jose Maria Aguilera Manzano,(HUM) History - North America; ,Anuario de Estudios Americanos ---Consejo Superior de Investigaciones Científicas (CSIC),Research Article,Spain,No,,"Escuela de Estudios Hispano-Americanos, CSIS, Sevilla",plagiarism of article,02/06/2017,Retraction,00000000; 10.3989/aeamer.2008.v65.i1.106
Conceptual reflections on the historical studies of Ibero-American society. Between the historical demography and the history of the population,,,10/28/2015,Sandra Fabiana Olivero Guidobono,(HUM) History - Europe; (SOC) Sociology; ,Naveg@merica ---Asociacion Espanola de Americanistas,Research Article,Spain,No,,Universidad de Sevilla,plagiarism of article,02/02/2017,Retraction,00000000; unavailable
Ceramics at the Emergence of the Silk Road: A Case from Southeastern Kazakhstan,10.1557/opl.2014.430,,05/09/2014,Maryfran Heinsch; Pamela B Vandiver; Kyra Lyublyanovics; Alice M Choyke; Perry Tourtellotte; Claudia Chang,(HUM) History - Asia; (PHY) Materials Science; ,MRS Online Proceedings Library ---Cambridge University Press,Case Report,Hungary,United States,No,"University of Chicago, Department of Anthropology, Chicago, IL 60637 University of Arizona, Department of Materials Science and Engineering, Tuscon, AZ 85721 Central European University, Department of Medieval Studies, Budapest, Hungary Sweet Briar College, Department of Anthropology, Sweet Briar, VA 24595",date of retraction/other unknown; error by journal/publisher; retract and replace,01/01/2017,Retraction,00000000; 10.1557/opl.2017.3
Country Land Building Intensity Contrast of Binzhou City Based on RS and GIS,10.2174/1874149501509010923,,10/29/2015,Jianlin Wang; Yinsheng Yang; Lei Wang,(B/T) Urban Planning; (HUM) Cartography; ,The Open Civil Engineering Journal ---Bentham Open,Research Article,China,No,,"College of Biological and Agricultural Engineering, Jilin University, Changchun 130022, China Department of Computer Science, Binzhou University, Binzhou 256600, China Department of Mathematics, Binzhou University, Binzhou 256600, China",fake peer review; investigation by journal/publisher,12/29/2016,Retraction,; 10.2174/1874149501610010883
Archival institutions in the information society and the need for systemic documentary management,,,01/01/2015,Jorge Sanata Anna; Luiz Carlos Silva,(B/T) Technology; (HUM) Arts -Literature/Poetry; ,Agora ---Federal University of Santa Catarina,Research Article,Brazil,No,,Federal University of Espírito Santo (UFES) Brazil,duplication of article,12/09/2016,Retraction,00000000; unavailable
Blasts from the Past: War and Fracture in the International System,10.1093/ips/olw019,,11/11/2016,Jens Bartelson,(HUM) History - General; (SOC) Military/Naval Studies; ,International Political Sociology ---Oxford Academic,Article in Press,Sweden,Yes,,Lund University,error by journal/publisher; notice - lack of; withdrawal,12/01/2016,Research Article; Retraction,
A systematic review on post-implementation evaluation models of enterprise architecture artefacts,10.1007/s10796-016-9716-0,,11/12/2016,Fatemah Nikpay; Rodina Ahmad; Babak Darvish Rouhani; Shahaboddin Shamshirband,(B/T) Computer Science; (HUM) Architecture; ,Information Systems Frontiers ---Springer,Review Article,Iran,Malaysia,No,"Faculty of Computer Science & Information Technology, University of Malaya, 50603, Kuala Lumpur, Malaysia Department of Computer Engineering & Information Technology, Payame Noor University, Tehran, Iran",concerns/issues about authorship; date of retraction/other unknown; plagiarism of article,11/12/2016,Retraction,00000000; 10.1007/s10796-016-9716-0
Thou shalt not suffer a witch to live (Exod 22:18) and contemporary Akan Christian belief and practice: A translational and hermeneutical problem,10.17159/2312-3621/2016/v29n1a3,,01/01/2016,Yaw Adu-Gyamfi,(HUM) Religion; (SOC) Linguistics; ,Old Testament Essays ---The Old Testament Society of Southern Africa (OTSSA),Research Article,Ghana,South Africa,No,University of the Western Cape [South Africa] Ghana Baptist University College,euphemisms for plagiarism; plagiarism of text,11/07/2016,Retraction,
The Voluntary Nature of Ethical-Moral Behavior in the 21st Century (or in Any Other): A Personal Perspective,10.4172/2155-9627.1000286,000000,10/01/2016,Thomas Spears,(HUM) Philosophy; (SOC) Ethics/Bioethics; (SOC) Sociology; ,Journal of Clinical Research & Bioethics ---OMICS International,Article in Press,Canada,No,,"Lakes and Freshwater Biology Office, University of Ottawa-Carleton, Canada; http://retractionwatch.com/2016/11/30/surprise-paper-retracted-author-tells-journal-pile-dung/",hoax paper; withdrawal,11/06/2016,Retraction,00000000; 10.4172/2155-9627.1000286
Historical Perspective on Public Support for the Draft: War Costs and Military Service,10.1093/jogss/ogw014,,08/26/2016,Benjamin O Fordham,(B/T) Government; (HUM) History - North America; (SOC) Military/Naval Studies; ,Journal of Global Security Studies ---Oxford University Press,Research Article,United States,Unknown,,"Binghampton University, State University of New York (SUNY)",error by journal/publisher; retract and replace,10/05/2016,Retraction,
"Computational fluid dynamics, a building simulation tool for achieving sustainable buildings",10.1016/j.rser.2015.12.198,,05/01/2016,Yatheshth Anand; Ankush Gupta; Satish K Tyagi; Sanjeev Anand,(B/T) Technology; (HUM) Architecture; (PHY) Engineering - Structural; ,Renewable and Sustainable Energy Reviews ---Elsevier,Review Article,India,No,,"School of Energy Management, Shri Mata Vaishno Devi University, Katra 182320, J&K, India Sardar Swaran Singh National Institute of Renewable Energy, Kapurthala 144601 Punjab, India",breach of policy by author; plagiarism of article; plagiarism of text,10/01/2016,Retraction,; 10.1016/j.rser.2016.06.032
Culture as Constitutive: An Exploration of Audience and Journalist Perceptions of Journalism in Samoa,10.1111/cccr.12076,,10/09/2014,Linda Jean Kenix,(HUM) Journalism; (SOC) Sociology; ,"Communication, Culture & Critique ---Wiley",Research Article,New Zealand,No,,"Department of Media and Communication, University of Canterbury, Christchurch 8120, New Zealand",duplication of text; ethical violations by author; euphemisms for duplication,09/07/2016,Retraction,; 10.1111/cccr.12158
Social mobility in the early middle ages,10.1016/j.eeh.2016.08.001,,08/24/2016,Nicholas J Meinzer,(HUM) History - General; (SOC) Sociology; ,Explorations in Economic History ---Elsevier,Research Article,Germany,No,,"Eberhard Karls Universität Tübingen, Germany",date of retraction/other unknown; notice - limited or no information; retract and replace; temporary removal,08/24/2016,Retraction,00000000; 10.1016/j.eeh.2016.08.001
The spiritual reform of Saint Teresa of Jesus and her relationship with the courtly factions of the Spanish monarchy,10.3989/hs.2015.013,,07/01/2015,Jose Martinez Millan,(HUM) Religion; ,Hispania Sacra ---Consejo Superior de Investigaciones Científicas (CSIC),Research Article,Spain,No,,"Instituto Universitario la Corte en Europa, UniversIdad Autonoma de Madrid",plagiarism of article,07/19/2016,Retraction,00000000; 10.3989/hs.2015.013
Output and workforce in the Jesuit haciendas of colonial Buenos Aires: La Chacarita and Las Conchas in the eighteenth century,10.3989/aeamer.2012.2.09,,07/01/2012,Sandra Fabiana Olivero Guidobono,(HUM) History - South America; (HUM) Religion; ,Anuario de Estudios Americanos ---Consejo Superior de Investigaciones Científicas (CSIC),Review Article,Spain,No,,Universidad de Sevilla,duplication of article,06/14/2016,Retraction,00000000; 10.3989/aeamer.2012.2.09
A physiological understanding on the concept of Alochaka Pitta,,,05/01/2016,Kamath Nagaraj,(HSC) Medicine - Alternative; (HSC) Medicine - General; (HUM) Religion; ,International Ayurvedic Medical Journal ---Ayurvedic Medical Journal,Review Article,India,Unknown,,"Department of Shareera Kriya, Karnataka Ayurveda Medical College, Mangalore – 575006Karnataka, India",date of retraction/other unknown; investigation by journal/publisher; plagiarism of text,05/01/2016,Retraction,00000000; unavailable
Role of Methodology in Action Research,10.1111/1467-9752.12181,,03/20/2016,Kubilay Kaptan,(HUM) Philosophy; (SOC) Education; ,Journal of Philosophy of Education ---Wiley,Research Article,Turkey,No,,"Civil Engineering Department, Beykent University, Istanbul. Turkey; http://retractionwatch.com/2017/06/28/plagiarism-costs-author-five-papers-five-different-journals/",date of retraction/other unknown; euphemisms for plagiarism; plagiarism of article,03/20/2016,Retraction,00000000; 10.1111/1467-9752.12181
A Participatory Iterative Mapping Approach and Evaluation of Three Machine Learning Algorithms for Accurate Mapping of Cropping Patterns in a Complex Agro-Ecosystems,10.4236/ars.2016.51001,,01/25/2016,Gudina Legese Feyisa; Leo Palao; Andy Nelson; Khin Thawda Win; Kin Nge Htar; Murali Krishna Gumma; David E Johnson,(B/T) Computer Science; (B/T) Technology; (BLS) Agriculture; (HUM) Cartography; ,Advances in Remote Sensing ---Scientific Research Publishing (SCIRP),Research Article,India,Myanmar (formerly Burma),Philippines; No,"International Rice Research Institute (IRRI), Metro Manila, Philippines International Rice Research Institute (IRRI), Myanmar Office, Nay Pyi Taw, Myanmar International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru, India",notice - limited or no information; unreliable results,02/15/2016,Retraction,; 10.4236/ars.2016.51001
The Rhetoric of Political Conservationism: The Post-Reagan Era,10.4236/jss.2013.13005,,03/01/2013,Himanshi Raizada,(HUM) History - North America; (SOC) Political Science; ,Open Journal of Social Sciences (JSS) ---Scientific Research Publishing (SCIRP),Research Article,United States,No,,"Lamar University, Beaumon, USA",plagiarism of article; results not reproducible,01/15/2016,Retraction,00000000; 10.4236/jss.2013.13005
Michael Baius (1513–89) and the Debate on ‘Pure Nature’: Grace and Moral Agency in Sixteenth-Century Scholasticism,10.1007/1-4020-3001-0_4,,01/01/2005,Martin William Francis Stone,(HUM) History - Europe; (HUM) Philosophy; ,Moral Philosophy on the Threshold of Modernity ---Springer,Book Chapter/Reference Work,Belgium,No,,Katholieke Universiteit Leuven; http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,concerns/issues about referencing/attributions; euphemisms for plagiarism; investigation by company/institution; plagiarism of text,01/01/2016,Retraction,00000000; 10.1007/1-4020-3001-0_16
On ‘presence’ and conversing with the past: do historians communicate with the past?,10.1080/13642529.2014.915496,,05/12/2014,Alun Munslow,(HUM) History - General; ,Rethinking History: The Journal of Theory and Practice ---Taylor and Francis,Review Article,United Kingdom,No,,"UK Editor, Rethinking History: The Journal of Theory & Practice",duplicate publication through error by journal/publisher,01/01/2016,Retraction,00000000; 10.1080/13642529.2014.915496
The Communication of Diagnostic Information by Doctors to Patients in the Consultation,,,01/01/2005,Peter Johannes Schulz,(HSC) Medicine - General; (HUM) History - General; ,Bordering Biomedicine ---Brill,Book Chapter/Reference Work,Switzerland,No,,The University of Lugano (Università della Svizzera Italiana) Switzerland; http://retractionwatch.com/2016/04/18/communications-researcher-loses-two-book-chapters-investigated-for-plagiarism/,complaints about author; euphemisms for plagiarism; investigation by company/institution; plagiarism of article,01/01/2016,Retraction,00000000; unavailable
The mystery of reincarnation,10.4103/0019-5545.105519,23858250,01/01/2013,Anil Kumar Mysore Nagaraj; Raveesh Bevinahalli Nanjegowda; S M Purushothama,(HSC) Medicine - Psychiatry; (HUM) Philosophy; (HUM) Religion; ,Indian Journal of Psychiatry ---Wolters Kluwer - Medknow,Review Article,India,No,,"Department of Psychiatry, Mysore Medical College and Research Institute, Mysore, Karnataka, India Department of Physiology, Mysore Medical College and Research Institute, Mysore, Karnataka, India; http://retractionwatch.com/2016/02/01/wikipedia-page-reincarnated-as-paper-journal-retracts-reincarnation-paper-for-plagiarism/",euphemisms for plagiarism; plagiarism of text,12/15/2015,Retraction,26816443; 10.4103/0019-5545.171860
Clean,10.1007/s10912-011-9141-9,,02/02/2010,Stacy R Nigliazzo,(HUM) Arts -Literature/Poetry; ,Journal of Medical Humanities ---Springer,Research Article,United States,No,,"Bryan, TX 77808, USA",duplicate publication through error by journal/publisher,12/01/2015,Retraction,00000000; 10.1007/s10912-009-9104-6
People Say There Are No Accidents: Poetry and Commentary,10.1007/s10912-009-9096-2,,01/14/2010,Caleb Gardner; Ladan Golestaneh; Baljean Dhillon; Audrey Shafer,(HUM) Arts -Literature/Poetry; (SOC) Linguistics; ,Journal of Medical Humanities ---Springer,Research Article,United Kingdom,United States,No,"Studio 7 Arts, 7 Standish St., Cambridge, MA 02138, USA Renal, Montefiore Medical Center, 111 East 210th St, Bronx, NY 10467, USA Ophthalmology, Royal Infirmary, University of Edinburgh, Princess Alexandra Eye Pavilion, Edinburgh, UK VAPAHCS / Stanford, Anesthesia 112A, 3801 Miranda Ave, Palo Alto, CA 94304, USA",duplicate publication through error by journal/publisher,12/01/2015,Retraction,; 10.1007/s10912-009-9096-2
Seasons,10.1007/s10912-010-9122-4,,09/07/2010,Jonathan Reisman,(ENV) Climatology; (HUM) Arts -Literature/Poetry; ,Journal of Medical Humanities ---Springer,Commentary/Editorial,United States,Yes,,"Cambridge, MA, USA",duplication of article,12/01/2015,Retraction,; 10.1007/s10912-010-9122-4
Child Farm Laborers,10.2105/AJPH.2015.302623,25973808,05/14/2015,Aung Zaw Win,(BLS) Anthropology; (HUM) History - United States; ,American Journal of Public Health ---American Public Health Association,Review Article,United States,No,,"Notre Dame de Namur University, Belmont, CA; http://retractionwatch.com/2015/10/29/retracted-child-labor-paper-was-improperly-attributed-copied-text-verbatim/",plagiarism of text,08/01/2015,Retraction,26158234; 10.2105/AJPH.2015.1057.1726
Two thinks at a time,10.1080/14788810903264795,,11/30/2009,Mustapha Marrouchi,(HUM) Arts -Literature/Poetry; (HUM) Philosophy; ,Atlantic Studies ---Taylor and Francis,Research Article,United States,Yes,,"Department of English, University of Nevada Las Vegas, USA; http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",breach of policy by author; lack of approval from company/institution; plagiarism of text,07/24/2015,Retraction,; 10.1080/14788810.2015.1044242
A Passion for Excess or Just ‘Another Way of Telling',,,06/01/2010,Mustapha Marrouchi,(HUM) Arts -Literature/Poetry; ,College Literature ---Johns Hopkins University Press,Research Article,United States,No,,"UNLV , Nevada; http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",investigation by company/institution; plagiarism of article,06/01/2015,Retraction,00000000; 10.1353/lit.2015.0029
"Cry No More For Me, Palestine - Mahmoud Darwish",,,09/01/2011,Mustapha Marrouchi,(HUM) Arts -Literature/Poetry; ,College Literature ---Johns Hopkins University Press,Research Article,United States,No,,"UNLV , Nevada; http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",investigation by company/institution; plagiarism of article,06/01/2015,Retraction,00000000; 10.1353/lit.2015.0029
Introduction: Embargoed Literature: Arabic,,,10/01/2010,Mustapha Marrouchi,(HUM) Arts -Literature/Poetry; ,College Literature ---Johns Hopkins University Press,Research Article,United States,No,,"UNLV , Nevada; http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",investigation by company/institution; plagiarism of article,06/01/2015,Retraction,00000000; 10.1353/lit.2015.0029
Errance et transgressions raciniennes: Pour une nouvelle semiotique du discours tragique,10.1080/00397700109598531,,01/01/2001,Richard Lawrence Etienne Barnett,(HUM) Arts -Literature/Poetry; ,Symposium: A Quarterly Journal in Modern Literatures ---Taylor and Francis,Review Article,United States,No,,"Marygrove College, Carnegie and Danforth Foundations",duplication of article; investigation by journal/publisher,05/11/2015,Retraction,00000000; 10.1080/00397709.2015.1044881
Le simulacra inaugural: Micro-lecture camusienne,10.1080/00397709909598513,,03/01/1999,Richard Lawrence Etienne Barnett,(HUM) Arts -Literature/Poetry; ,Symposium: A Quarterly Journal in Modern Literatures ---Taylor and Francis,Review Article,United States,No,,"Marygrove College, Carnegie and Danforth Foundations",investigation by journal/publisher; plagiarism of article,05/11/2015,Retraction,00000000; 10.1080/00397709.2015.1044880
"Estimation of flood environmental effects using flood zone mapping techniques in Halilrood Kerman, Iran",10.1186/s40201-014-0153-z,25649059,12/27/2014,Siamak Boudaghpour; Majid Bagheri; Zahra Bagheri,(HSC) Public Health and Safety; (HUM) Cartography; (PHY) Hydrology; ,Journal of Environmental Health Science & Engineering ---BioMed Central (BMC),Research Article,Iran,No,,"Department of Civil Engineering, K.N. Toosi University of Technology Department and Faculty of Basic Sciences, PUK University; http://retractionwatch.com/2015/06/03/flood-paper-washed-away-after-oversight-leads-to-publication-of-wrong-manuscript/",duplicate publication through error by journal/publisher; miscommunication by author,04/17/2015,Retraction,25883788; 10.1186/s40201-015-0182-2
Publishing in the Journal of Hydrologic Engineering,10.1061/(ASCE)HE.1943-5584.0001128,,11/06/2014,Rao S Govindaraju; Richard H McCuen; Mohamed M Hantush,(HUM) Journalism; (PHY) Hydrology; ,Journal of Hydrologic Engineering ---American Society of Civil Engineers,Commentary/Editorial,United States,No,,"Purdue Univ., West Lafayette, IN 47907 Univ. of Maryland, College Park, MD 20742 U.S. Environmental Protection Agency, Cincinnati, OH 45268; http://retractionwatch.com/2015/06/17/retraction-after-engineering-journal-presents-new-publishing-guidelines-twice/",duplicate publication through error by journal/publisher,04/03/2015,Guideline; Retraction,00000000; 10.1061/(ASCE)HE.1943-5584.0001235
"Anticancer Activity of MS-275, A Novel Histone Deacetylase Inhibitor, Against Human Endometrial Cancer Cells",,16619490,03/01/2006,Noriyuki Takai; Tami Ueda; Masakazu Nishida; Hisashi Narahara,(BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Genetics; (HSC) Medicine - Pathology; (HSC) Medicine - Pharmacology; (HUM) History - South America; (PHY) Chemistry; ,Anticancer Research: International Journal of Cancer Research and Treatment ---The International Institute of Anticancer Research,Research Article,Japan,No,,"Department of Obstetrics and Gynecology, Oita University Faculty of Medicine, Oita, Japan; http://retractionwatch.com/2015/07/20/retractions-9-10-and-11-appear-for-gynecologic-cancer-researcher-noriyuki-takai/",notice - limited or no information,04/01/2015,Retraction,25862918
The Examples of the Studio Approach that Based on Metaphors,10.1016/j.sbspro.2015.01.949,,02/12/2015,Emine Yildiz Kuyrukcu; Zafer Kuyrukcu,(HUM) Architecture; ,Procedia - Social and Behavioral Sciences ---Elsevier,Research Article,Turkey,No,,"Research Assist, Selcuk University, Architecture Faculty, Department of Architecture, 42003 Konya, Turkey",plagiarism of article,03/29/2015,Retraction,00000000; 10.1016/j.sbspro.2015.01.949
Later Scholastics: Spanish Economic Thought in the XVIth and XVIIth Centuries,,,12/01/1997,Francisco Gómez Camacho,(B/T) Business - Economics; (HUM) History - Europe; ,Ancient and Medieval Economic Ideas and Concepts of Social Justice ---Brill,Book Chapter/Reference Work,Unknown,No,,Unavailable; http://retractionwatch.com/2015/07/20/two-retractions-cost-economic-historian-book-chapter-and-journal-article/,euphemisms for plagiarism; plagiarism of text,03/17/2015,Retraction,00000000; unavailable
On the Illuminationist Approach to Imaginal Power: Outline of a Perspective,10.1007/s11245-007-9015-y,,06/27/2007,Mahmoud Khatami,(HUM) Philosophy; ,Topoi ---Springer,Research Article,Iran,Yes,,"The University of Tehran, Tehran, Iran",euphemisms for plagiarism; plagiarism of article,02/06/2015,Retraction,; 10.1007/s11245-015-9305-8
