citing_doi,citing_title,citing_author,citing_publication_year,cited_doi,cited_publication_year,cited_retraction_year
10.1046/j.0265-0215.2000.00793.x,From Which Countries Do Chairpersons And Invited Speakers At Important Anaesthesia And Intensive Care Meetings Come?,"Boldt, J.; Maleck, W.",2001,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/s00101-005-0892-4,"Anästhesiologische Molekularmedizinische Forschung In Deutschland, Österreich Und Der Schweiz","Schreiber, K.; Kindler, C. H.",2005,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/s00101-014-2298-7,Publikationsleistungen Der Universitätskliniken Für Anästhesiologie,"Putzer, G.; Ausserer, J.; Wenzel, V.; Pehböck, D.; Widmann, T.; Lindner, K.; Hamm, P.; Paal, P.",2014,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1097/ccm.0b013e318186aec8,Variation In Critical Care Services Across North America And Western Europe*,"Wunsch, Hannah; Angus, Derek C.; Harrison, David A.; Collange, Olivier; Fowler, Robert; Hoste, Eric A. J.; De Keizer, Nicolette F.; Kersten, Alexander; Linde-Zwirble, Walter T.; Sandiumenge, Alberto; Rowan, Kathryn M.",2008,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1007/s10792-008-9278-3,Worldwide Geographical Distribution Of Ophthalmology Publications,"Guerin, Marc B.; Flynn, Thomas H.; Brady, Janice; Oâ€™ Brien, Colm J.",2008,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.3171/jns.2004.100.1.0073,What We Research: Survey Of American Association Of Neurological Surgeons And Congress Of Neurological Surgeons Member Publications,"Burnett, Mark G.; Stein, Sherman C.; Grady, M. Sean",2004,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1002/bjs.5571,Geographic Origin Of Publications In Surgical Journals,"Van Rossum, M.; Bosker, B. H.; Pierik, E. G. J. M.; Verheyen, C. C. P. M.",2007,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1213/ane.0b013e31818f0e89,Subspecialty Impact Factors: The Contribution Of Pediatric Anesthesia And Pain Articles,"Ramsdell, Robert; Lerman, Jerrold; Pickhardt, Donald; Feldman, Doron; Foster, James; Houle, Timothy T.",2009,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1186/s40560-015-0106-3,A Survey On The Resources And Practices In Pediatric Critical Care Of Resource-Rich And Resource-Limited Countries,"Tripathi, Sandeep; Kaur, Harsheen; Kashyap, Rahul; Dong, Yue; Gajic, Ognjen; Murthy, Srinivas",2015,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1097/00003643-200103000-00011,From Which Countries Do Chairpersons And Invited Speakers At Important Anaesthesia And Intensive Care Meetings Come?,"Boldt, J.; Maleck, W.",2001,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1097/00003643-200805001-00733,Anaesthesia: Representation In The General Medical Journals,"Green, J.; Kumar, S.",2008,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1034/j.1399-6576.2003.00137.x,Citation Classics In Anaesthesia And Pain Journals: A Literature Review In The Era Of The Internet,"Terajima, K.; Ã…neman, A.",2003,10.1213/00000539-199905000-00038,05/01/1999,10/23/2020
10.1161/jaha.119.014602,"Retraction To: Diversity, Inclusion, And Equity: Evolution Of Race And Ethnicity Considerations For The Cardiology Workforce In The United States Of America From 1969 To 2019",,2020,10.1161/JAHA.120.015959,03/24/2020,08/06/2020
10.1007/978-3-030-46711-1_7,Template Plagiarism,"Dougherty, M. V.",2020,10.1163/22102396-04804005,12/01/2014,02/04/2019;; 07/16/2020
10.1177/1359457519888392,Text Watch,"Strange, John",2019,10.1097/MD.0000000000016495,08/01/2019,03/01/2020
10.1097/md.0000000000019634,Randomized Controlled Evaluation Of The Effect Of Music Therapy With Cognitive-Behavioral Therapy On Social Anxiety Symptoms: Retraction,,2020,10.1097/MD.0000000000016495,08/01/2019,03/01/2020
10.1097/md.0000000000021535,Efficacy Of Music-Based Cognitive Behavior Therapy On The Management Of Test-Taking Behavior Of Children In Basic Science Using A Randomized Trial Group: Implication For Community Development,"Agboeze, Matthias U.; Ugwuanyi, Christian S.; Okeke, Chinedu I.O.; Ugwu, Gloria C.; Obikwelu, Chizoba L.; Obiozor, Elizabeth E.; Oyigbo, Dorida N.; Mbam, David",2020,10.1097/MD.0000000000016495,08/01/2019,03/01/2020
10.1215/9781478012603-001,Introduction,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-002,Annihilation,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-003,Urban Fragments 1,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-004,Evacuation,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-005,Urban Fragments 2,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-006,Solidarity,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-007,Spirited Internationalism,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-008,Urban Fragments 3,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-009,Rational Planning,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-010,Urban Fragments 4,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-011,Utopian Housing,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-012,Indiscipline,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-014,Renovation,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-015,Revaluation,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-016,On The Future Of Utopias Past,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-017,Notes,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.1215/9781478012603-018,References,,2020,10.1080/1462740500061160,05/01/2005,02/10/2020
10.2466/pms.71.5.199-209,Sport Activity And Personality As Elements In Preventing Cancer And Coronary Heart Disease,"Grossarth-Matice, R.",1990,10.2466/pr0.1990.66.2.355,04/01/1990,02/10/2020
10.2466/pr0.85.6.505-517,"Associations Among Behavior, Personality, And Traditional Risk Factors For Coronary Heart Disease: A Study At A Primary Health Care Center In Mid-Norway","Espnes, Geir Arild",1999,10.2466/pr0.1990.66.2.355,04/01/1990,02/10/2020
10.2466/pr0.1990.67.3.1024,"Personality, Smoking, And Alcohol As Synergistic Risk Factors For Cancer Of The Mouth And Pharynx","Grossarth-Maticek, R.; Eysenck, H. J.",1990,10.2466/pr0.1990.66.2.355,04/01/1990,02/10/2020
10.1177/00332941930733pt101,Prediction Of Cancer And Coronary Heart Disease As A Function Of Method Of Questionnaire Administration,"Grossarth-Maticek, R.; Eysenck, H. J.; Barrett, P.",1993,10.2466/pr0.1990.66.2.355,04/01/1990,02/10/2020
10.1177/00332941930733pt134,Prediction Of Cancer And Coronary Heart Disease As A Function Of Method Of Questionnaire Administration1,"Grossarth-Maticek, R.; Eysenck, H. J.; Barrett, P.",1993,10.2466/pr0.1990.66.2.355,04/01/1990,02/10/2020
10.1109/icnc.2009.129,Notice Of Retraction: A Comparison Of Perceptions On The Investment Theory Of Creativity Between Chinese And American,"Liu, Pingping; Zhang, Xingli; Shi, Jiannong",2009,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/icalt.2014.149,Exploring Learners' Cognitive Processing Behavioral Patterns Of A Collaborative Creativity Project Using Facebook To Support The Online Discussion,"Wang, Shu-Ming; Hou, Huei-Tse",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/ieem.2017.8290199,Creativity In Organization: A Literature Review,"Indriartiningtias, R.; Subagyo; Hartono, B.",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.36345/kacst.2010.28.6.010,A Survey Of Management Practices In Management For Creativity In Korean Firms,Kim Seonmin; Oh Hyung Sool; 성백서,2010,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s13132-019-00623-2,Micro-Foundation Of Knowledge Creation Theory: Development Of A Conceptual Framework Theory,"Bolade, Sunday; Sindakis, Stavros, 0000-0002-3542-364X",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.17478/jegys.673022,Ercore Learning Model To Improve Creative-Thinking Skills Of Preservice Biology Teachers,"Nur, Syamsiara; ZubaiÌ‡dah, Siti; Mahanal, Susriyati; Rohman, Fatchur",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/1360144x.2020.1712210,Failing To Learn And Learning To Fail â€“ Exemplars Of Practice From The Creative Industries,"Thorley, Mark",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-030-38129-5_11,Creative Minds Of Leaders In Psychobiographical Perspectives: Exploring The Life And Work Of Christiaan Barnard And Angela Merkel,"Mayer, Claude-Hélène; Van Niekerk, Roelf",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/2515127420912503,Building Capacity For Creativity: Rediscovering The Inner “Superhero” As A Mechanism For Developing A Creative Mindset For Entrepreneurial Problem-Solving,"Fleck, Emma, 0000-0002-5810-9768; Asmuth, Jennifer",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-030-35574-6_23,The Success And Failures Of Michael Jackson. A Psychobiography Through The Lens Of The Trickster Archetype,"Mayer, Claude-Hélène",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1321/2/022063,Development Of 3Cm (Cool-Critical-Creative-Meaningful) Learning Model To Increase Creative Thinking Skill,"Wahyudi; Waluya, S B; Suyitno, H; Isnarto",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/ssm.12355,Development And Validation Of A 21St Century Skills Assessment: Using An Iterative Multimethod Approach,"Sondergeld, Toni A., 0000-0001-7264-5607; Johnson, Carla C.",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1386/jmte_00004_1,Synergy In The Composition Classroom: Powerful Learning Through Technology And Instructional Design,"Heil, Leila, 0000-0003-3923-1896",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/1354856519880791,Player Conceptualizations Of Creativity In Digital Entertainment Games,"Hall, Johanna; Stickler, Ursula; Herodotou, Christothea; Iacovides, Ioanna",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.2478/v10195-011-0042-5,Correlation Between Experiences Of Artistic Creative Self-Expression And Life Experiences In Crisis Conditions,"Kalēja-Gasparoviča, Daiga",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-030-47415-7_96,Development Of Studentâ€™S Creativity By Means Of Reflective Technologies In Educational Information Environment,"Barysheva, Tamara A., 0000-0003-2572-2985; Gogoleva, Valentina V., 0000-0001-8770-8885; Zyabkina, Tatyana F., 0000-0002-8194-5350; Maksimova, Elena V., 0000-0002-0178-3997",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1521/2/022012,Creative Thinking Skills Of Prospective Physics Teacher,"Rizal, R; Rusdiana, D; Setiawan, W; Siahaan, P",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1521/3/032036,An Analysis Of Tenth Grade Studentsâ€™ Mathematical Creative Thinking Ability In Vector,"Hilmi, Y; Usdiyana, D",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1521/4/042121,Effect Of Verbal Creativity On Problem Solving Abilities Of Junior High School Students,"Rosidi, I; Hidayati, Y; Hadi, W P",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.15688/lp.jvolsu.2019.4.11,Creativity As A Form Of Creation Of Information Epoch,"Kostiuk, Alisa, 0000-0002-4090-0199",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/cs.2020.11027,Enhancing Creativity And Problem Solving Skills Through Creative Problem Solving In Teaching Mathematics,"Khalid, Madihah, 0000-0003-2798-3628; Saad, Supiah; Abdul Hamid, Siti Rafiah, 0000-0002-6721-2652; Ridhuan Abdullah, Muhammad, 0000-0001-5537-8383; Ibrahim, Hasniza, 0000-0003-1044-9445; Shahrill, Masitah, 0000-0002-9395-0798",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3390/su12093605,(Un)Sustainable Creativity? Different Manager-Employee Perspectives In The Finnish Technology Sector,"Lemmetty, Soila, 0000-0003-3367-8718; GlÄƒveanu, Vlad Petre, 0000-0002-6029-6718; Collin, Kaija; Forsman, Panu, 0000-0002-5283-0474",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3390/su12104203,Creative Talent And Personality: A Primary Education Study,"Hernández Ortiz, Ana F., 0000-0003-1366-3746; López-Martínez, Olivia; Corbalán Berná, Francisco J., 0000-0001-6614-0522",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1075/ml.00018.kor,On The Influence Of Creativity Upon The Interpretation Of Complex Words,"Körtvélyessy, Lívia; Štekauer, Pavol; Kačmár, Pavol",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s10648-020-09547-9,Does The Fourth-Grade Slump In Creativity Actually Exist? A Meta-Analysis Of The Development Of Divergent Thinking In School-Age Children And Adolescents,"Said-Metwaly, Sameh; Fernández-Castilla, Belén; Kyndt, Eva; Van Den Noortgate, Wim; Barbot, Baptiste, 0000-0002-5096-2596",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/9781119568124.ch30,Creativity,"Richard, VÃ©ronique; Runco, Mark A.",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/jmo.2020.10,Work Reflection During Leisure Time And Employee Creativity: The Role Of Psychological Capital,"Wang, Zhining, 0000-0001-9830-0842; Meng, Lijun; Cai, Shaohan; Jiang, Ling (Alice)",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/jocb.464,Decision‐Making In A Choreographic Creative Process: A Quantitative Approach,"Fonseca, Ana R.; Abril‐De‐Abreu, Rodrigo; Fernandes, Carla",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/caim.12391,Transition Rather Than Balance: Organizing Constraints For Collective Creativity In Pharmaceutical Development,"Vogelgsang, Lukas, 0000-0002-4761-8356",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/1932202x20918203,"Identifying Exceptional Talent In Science, Technology, Engineering, And Mathematics: Increasing Diversity And Assessing Creative Problem-Solving","Maker, C. June, 0000-0002-3938-8917",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1386/josc_00022_1,Creativity And The Unconscious In The Screenwriting Classroom: A Review Of The Literature,"Greenwood, Nell; Gibson, Robyn",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3389/fpsyg.2020.575067,The Big Bang Of Originality And Effectiveness: A Dynamic Creativity Framework And Its Application To Scientific Missions,"Corazza, Giovanni Emanuele; Lubart, Todd",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/978-1-7998-3473-1.ch128,Strategic Thinking,"Camisón, César",2021,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3390/jintelligence8040037,The Influence Of Situational Cues On Childrenâ€™S Creativity In An Alternative Uses Task And The Moderating Effect Of Selective Attention,"Van Dijk, Marloes; Blom, Elma; Kroesbergen, Evelyn H.; Leseman, Paul P. M.",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/15505170.2020.1808126,Cultivating Creativity In A High-Performing Education System: The Example Of Singapore,"Tan, Charlene; Ng, Connie S. L.",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4000/rfp.5130,Créativité Et Apprentissage : Dilemme Et Harmonie,"Capron Puozzo, Isabelle",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1108/ijshe-06-2019-0198,Schemata And Creative Thinking Ability In Cool-Critical-Creative-Meaningful (3Cm) Learning,"Wahyudi, Wahyudi; Waluya, Stevanus Budi; Suyitno, Hardi; Isnarto, Isnarto",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-15347-6_353,Identifying And Assessing Creativity,"Shaheen, Robina",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.46840/ec.2018.10.03,Macrodatos Y Creatividad En La Industria 4.0: Un Binomio Expansivo,"Quiñones Gómez, Juan Carlos, 0000-0003-3768-6686",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s40692-020-00175-4,Effects Of An Interest-Driven Creation Approach On Studentsâ€™ Mobile Learning Performance And Creativity In Learning Science In A Science Museum,"Zheng, Lanqin; Liu, Renxue; Zhang, Xuan",2020,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2016.1195651,Individual Learning Styles And Creativity,"Sitar, Aleša Saša; Černe, Matej; Aleksić, Darija; Mihelič, Katarina Katja",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2016.1195655,Scope Of Semantic Activation And Innovative Thinking In College Students With Adhd,"White, Holly A.; Shah, Priti",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2017.1263502,Intelligence Level And The Allocation Of Resources For Creative Tasks: A Pupillometry Study,"Ojha, Amitash; Indurkhya, Bipin; Lee, Minho",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2017.1263512,"Interplay Between Creativity, Executive Function And Working Memory In Middle-Aged And Older Adults","Sharma, Shivani; Babu, Nandita",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2017.1302779,Perception Of Creativity And Game Intelligence In Soccer,"Leso, Gustavo; Dias, Gonçalo; Ferreira, José Pedro; Gama, José; Couceiro, Micael S.",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2017.1360070,Understanding The Role Of Cultural Intelligence In Individual Creativity,"Yunlu, Dilek G.; Clapp-Smith, Rachel; Shaffer, Margaret",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2017.1376543,Defining Creativity With Discovery,"Martin, Lee; Wilson, Nick",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1411546,Measuring The Creative Process: A Psychometric Examination Of Creative Ideation And Grit,"Rojas, Joanne P, 0000-0003-2500-1475; Tyler, Kenneth M",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1411565,Creativity Across Cultures: A Comparison Between Ugandan And Italian Students,"Tomassoni, Rosella; Treglia, Eugenia; Tomao, Manuela",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1446503,Teachersâ€™ Perceptions Of Creativity In The Classroom,"Kettler, Todd; Lamb, Kristen N.; Willerson, Amy; Mullet, Dianna R.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1446748,"Parenting Style, Basic Psychological Needs, And Emotional Creativity: A Path Analysis","Moltafet, Ghavam; Sadati Firoozabadi, Somayeh Sadat; Pour-Raisi, Asieh",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1446852,"Risk-Taking And Creativity: Convergent, But Not Divergent Thinking Is Better In Low-Risk Takers","Shen, Wangbing; Hommel, Bernhard; Yuan, Yuan; Chang, Liu; Zhang, Wei",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2018.1488195,From Stem To Steam: How To Monitor Creativity,"Conradty, CathÃ©rine; Bogner, Franz X.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2019.1641677,Measurement Of Creative Teaching In Mathematics Class,"Kandemir, Mehmet Ali, 0000-0003-1598-5108; Tezci, Erdogan; Shelley, Mack; Demirli, Cihad",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10400419.2010.523390,The Notion Of Creativity Revisited: A Philosophical Perspective On Creativity Research,"Klausen, SÃ¸ren Harnow",2010,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s10726-009-9158-x,Discovering And Evaluating Collaboration Engineering Opportunities: An Interview Protocol Based On The Value Frequency Model,"Briggs, Robert O.; Murphy, John D.",2009,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.25273/jipm.v6i2.1766,Pengembangan Model Blended Learning Berbasis Proyek Untuk Menunjang Kreatifitas Mahasiswa Merancang Pembelajaran Matematika Sekolah Dasar,"Wahyudi, Wahyudi; Anugraheni, Indri; Winanto, Adi",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1057/978-1-137-55243-3_6,Approaching Interdisciplinarity In A School Of Art And Design,"Katzew, Adriana; Archambault, AimÃ©e",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1108/s2051-229520160000002001,Out Of The Blue: Teaching Creativity And Entrepreneurship Through Flashmobs,"Tunstall, Richard; Nieminen, Lenita; Jing, Lin; Hjorth, Rasmus",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1108/sjme-10-2018-0047,Antecedents Of Brand Hate In The Fast Food Industry,"Hashim, Sharizal; Kasana, Sheraz",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.7202/1050975ar,Un Développement Professionnel Durable ? Les Clés De L’Interdisciplinarité Et De La Créativité Pour La Formation Des Enseignants,"Terzidis, Amalia; Darbellay, Frédéric",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/00043125.2016.1141644,"Fail Again, Fail Better: Embracing Failure As A Paradigm For Creative Learning In The Arts","Smith, Shaunna; Henriksen, Danah",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/14703297.2013.796723,Use Of Weblogs To Enhance Group Learning And Design Creativity Amongst Students At A Thai University,"Auttawutikul, Siwanit; Wiwitkunkasem, Kasemrut; Smith, Duncan R.",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/14703297.2019.1572525,Finding Creativity In The Extrinsically Motivated Environment Of Architecture Students,"Watters, Pamela, 0000-0001-5127-996X; Spas, Jayson, 0000-0002-7305-4830",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1100/2012/210953,Cognitive Competence As A Positive Youth Development Construct: A Conceptual Review,"Sun, Rachel C. F.; Hui, Eadaoin K. P.",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1260/1757-2223.4.1.25,Teaching Technologists Sustainable Innovation,"Desai, Raj",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
