9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
3688,"Evaluation of Long-Term Treatment Effect in a Type 1 Diabetes Intervention Trial: Differences After Stimulation With Glucagon or a Mixed Meal (BLS) Biology - Molecular; (HSC) Medicine - Diabetes; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Diabetes Care ---American Diabetes Association Department of Endocrinology and Diabetes, University Campus Bio-Medico, Rome, Italy Center of Diabetes, Barts and the London School of Medicine, Queen Mary University of London, London, United Kingdom Diabetes Unit, Department of Internal Medicine, Hadassah University Hospital, Jerusalem, Israel Andromeda Biotech Ltd., Yavne, Israel Department of Immunology, Weizmann Institute of Science, Rehovot, Israel http://retractionwatch.com/2014/12/30/retractions-follow-revelations-misconduct-diabetes-biotech/",+Manipulation of Results+Misconduct by Author,Paolo Pozzilli Itamar Raz Dana Peled Dana Elias Ann Avron Merana Tamir Rachel Eren Shlomo Dagan Irun R Cohen,05/01/2014 24408401 10.2337/dc13-1392,01/01/2015 25538318 10.2337/dc15-rt01a,Clinical Study Retraction,Israel Italy United Kingdom No
4954,"Impact on Quality of Life of Using an Onlay Mesh to Prevent Incisional Hernia in Midline Laparotomy: A Randomized Clinical Trial (BLS) Biology - General; (HSC) Medicine - Surgery;  Journal of the American College of Surgeons ---Elsevier General and Digestive Surgery Department, Parc Taulí University Hospital, Sabadell, Barcelona, Spain Preventive Medicine Department, University Hospital Joan XXIII, Tarragona, Spain http://retractionwatch.com/2015/02/12/first-cut-deepest-paper-incisional-hernia-sliced-duplication/",+Duplication of Article,Aleidis Caro-Tarrago Carles Olona-Casas Montserrat Olona-Cabases Vicente Vicente Guillen,09/01/2014 25087939 10.1016/j.jamcollsurg.2014.03.053,01/01/2015 25654147,Clinical Study Retraction,Spain No
17563,"Influence of choroidal neovascularization and biodegradable polymeric particle size on transscleral sustained delivery of triamcinolone acetonide (HSC) Medicine - Drug Design; (HSC) Medicine - Pharmacology;  International Journal of Pharmaceutics ---Elsevier Departments of Pharmaceutical Sciences and Ophthalmology, University of Colorado Anschutz Medical Campus, Aurora, CO, United States Emory Eye Center, Emory University, Atlanta, GA, United States http://retractionwatch.com/2016/08/25/u-colorados-former-golden-boy-up-to-7-retractions/",+Falsification/Fabrication of Data+Falsification/Fabrication of Results+Miscommunication by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,Rajendra S Kadam Puneet Tyagi Henry F Edelhauser Uday B Kompella,05/23/2012 22633904 10.1016/j.ijpharm.2012.05.025,01/01/2015 22633904 10.1016/j.ijpharm.2012.05.025,Research Article Retraction,United States No
1142,"Intraaortic Balloon Counterpulsation in Acute Myocardial Infarction Complicated by Cardiogenic Shock: Design and Rationale of the Intraaortic Balloon Pump in Cardiogenic Shock II (IABP-SHOCK II) Trial (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Cardiovascular;  American Heart Journal ---Elsevier University of Leipzig—Heart Center, Leipzig, GermanyHeart Center Bad Krozingen, Bad Krozingen, Germany Segeberger Kliniken, Bad Segeberg, Germany Martin-Luther University Halle-Wittenberg, Halle/Saale, Germany Institut für Herzinfarktforschung Ludwigshafen, Ludwigshafen, Germany  Otto-von-Guericke University Magdeburg, Magdeburg, Germany  Ernst-Moritz-Arndt University Greifswald, Greifswald, Germany Sana Heart Center Cottbus, Cottbus, Germany SLK Kliniken Heilbronn, Heilbronn, Germany University Hospital Würzburg, Würzburg, Germany",+Notice - Limited or No Information,Holger Thiele Gerhard Schuler Franz-Josef Neumann Jörg Hausleiter Hans-Georg Olbrich Bettina Schwarz Marcus Hennersdorf Klaus Empen Georg Fuernau Steffen Desch Suzanne de Waha Ingo Eitel Rainer Hambrecht Michael Böhm Rüdiger C Braun-Dullaeus Ruth H Strasser Kristin Rochor Sebastian K G Maier Helge Möllmann Steffen Schneider Henning Ebelt Karl Werdan Uwe Zeymer,01/01/2015 25654141 10.1016/j.ahj.2015.01.009,01/01/2015 25646555 10.1016/j.ahj.2014.12.007,Correction/Erratum/Corrigendum Retraction,Germany No
4523,"New cell therapies in cardiology. (BLS) Biology - Cellular; (HSC) Medicine - Cardiology; (HSC) Medicine - Surgery;  Expert Review of Cardiovascular Therapy ---Taylor and Francis Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore",+Investigation by Journal/Publisher+Plagiarism of Article+Plagiarism of Text,Shripad N Pal Theodoros Kofidis,08/01/2012 23030292 10.1586/erc.12.95,01/01/2015 25426991 10.1586/14779072.2014.986408,Research Article Retraction,Singapore Yes
4645,"Olanzapine Inhibits the Proliferation and Induces the Differentiation of Glioma Stem-like Cells Through Modulating the Wnt Signaling Pathway in Vitro (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Pharmacology;  European Review for Medical and Pharmacological Sciences ---Verduci Editore Department of Pediatrics, The Second Hospital of Shandong University, Jinan, Shandong, China",+Notice - Limited or No Information,Q H Guo H J Yang S D Wang,07/01/2015 26214776,01/01/2015 26698236,Clinical Study Retraction,China No
2253,"Pathogen Virulence of Phytophthora Infestans: From Gene to Functional Genomics (BLS) Biology - Cellular; (BLS) Genetics; (BLS) Microbiology; (HSC) Medicine - Infectious Disease;  Physiology and Molecular Biology of Plants: An International Journal of Functional Plant Biology ---Springer Central potato Research Institute, Shimla, H.P India Department of Biosciences and Biotechnology, Banasthali University (Rajasthan), Tonk, India Department of Biological Sciences, School of Basic Sciences, SHIATS, Naini, Allahabad, India National Research Centre for Plant Biotechnology, IARI campus, Pusa, New Delhi—12, India",+Euphemisms for Plagiarism+Plagiarism of Text,Suman Sanju Aditi Thakur Sundresha Siddappa Rohini Sreevathsa Nidhi Srivastava Pradeep Shukla B P Singh,12/27/2012 24431484 10.1007/s12298-012-0157-z,01/01/2015 25649988 10.1007/s12298-014-0263-1,Research Article Retraction,India No
12397,"Pid1 Induces Insulin Resistance in Both Human and Mouse Skeletal Muscle during Obesity (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Endocrinology;  Molecular Endocrinology ---Oxford Academic School of Biological Sciences, Nanyang Technological University, Singapore 637551 Singapore Institute for Clinical Sciences, Brenner Centre for Molecular Medicine, Singapore 117609 Tan Tock Seng Hospital, Singapore 308433 Department of Biochemistry, National University of Singapore, Singapore 117597 Yong Loo Lin School of Medicine, National University of Singapore, MD7 Department of Paediatrics, Yong loo Lin School of Medicine, National University of Singapore, Singapore 117597 http://retractionwatch.com/2016/07/13/harvard-researchers-phd-revoked-former-group-earns-three-more-retractions/ http://retractionwatch.com/2016/08/02/researcher-whose-phd-was-revoked-is-no-longer-at-harvard-lab/",+Error in Text,Sabeera Bonala Craig McFarlane Jackie Ang Radiance Lim Marcus Lee Hillary Chua Sudarsanareddy Lokireddy Patnam Sreekanth Melvin Khee Shing Leow Khoo Chin Meng TAI E Shyong Yung Seng Lee Peter D Gluckman Mridula Sharma Ravi Kambadur,09/01/2013 23927930 10.1210/me.2013-1048,01/01/2015 25549158 10.1210/me.2014-1357,Research Article Correction,Singapore No
4279,"Preoperative Neutrophil-to-lymphocyte Ratio for Prognostication of Patients with Distal Bile Duct Carcinomas Undergoing Surgery (BLS) Biology - Cellular; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Immunology; (HSC) Medicine - Surgery;  Digestive Surgery ---Karger Department of Gastroenterological Surgery, Dokkyo Medical University, Tochigi, Japan",+Error in Data+Error in Image+Error in Results and/or Conclusions+Unreliable Data+Unreliable Image+Unreliable Results,Yukihiro Iso Takatsugo Matsumoto Yuki Sakuraoka Takayuki Shiraki Masato Kato Mitsugi Shimoda Taku Aoki Keiichi Kubota,01/01/2015 25791693 10.1159/000380958,01/01/2015 26228099 10.1159/000438769,Clinical Study Retraction,Japan No
3509,"Reconstructive, organ-preserving microsurgery in tubal infertility: still an alternative to in vitro fertilization (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Surgery; (PUB) Society/Association Journals;  Fertility and Sterility ---Elsevier Department of Obstetrics and Gynecology, Division of Reproductive Medicine, OE 6410, Hannover Medical School, Carl-Neuberg-Str. 1, 30625 Hannover, Germany  Center for Obstetrics and Paediatrics, University Hospital of Hamburg Eppendorf (UKE), Hamburg, Germany",+Duplication of Article,Cordula Schippert Christina Bassler Philipp Soergel Ursula Hille Bettina Hollwitz Guillermo-Jose Garcia-Rocha,09/26/2009 19782355 10.1016/j.fertnstert.2009.08.017,01/01/2015 25699305 10.1016/j.fertnstert.2014.12.001,Research Article Retraction,Germany No
2571,"Response: Early-Stage Hodgkin Lymphoma (HSC) Medicine - Endocrinology; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  Pediatric Blood & Cancer ---Wiley St. Jude Children’s Research Hospital, Memphis, Tennessee",+Error by Journal/Publisher,Melissa Hudson,08/01/2006  10.1002/pbc.20952,01/01/2015 25564684 10.1002/pbc.20952,Letter Retraction,United States No
5479,"Restoration of critical-sized defects in the rabbit mandible using autologous bone marrow stromal cells hybridized with nano-ß-tricalcium phosphate/collagen scaffolds (HSC) Medicine - Dentistry;  Journal of Nanomaterials ---Hindawi Department of Geriatric Dentistry, Peking University School and Hospital of Stomatology and Department of Materials Science and Engineering, Tsinghua University, Beijing, ChinaThe Oral Clinic of the 2nd Hospital of Beijing Armed Police Force, Beijing, ChinaNational Engineering Laboratory for Digital and Material Technology of Stomatology, Beijing, China",+Error in Results and/or Conclusions,Xuehui Zhang Mingming Xu Xinggang Liu Feng Zhang Yan Wei Song Meng Xiaohan Dai Aizhu Duan Xuliang Deng,01/01/2013  10.1155/2013/913438,01/01/2015  10.1155/2015/137312,Research Article Retraction,China No
4649,"The Association Between Lysosomal Protein Glucocerebrosidase and Parkinson’s Disease (BLS) Biochemistry; (BLS) Biology - Molecular; (HSC) Medicine - Neurology; (HSC) Medicine - Ophthalmology; (HSC) Medicine - Pharmacology;  European Review for Medical and Pharmacological Sciences ---Verduci Editore Department of Neurosurgery, Chengdu Military General Hospital, Chengdu, Sichuan, China",+Notice - Limited or No Information,B Kong T Yang J W Gu Y Q Kuang L Cheng W T Yang X K Yang X Xia J M Cheng Y Ma J H Zhang S X Yu,01/01/2013 23377801,01/01/2015 25683925,Case Report Retraction,China No
2080,"The expression of Smads in human endometrium and regulation and induction in endometrial epithelial and stromal cells by transforming growth factor-beta (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  The Journal of Clinical Endocrinology and Metabolism ---Endocrine Society Department of Obstetrics/Gynecology, University of Florida http://retractionwatch.com/2015/03/02/results-cannot-be-considered-reliable-florida-doc-up-to-7-retractions/#more-26154 http://retractionwatch.com/2017/08/01/investigation-started-least-5-years-ago-retired-ob-gyn-prof-agrees-5-years-supervision/",+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by ORI+Misconduct by Author,Xiaoping Luo Jingxia Xu Nasser Chegini,10/01/2003 14557482 10.1210/jc.2003-030276,01/01/2015 25710061 10.1210/jc.2014-4200,Research Article Retraction,United States No
4521,"Therapeutic potential of genes in cardiac repair. (BLS) Genetics; (HSC) Medicine - Cardiology; (HSC) Medicine - Rehabilitation/Therapy; (HSC) Medicine - Surgery;  Expert Review of Cardiovascular Therapy ---Taylor and Francis Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore",+Investigation by Journal/Publisher+Plagiarism of Article+Plagiarism of Text,Shripad N Pal Theodoros Kofidis,08/14/2013 23945013 10.1586/14779072.2013.814867,01/01/2015 25426991 10.1586/14779072.2014.986408,Research Article Retraction,Singapore Yes
2599,"Thrombocytopenia in infants and children (HSC) Medicine - Cardiovascular; (HSC) Medicine - Pathology; (HSC) Medicine - Pediatrics; (PUB) Society/Association Journals;  Pediatrics in Review: American Academy of Pediatrics ---American Academy of Pediatrics Thomas Jefferson University, Philadelphia, PADiagnostic Referral Division, A.I. duPont Hospital for Children, Wilmington, DE",+Concerns/Issues about Referencing/Attributions+Notice - Limited or No Information,Deborah M Consolini,04/01/2011 21460090 10.1542/pir.32-4-135,01/01/2015 25554114 10.1542/pir.36-1-42,Review Article Retraction,United States No
3687,"Treatment of Recent-onset Type 1 Diabetic Patients with DiaPep277: Results of a Double-blind, Placebo-controlled, Randomized Phase 3 Trial (BLS) Biology - Molecular; (HSC) Medicine - Diabetes; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Diabetes Care ---American Diabetes Association Diabetes Unit, Department of Internal Medicine, Hadassah University Hospital, Jerusalem, Israel Institute of Diabetes Research, Helmholtz Center, Klinikums Rechts der Isar, University of Technology, Munich, Germany University Hospital, Giessen, Germany Department of Medicine I, Rudolfstiftung Hospital, Vienna, Austria UCT Private Academic Hospital, Cape Town, South Africa Center of Diabetes Endocrinology, Johannesburg, South Africa Department of Endocrinology, University of Palermo, Palermo, Italy Department of Emergency and Organ Transplantation, Section of Internal Medicine, Endocrinology, Andrology, and Metabolic Diseases, University of Bari Aldo Moro, Bari, Italy Institute for Endocrinology and Diabetes, Schneider Children’s Medical Center, Petach Tikvah, Israel Hospital Universitari Arnau de Vilanova, Lleida, Spain Internal Clinic, Faculty Hospital, Olomouc, Czech Republic Wolfson Medical Center, Holon, Israel Andromeda Biotech Ltd., Yavne, Israel Department of Immunology, Weizmann Institute of Science, Rehovot, Israel Department of Endocrinology and Diabetes, University Campus Bio-Medico, Rome, Italy Center of Diabetes, Barts and the London School of Medicine, Queen Mary University of London, London, United Kingdom http://retractionwatch.com/2014/12/30/retractions-follow-revelations-misconduct-diabetes-biotech/",+Falsification/Fabrication of Data+Misconduct by Author,Itamar Raz Anette G Ziegler Thomas Linn Guntram Schernthaner Francois Bonnici Larry A Distiller Carla Giordano Francesco Giorgino Liat de Vries Didac Mauricio Vlastimil Procházka Julio Wainstein Dana Elias Ann Avron Merana Tamir Rachel Eren Dana Peled Shlomo Dagan Irun R Cohen Paolo Pozzilli Writing Group DIA-AID 1,05/01/2014 24757230 10.2337/dc13-1391,01/01/2015 25538317 10.2337/dc15-rt01,Clinical Study Retraction,Austria Czech Republic Germany Israel Italy South Africa Spain United Kingdom No
4156,"A comparative study of low-fluence 1,064 nm Q-Switched Nd:YAG laser with or without chemical peeling using Jessner's solution in melasma patients (HSC) Medicine - Dermatology; (PUB) Society/Association Journals;  Journal of Cosmetic and Laser Therapy: Official Publication of the European Society for Laser Dermatology ---Informa Healthcare Department of Dermatology, Ulsan University Hospital, Ulsan http://retractionwatch.com/2015/01/15/duplicate-submission-forces-retraction-derm-laser-paper/",+Duplication of Article,Dan Bi Lee Ho Seok Suh Yu Sung Choi,09/19/2014 24245978 10.3109/14764172.2013.864201,12/31/2014 25549729 10.3109/14764172.2014.998978,Clinical Study Retraction,South Korea No
19450,"Comparison of Accuracy of Navigation between Infrared Optical and Electromagnetic Systems (HSC) Medicine - Orthopedics; (HSC) Radiology/Imaging;  Journal of the Korean Orthopaedic Association ---Korean Orthopaedic Association Department of Orthopedics, Center for Joint Disease, Chonnam National University Hwasun Hospital, Hwasun, Korea",+Duplication of Article,Eun Kyoo Song Jong Keun Seon Sang Jin Park Taek Rim Yoon Kyung Soon Park Sung Kyu Kim,02/01/2009 00000000 10.4055/jkoa.2009.44.1.68,12/30/2014 00000000 10.4055/jkoa.2014.49.6.496,Research Article Retraction,South Korea No
758,"Immunization coverage: role of sociodemographic variables (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Pediatrics;  Advances in Preventive Medicine ---Hindawi Grant Government Medical College, Mumbai, India PSM Department, 3rd Floor, Post Graduate Research Building, Near Gate No. 12, J.J. Hospital Campus, Byculla, Mumbai 400008, India PSM Department, T.N. Medical College, Mumbai 400008, India",+Concerns/Issues About Data+Notice - Limited or No Information,Bhuwan Sharma Hemant Mahajan G.D. Velhal,12/10/2013 24386572 10.1155/2013/607935,12/29/2014 25579861 10.1155/2014/890248,Research Article Retraction,India No
4000,"Influence of lipophilicity on drug partitioning into sclera, choroid-retinal pigment epithelium, retina, trabecular meshwork, and optic nerve (HSC) Medicine - Ophthalmology; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  The Journal of Pharmacology and Experimental Therapeutics ---ASPET: American Society for Pharmacology and Experimental Therapeutics Departments of Pharmaceutical Sciences and Ophthalmology, University of Colorado Denver, Aurora, Colorado http://retractionwatch.com/2015/01/14/u-colorado-golden-boy-grad-student-faked-data-drug-lab-says-investigation/",+Concerns/Issues About Data+Concerns/Issues About Image+Falsification/Fabrication of Data+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,Rajendra S Kadam Uday B Kompella,02/22/2010 19926800 10.1124/jpet.109.161570,12/26/2014 25542193 10.1124/jpet.114.02er15,Research Article Retraction,United States No
3508,"Thalidomide treatment attenuates chemotherapy-induced gonadal toxicity (BLS) Biochemistry; (BLS) Toxicology; (HSC) Medicine - Drug Design; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  Fertility and Sterility ---Elsevier Department of Obstetrics, Gynecology, and Reproductive, Sciences, University of Pittsburgh School of Medicine, Magee-Womens Research Institute,  Pittsburgh, Pennsylvania http://retractionwatch.com/2015/01/05/paper-famous-teratogen-retracted-lab-error/",+Doing the Right Thing+Error in Methods+Results Not Reproducible,Melanie E Ochalski Jennifer J Shuttleworth Tianjiao Chu Kyle E Orwig,09/01/2011 20889152 10.1016/j.fertnstert.2010.09.020,12/24/2014 25763425 10.1016/j.fertnstert.2014.12.108,Research Article Retraction,United States No
301,"Wolfram syndrome 1 and adenylyl cyclase 8 interact at the plasma membrane to regulate insulin production and secretion (BLS) Biochemistry; (BLS) Biology - Cellular; (HSC) Medicine - Endocrinology;  Nature Cell Biology ---Springer - Nature Publishing Group Cardiovascular and Metabolism Disease Area, Novartis Institutes for BioMedical Research, Cambridge, Massachusetts 02139, USADivision of Endocrinology, Metabolism, and Lipid Research, Department of Medicine, Washington University School of Medicine, St Louis, Missouri 63110, USA.Islet Biology and Regenerative Medicine, Joslin Diabetes Center, Boston, Massachusetts 02215, USA http://retractionwatch.com/2014/12/26/nature-cell-biology-insulin-paper-retracted-antibody-problems/",+Error in Materials (General)+Error in Methods+Unreliable Data+Unreliable Results,Sonya G Fonseca Fumihiko Urano Gordon C Weir Jesper Gromada Mark Burcin,09/16/2012 22983116 10.1038/ncb2578,12/23/2014 25679031 10.1038/ncb3088.,Letter Research Article Retraction,United States No
