RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 590 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
1030,"A common mutational pattern in Cockayne syndrome patients from xeroderma pigmentosum group G: Implications for a second XPG function (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Dermatology; (PUB) Society/Association Journals;  PNAS: Proceedings of the National Academy of Sciences of the United States of America ---National Academy of Sciences (NAS) Department of Genetics and Microbiology, University Medical Centre (CMU), 9 Avenue de Champel, 1211 Geneva 4, SwitzerlandDepartment of Radiation Oncology, University of North Carolina School of Medicine, Chapel Hill, NC 27599-7512Life Sciences Division, Building 934, Lawrence Berkeley National Laboratory, Berkeley, CA 94720",+Falsification/Fabrication of Data+Falsification/Fabrication of Results+Investigation by Company/Institution+Investigation by ORI+Misconduct - Official Investigation/Finding+Misconduct by Author,Thierry Nouspikel Phillipe Lalle Steven Anthony Leadon Priscilla K Cooper Stuart G Clarkson,04/01/1997 9096355,12/06/2006 17179216 10.1073/pnas.0609759103,Research Article Retraction,Switzerland United States No
19452,"A Case of Disseminated Scedosporium apiospermum Infection in a Liver Transplant Patient (HSC) Medicine - Gastroenterology; (HSC) Medicine - Immunology; (HSC) Medicine - Surgery;  Infection and Chemotherapy ---Korean Society of Infectious Diseases Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea",+Copyright Claims,Hyun Gu Park Seong Ho Choi Hu Suk Kang Ju Hyung Song Ji Hoon Jung Min Wook So Sang Ho Choi Yang Soo Kim Jun Hee Woo,10/01/2006 00000000 unavailable,12/01/2006 00000000 unavailable,Case Report Retraction,South Korea No
2557,"Inequity of Upper Gastrointestinal Cancer Distribution and Survival With Socioeconomic Deprivation: A Population-based Study (BLS) Biology - Cancer; (HSC) Medicine - Gastroenterology;  Surgery ---Elsevier Research Unit, Department of Surgery, Leighton Hospital, South Cheshire, UK Cancer Services, West Midlands Cancer Registry, Birmingham, USA Keele University, School of Medicine, University Hospital of North Staffordshire, Stoke on Trent, UK",+Forged Authorship+Plagiarism of Data,Subhajit Dutta Roy Daniel V Kupp John P Slavin David J Corless Mark Deakin,11/01/2005 16291386 10.1016/j.surg.2005.04.018,12/01/2006 17214047 10.1016/j.surg.2006.10.001,Research Article Retraction,United Kingdom United States No
1593,"Long-term results and risk factors influencing outcome of major bile duct injuries following cholecystectomy (HSC) Medicine - Internal; (HSC) Medicine - Surgery;  British Journal of Surgery ---Wiley Department of General, Visceral and Transplantation Surgery, Germany",+Notice - Limited or No Information,SC Schmidt JM Langrehr RE Hintze P Neuhaus,11/01/2004 15521078 10.1002/bjs.4775,12/01/2006 17209231,Research Article Retraction,Germany Yes
4060,"Comparison of histological grading and large-scale genomic status (DNA ploidy) as prognostic tools in oral dysplasia (BLS) Biology - Cancer; (BLS) Genetics; (HSC) Medicine - Dentistry; (HSC) Medicine - Oncology; (HSC) Medicine - Pathology;  The Journal of Pathology ---Wiley Division of Digital Pathology, Department of Pathology, The Norwegian Radium Hospital, University of OsloDepartment of Oral Biology, University of OsloDepartment of Pathology, Haukeland Hospital, University of Bergen",+Falsification/Fabrication of Data+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author,Jon Sudbo Magne Bryne Anne C Johannessen Wanja Kildal Havard E Danielsen Albrecht Reith,06/29/2001 11439362 10.1002/1096-9896(200107)194:3303::AID-PATH8793.0.CO;2-Q,11/29/2006 17136756 10.1002/path.2115,Clinical Study Retraction,Norway Yes
2929,"Heterogeneity of cytokine single-nucleotide polymorphisms among the Iranian and in the other East-South Asian populations (BLS) Genetics; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  Transfusion Medicine ---Wiley Genetic Department, Faculty of Medicine, Uremia Medical Sciences University, Uremia",+Concerns/Issues about Referencing/Attributions+Investigation by Journal/Publisher+Misconduct by Author+Plagiarism of Data+Withdrawal,Mortaza Bagheri Isa Abdi-Rad Davood Omrani Hamid R Khalkhali,06/02/2006 16764598 10.1111/j.1365-3148.2006.00666.x,11/27/2006 17163875 10.1111/j.1365-3148.2006.00715.x,Clinical Study Retraction,Iran Yes
2889,"Silencing of B cell receptor signals in human naive B cells. (HSC) Medicine - Immunology;  The Journal of Experimental Medicine ---Rockefeller University Press Institute for Medical Microbiology, Immunology and Hygiene, University of Cologne, 50931 Köln, Germany",+Concerns/Issues About Data+Concerns/Issues About Results+Error in Data+Error in Results and/or Conclusions+Unreliable Data+Unreliable Results,Niklas Feldhahn Ines Schwering Sanggyu Lee Maria Wartenberg Florian Klein Hui Wang Guolin Zhou San Ming Wang Janet D Rowley Jürgen Hescheler Martin Krönke Klaus Rajewsky Ralf Küppers Markus Müschen,11/18/2002 12438421 10.1084/jem.20020881,11/27/2006 17074927 10.1084/jem.2002088173106c,Research Article Retraction,Germany No
3940,"Induction of c-jun expression in the myeloid leukemia cell line KG-1 by 1-beta-D-arabinofuranosylcytosine (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Drug Design; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Molecular Pharmacology ---ASPET: American Society for Pharmacology and Experimental Therapeutics Department of Hematology and Oncology, University of Freiburg Medical Center, Freiburg, Federal Republic of Germany http://retractionwatch.com/the-retraction-watch-leaderboard/",+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by Third Party+Misconduct - Official Investigation/Finding+Misconduct by Author,Reinhard Henschler Ulrich Brennscheidt Roland Mertelsmann Friedhelm Herrmann,02/01/1991 1996082 unavailable,11/14/2006 17213995 10.1124/mol.71.1.388,Research Article Retraction,Germany No
1895,"C-reactive protein in aortic valve disease (BLS) Biology - Cellular; (HSC) Medicine - Cardiology;  Cardiovascular Ultrasound ---BioMed Central (BMC) Instituto de Ciencias del Corazón (ICICOR), Hospital Clínico Universitario de Valladolid, C/Ramóny Cajal n° 3, 47005, Valladolid, Spain  Department of Cardiology and Cardiac Surgery, CNR Institute of Clinical Physiology, Ospedale Pasquinucci, Massa, Italy",+Error by Journal/Publisher,Pedro L Sanchez Anna Maria Mazzone,10/16/2006 17042945 10.1186/1476-7120-4-37,11/08/2006 17092331 10.1186/1476-7120-4-42,Review Article Retraction,Italy Spain No
3312,"DNA Content as a Prognostic Marker in Patients with Oral Leukoplakia (BLS) Biology - Cancer; (HSC) Medicine - Dentistry; (HSC) Medicine - Otorhinolaryngology;  The New England Journal of Medicine ---Massachusetts Medical Society Divisions of Digital Pathology and Cytology, Department of Pathology, Norwegian Radium Hospital and the University of Oslo, Montebello, Oslo, Norway Department of Pathology and Forensic Odontology, Institute of Clinical Dentistry, University of Oslo, Montebello, Oslo, Norway",+Falsification/Fabrication of Data+Investigation by Company/Institution,Jon Sudbo Wanja Kildal Bjorn Risberg Hanna S Koppang Havard E Danielsen Albrecht Reith,04/26/2001 11320386 10.1056/NEJM200104263441702,11/02/2006 17079770 10.1056/NEJMe068247,Clinical Study Retraction,Norway No
3200,"The Influence of Resection and Aneuploidy on Mortality in Oral Leukoplakia (HSC) Biostatistics/Epidemiology; (HSC) Medicine - Dentistry; (HSC) Medicine - Oncology; (HSC) Medicine - Rehabilitation/Therapy;  The New England Journal of Medicine ---Massachusetts Medical Society Departments of Medical Oncology and Radiotherapy, Norwegian Radium Hospital, University of Oslo, Oslo, Norway   Division of Digital Pathology, Norwegian Radium Hospital, University of Oslo, Oslo, Norway Department of Pathology, Division of Cytology, Norwegian Radium Hospital, University of Oslo, Oslo, Norway the Departments of Clinical Cancer Prevention, University of Texas M.D. Anderson Cancer Center, Houston Biostatistics, University of Texas M.D. Anderson Cancer Center, Houston Thoracic/Head and Neck Medical Oncology, University of Texas M.D. Anderson Cancer Center, Houston  Pathology and Head and Neck Surgery, University of Texas MD Anderson Cancer Center, Houston Department of Physics, Norwegian University of Science and Technology, Trondheim, Norway Department of Oral Biology, University of Oslo, Oslo, Norway",+Concerns/Issues About Data+Investigation by Journal/Publisher,Jon Sudbo Scott M Lippman J Jack Lee Li Mao Wanja Kidal Asle Sudbo Simone Sagen Magne Bryne Adel el Naggar Björn Risberg Jan F Evensen Albrecht Reith,04/01/2004 15070790 10.1056/NEJMoa033374,11/02/2006 17079770 10.1056/NEJMe068247,Research Article Retraction,Norway United States No
2624,"Chronically HIV-1-Infected Monocytic Cells Induce Apoptosis in Cocultured T Cells (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Microbiology; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  The Journal of Immunology : Official Journal of the American Association of Immunologists ---American Association of Immunologists Division of Clinical Immunology, Mount Sinai Medical Center, New York, NY, USADepartment of Biological Sciences, Hunter College, City University of New York, New York, NY 10029, USA",+Error in Image+Unreliable Image,Houchu Chen Y K Yip Italas George Max Tyorkin Erez Salik Kirk Sperber,10/15/1998 9780201,11/01/2006 17056588 10.4049/jimmunol.177.9.6560,Research Article Retraction,United States No
1631,"CT features of bladder small cell carcinoma (HSC) Medicine - Oncology; (HSC) Radiology/Imaging;  Clinical Imaging ---Elsevier Department of Diagnostic Radiology, Chungnam National University Hospital, Daejeon, South Korea",+Euphemisms for Plagiarism+Notice - Limited or No Information,Jong Chul Kim,05/01/2004 15158225 10.1016/S0899-7071(03)00150-5,11/01/2006 17176532 10.1016/S0899-7071(03)00150-5,Research Article Retraction,South Korea
3431,"Effect of Extended Paraaortic Lymph Node Dissection on Postoperative Pancreatic Function in Gynecologic Procedures (BLS) Anatomy/Physiology; (HSC) Medicine - Cardiology; (HSC) Medicine - Endocrinology; (PUB) Society/Association Journals;  Masui: The Japanese journal of Anesthesiology ---Japanese Society of Anesthesiologists (JSA) Department of Anesthesiology, Yamagata University School of Medicine, Yamagata, Japan",+Notice - Unable to Access via current resources,Miwa Izutsu Kouhei Kamiya Mayumi Yamakawa Seiji Takaoka Masaya Kudo Naoki Kotani,04/01/2015 15852626 unavailable,11/01/2006 17682298 unavailable,Research Article Retraction,Japan No
4088,"Emergency Hysteroscopic Treatment of Acute Severe Uterine Bleeding (BLS) Biology - General; (HSC) Medicine - Obstetrics/Gynecology;  Journal of Obstetrics and Gynaecology : the Journal of the Institute of Obstetrics and Gynaecology ---Taylor and Francis Department of Obstetrics and Gynecology, Rabin Medical Center, Petah Tikva and Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv, Israel",+Notice - Lack of,J Shalev D Dicker I Bar-Hava R Orvieto T Levi,07/02/2009 14766451 10.1080/01443610410001645442,11/01/2006 17265573,Clinical Study Retraction,Israel No
1335,"Integrating genomic laboratory data into tuberculosis surveillance: improving tracking of tuberculosis strains and cluster identification to enhance outbreak management (BLS) Genetics; (HSC) Medicine - Infectious Disease;  Annual Symposium Proceedings (AMIA) ---American Medical Informatics Association Public Health Informatics Fellowship Program, Career Development Division, Office of Workforce and Career Development, Centers for Disease Control and Prevention, Atlanta, GA, USA",+Notice - Lack of,Peter Hicks,11/01/2006 17238568,11/01/2006 18297754,Research Article Retraction,United States Unknown
269,"Low-dosage adrenaline induces transient marked decrease of blood pressure during functional endoscopic sinus surgery (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Otorhinolaryngology;  American Journal of Rhinology ---OceanSide Publications Department of Anesthesiology, Jinling Hospital, School of Medicine, Nanjing University, Nanjing, P.R. China",+Duplication of Article+Notice - Limited or No Information,Feng Zhao Zhongun Wang Jianjun Yang Jie Sun Qiuping Wang Jianguo Xu,03/01/2006 16686385,11/01/2006 17181116,Clinical Study Research Article Retraction,China Yes
7863,"Prospect for anti-her2 receptor therapy in breast cancer (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (HSC) Medicine - Pathology; (HSC) Medicine - Pharmacology; (PUB) Institutional Journals;  Anticancer Research: International Journal of Cancer Research and Treatment ---The International Institute of Anticancer Research Département de Biologie Intégrée, CHU Grenoble, GrenobleDépartement d'Anatomie-Pathologique, CHU Grenoble, GrenobleDépartement d'Oncologie, CHU Grenoble, GrenobleINSERM E 340, Université de Grenoble, GrenobleClinique Belledonne, St. Martin d'Hères",+Duplication of Article+Error by Journal/Publisher,Francois-Xavier Brand Nadia Ravanel Annie-Sophie Gauchez Dominique Pasquier Raoul Payan Daniel Fagret Mireille Mousseau,01/01/2006 16739343,11/01/2006,Review Article Retraction,France No
2625,"Regulation of Class II Expression in Monocytic Cells after HIV-1 Infection (BLS) Biology - Cellular; (BLS) Microbiology; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  The Journal of Immunology : Official Journal of the American Association of Immunologists ---American Association of Immunologists Division of Clinical Immunology, Mount Sinai School of Medicine, New York, NY 10029, USA",+Error in Image+Unreliable Image,Seth Rakoff-Nahoum Houchu Chen Thomas Kraus Italas George Erwin Oei Max Tyorkin Erez Salik Prarthana Beuria Kirk Sperber,08/15/2001 11490022 10.4049/jimmunol.167.4.2331,11/01/2006 17056589 10.4049/jimmunol.177.9.6561,Research Article Retraction,United States No
1170,"Sexual Function After Surgery for Stress Urinary Incontinence and/or Pelvic Organ Prolapse: A Multicenter Prospective Study (BLS) Biology - General; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Surgery; (HSC) Medicine - Urology/Nephrology;  American Journal of Obstetrics and Gynecology ---Elsevier University of New Mexico and Lovelace Medical Center, Albuquerque, NM, USA University of Iowa, Iowa City, Iowa, USA Cleveland Clinic Foundation, Cleveland, Ohio, USA",+Error in Methods+Unreliable Data+Unreliable Results,Rebecca G Rogers Dorothy Kammerer-Doak Amy Darrow Kristen Murray Ambre Olsen Matthew Barber Clifford Qualls,07/01/2004 15295367 10.1016/j.ajog.2004.03.087,11/01/2006 17162772,Research Article Retraction,United States No
3964,"Simultaneous, Phenotypic Knockout of VEGF-R2 and Tie-2 with an Intradiabody Enhances Antiangiogenic Effects in Vivo (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Immunology;  Klinische Pädiatrie ---Thieme Klinik für Pädiatrie mit Schwerpunkt Allgemeine Pädiatrie und Knochenmarktransplantation, Charité-Universitätsmedizin, Berlin, Germany The Scripps Research Institute, Department of Molecular Biology, La Jolla, USA Georg-August-Universität Göttingen, Abteilung Pädiatrie I mit Schwerpunkt Hämatologie/Onkologie, Germany",+Concerns/Issues About Authorship+Copyright Claims+Lack of Approval from Company/Institution,Nina Jendreyko Christoph Rader Carlos F Barbas III Gerhard Gaedicke,05/01/2006 16688670 10.1055/s-2006-933415,11/01/2006 22132425 10.1055/s-2006-955212,Research Article Retraction,Germany United States No
7833,"Identification of molecular targets associated with augmented gastric mucosal damages after stress in the presence of Helicobacter Pylori using high throughput analysis of cDNA microarray and proteomics (BLS) Anatomy/Physiology; (BLS) Biology - Molecular; (BLS) Genetics; (BLS) Microbiology; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Pathology; (PUB) Society/Association Journals;  Journal of Clinical Biochemistry and Nutrition ---Society for Free Radical Research Japan Genome Research Center for Gastroenterology, Ajou University School of Medicine, Wonchon-dong, Yeongtong-gu, SuwonGenomicTree, Inc, Yusong-ku, DaejeonDepartment of Computer Science and Bioinformatics, Hallym University School of Technology, Hallymdaehak-gil, Chuncheon-si, Gangwon-doDepartment of Pharmacology, Seoul National University School of Medicine, Jongyo-gu, Seoul",+Notice - Limited or No Information+Withdrawal,Marie Yeo Tae Young Oh Yong Seok Kim Young Mi Won Sung Whan Ahn Jin Kim Soon Ki Chung Myung Hee Chung Sung Uk Han Ki-Baik Hahm,02/23/2006 00000000 10.3164/jcbn.38.77,10/27/2006 00000000 10.3164/jcbn.39.R1,Research Article Retraction,South Korea No
2933,"Native and aspirin-triggered lipoxins control innate immunity by inducing proteasomal degradation of TRAF6. (BLS) Biology - Molecular; (HSC) Medicine - Immunology;  The Journal of Experimental Medicine ---Rockefeller University Press Divisions of Molecular Immunology, Cincinnati Children's Hospital Medical Center and University of Cincinnati College of Medicine, Cincinnati, OH 45229, USA",+Falsification/Fabrication of Data+Investigation by Company/Institution+Manipulation of Images,Fabiana S Machado Lisia Esper Alexandra Dias Rajat Madan YuanYuan Gu David Hilderman Charles Serhan Christopher L Karp Julio Aliberti,05/12/2008 18411340 10.1084/jem.20072416,10/26/2006 19808249 10.1084/jem.2007241692209r,Research Article Retraction,United States No
20671,"Loss of the Guide Wire (HSC) Medicine - Cardiology; (HSC) Medicine - Surgery;  Circulation Journal : Official Journal of the Japanese Circulation Society ---The Japanese Circulation Society Department of Cardiology, Shaoxing People's Hospital, The First Affiliated Hospital of Shaoxing University, Shaoxing First Department of Internal Medicine, Medical College, Fukui University, Matsuoka",+Date of Retraction/Other Unknown+Notice - Lack of,Hangyuan Guo Fang Peng Takanori Ueda,10/25/2006 00000000 10.1253/circj.70.1520,10/25/2006 00000000 10.1253/circj.70.1520,Case Report Retraction,Japan No
4002,"Serous cystic neoplasms of the pancreas: a clinicopathologic and immunohistochemical analysis. (BLS) Biology - General; (HSC) Medicine - Immunology; (HSC) Medicine - Pathology;  Chinese journal of digestive diseases ---Wiley General Surgery, Zhongshan Hospital, Fudan University, Shanghai, ChinaDepartment of Pathology, Zhongshan Hospital, Fudan University, Shanghai, China",+Copyright Claims+Plagiarism of Article,Yuan Ji Xiu Nan Wang Wen Hui Lou Akesu Sujie Yun Shan Tan Da Yong Jin,01/12/2006 16412036 10.1111/j.1443-9573.2006.00242.x,10/17/2006 17054588 10.1111/j.1443-9573.2006.00276.x,Research Article Retraction,China Yes
4057,"Autonomous histopathological regression of primary tumours associated with specific immune responses to cancer antigens (BLS) Biology - Cancer; (HSC) Medicine - Immunology; (HSC) Medicine - Oncology; (HSC) Medicine - Pathology; (PUB) Society/Association Journals;  The Journal of Pathology ---Wiley Faculty of Medicine, The American University of Beirut, BeirutDepartment of Pathology, Westmead Hospital, Sydney, NSWOncology and Immunology Unit, University of Newcastle, NewcastleSydney Melanoma Unit, Melanoma and Skin Cancer Research Institute, Department of Surgery, University of Sydney, Royal Prince Alfred Hospital, CamperdownRoyal Prince Alfred Hospital, Camperdown",+Duplication of Article,Farid H Saleh Kerry A Crotty Peter Hersey Scott W Menzies Wassim Rahman,04/14/2003 12845635 10.1002/path.1369,10/09/2006 17029327 10.1002/path.2082,Research Article Retraction,Australia Lebanon No
3102,"A randomized clinical trial of the effects of isosorbide mononitrate on bone formation and resorption in post-menopausal women: a pilot study (BLS) Biology - Molecular; (HSC) Medicine - Drug Design; (HSC) Medicine - Orthopedics; (PUB) Institutional Journals; (PUB) Society/Association Journals;  Human Reproduction ---Oxford University Press Department of Obstetrics & Gynecology, Ain Shams University, Cairo, Egypt",+Ethical Violations by Author+Plagiarism of Article+Publishing Ban,Ashraf F I Nabhan,01/12/2006 16410328 10.1093/humrep/dei487,10/01/2006 16997941 10.1093/humrep/del359,Clinical Study Retraction,Egypt No
2442,"Basic residues of the helix six domain of influenza virus M1 involved in nuclear translocation of M1 can be replaced by PTAP and YPDL late assembly domain motifs (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Infectious Disease; (PUB) Society/Association Journals;  Journal of Virology ---American Society for Microbiology Department of Microbiology, Immunology and Molecular Genetics, Jonsson Comprehensive Cancer Center, Molecular Biology Institute, UCLA School of Medicine, Los Angeles, California 90095-1747",+Error in Cell Lines/Tissues,Eric Ka-Wai Hui Subrata Barman Tae Yong Yang Debi P Nayak,06/01/2003 12768027 10.1128/JVI.77.12.7078-7092.2003,10/01/2006 17005709 10.1128/JVI.01632-06,Research Article Retraction,United States No
1124,"Effects of morin pretreatment on the pharmacokinetics of diltiazem and its major metabolite, desacetyldiltiazem in rats (BLS) Biology - General; (HSC) Medicine - Surgery;  Archives of Pharmacal Research ---Springer - Nature Publishing Group College of Pharmacy Chonnam National University Gwangju Korea College of Pharmacy Chosun University Gwangju Korea",+Error by Journal/Publisher,Hyun Jin Choi Jun-Shik Choi,08/01/2005 16178425 10.1007/BF02973885,10/01/2006 17121191 10.1007/BF02973918,Research Article Retraction,South Korea No
