RID,"Retraction or Other Notices
Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s)
155 Item(s) Found",Reason(s),Author(s),"Original Paper
Date/PubMedID/DOI","Retraction or Other Notices
Date/PubMedID/DOI","Article Type(s)
Nature of Notice","Countries
Paywalled?
Notes"
19737,"Photophysics of artist’s pigments
(HUM) Arts - General; (PHY) Chemistry; (PHY) Crystallography/Spectroscopy; 
Measurement ---Elsevier
CNR NANOTEC - Institute of Nanotechnology c/o Campus Ecotekne, Via Monteroni, 73100 Lecce, Italy The Courtauld Institute of Art, Somerset House, Strand, WC2R 0RN London, UK Dipartimento di Chimica “G.Ciamician”, Università di Bologna, Via F. Selmi 2, 40126 Bologna, Italy Department of Scientific Research, The British Museum, Great Russell Street, London WC1B 3DG, UK",+Date of Retraction/Other Unknown+Duplication of Article,"Gianluca Accorsi
Giovanni Verri
Angela Acocella
David Saunders
Charlotte Martin de Fonjaudran
Diego Tamburini
Amarilli Rava
Samuel Whittaker
Francesco Zerbetto","04/03/2018
00000000
10.1016/j.measurement.2018.03.082","12/28/2018
00000000
10.1016/j.measurement.2019.04.001","Research Article
Retraction","Italy
United Kingdom
No"
20106,"Realistic applications of information technology in art
(B/T) Technology; (HUM) Arts - General; 
Journal of Fundamental and Applied Sciences ---University of El Qued
unavailable
http://retractionwatch.com/2019/02/20/journal-retracts-more-than-400-papers-at-once/",+Notice - Limited or No Information+Withdrawal+Withdrawn to Publish in Different Journal,Sanaa Mohsin,"03/22/2018
00000000
unavailable","12/01/2018
00000000
unavailable","Conference Abstract/Paper
Retraction","Unknown
No"
19236,"Gender Roles and Feminism in Harper Lee's To Kill A Mockingbird
(HUM) Arts -Literature/Poetry; (SOC) Sociology; 
Gender Studies ---Universitatea de Vest din Timisoara
“Petru Maior” University of Târgu Mures",+Date of Retraction/Other Unknown+Plagiarism of Article,Smaranda Stefanovici,"07/01/2008
00000000
unavailable","09/05/2018
00000000
unavailable","Review Article
Retraction","Romania
No"
18362,"Divining the Real: The Film Theory and Criticism of Andre Bazin
(HUM) Arts - Film Studies; 
The Midwest Quarterly ---Pittsburg State University
Izmir University of Economics, Turkey",+Plagiarism of Article,Robert James Cardullo,"12/01/2010
00000000
unavailable","01/13/2018
00000000
unavailable","Review Article
Retraction","Turkey
No"
17348,"Fundamentals of Electronic Resources Management
(B/T) Technology; (HUM) Arts -Literature/Poetry; 
The Journal of Academic Librarianship ---Elsevier
George Mason University Libraries, Arlington, VA 22201, USA",+Duplication of Article+Error by Journal/Publisher,Madeline Kelly,"10/31/2017
00000000
10.1016/j.acalib.2017.09.010","11/01/2017
00000000
10.1016/j.acalib.2017.09.010","Review Article
Retraction","United States
No"
11913,"The Study on Simulating Binaural Room Impulse Response
(B/T) Technology; (HUM) Arts - Music; (PHY) Mathematics; 
2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT) ---Institute of Electrical and Electronics Engineers (IEEE)
Experiment Teaching Department, Guangdong University of Technology, China State Key Laboratory of Subtropical Building Science, South China University of Technology, Guangzhou , China
http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,"Tian-Kui Guo
Yue-Zhe Zhao","07/09/2010
00000000
10.1109/ICCSIT.2010.5564505","09/07/2017
00000000
10.1109/ICCSIT.2010.5564505","Conference Abstract/Paper
Retraction","China
No"
20495,"Wassily Kandinsky’s The Yellow Sound as a total work of art
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Helsinki, Finland",+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,"04/04/2017
00000000
10.1007/s11059-017-0384-y","09/07/2017
00000000
10.1007/s11059-017-0410-0","Review Article
Retraction","Finland
No"
20071,"Archival institutions in the information society and the need for systemic documentary management
(B/T) Technology; (HUM) Arts -Literature/Poetry; 
Agora ---Federal University of Santa Catarina
Federal University of Espírito Santo (UFES) Brazil",+Duplication of Article,"Jorge Sanata Anna
Luiz Carlos Silva","01/01/2015
00000000
unavailable","12/09/2016
00000000
unavailable","Research Article
Retraction","Brazil
No"
8141,"Clean
(HUM) Arts -Literature/Poetry; 
Journal of Medical Humanities ---Springer
Bryan, TX 77808, USA",+Duplication of Article+Error by Journal/Publisher,Stacy R Nigliazzo,"02/02/2010
00000000
10.1007/s10912-011-9141-9","12/01/2015
00000000
10.1007/s10912-009-9104-6","Research Article
Retraction","United States
No"
9025,"People Say There Are No Accidents: Poetry and Commentary
(HUM) Arts -Literature/Poetry; (SOC) Linguistics; 
Journal of Medical Humanities ---Springer
Studio 7 Arts, 7 Standish St., Cambridge, MA 02138, USA Renal, Montefiore Medical Center, 111 East 210th St, Bronx, NY 10467, USA Ophthalmology, Royal Infirmary, University of Edinburgh, Princess Alexandra Eye Pavilion, Edinburgh, UK VAPAHCS / Stanford, Anesthesia 112A, 3801 Miranda Ave, Palo Alto, CA 94304, USA",+Duplication of Article+Error by Journal/Publisher,"Caleb Gardner
Ladan Golestaneh
Baljean Dhillon
Audrey Shafer","01/14/2010

10.1007/s10912-009-9096-2","12/01/2015

10.1007/s10912-009-9096-2","Research Article
Retraction","United Kingdom
United States
No"
8511,"Seasons
(ENV) Climatology; (HUM) Arts -Literature/Poetry; 
Journal of Medical Humanities ---Springer
Cambridge, MA, USA",+Duplication of Article,Jonathan Reisman,"09/07/2010

10.1007/s10912-010-9122-4","12/01/2015

10.1007/s10912-010-9122-4","Commentary/Editorial
Retraction","United States
Yes"
9193,"The effect of auditory versus visual violent media exposure on aggressive behaviour: The role of song lyrics, video clips and musical tone
(HUM) Arts - Music; (SOC) Psychology; (SOC) Sociology; 
Journal of Experimental Social Psychology ---Elsevier
Macquarie University, Sydney, NSW, 2109, Australia
http://retractionwatch.com/2015/10/01/yes-violent-lyrics-affect-you-despite-corrected-graphic-in-study/",+Error in Data+Error in Methods+Error in Text+Investigation by Company/Institution,"Heidi I Brummert Lennings
Wayne A Warburton","02/19/2011

10.1016/j.jesp.2011.02.006","08/11/2015

10.1016/j.jesp.2015.07.004","Research Article
Correction","Australia
No"
8448,"Two thinks at a time
(HUM) Arts -Literature/Poetry; (HUM) Philosophy; 
Atlantic Studies ---Taylor and Francis
Department of English, University of Nevada Las Vegas, USA
http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",+Breach of Policy by Author+Lack of Approval from Company/Institution+Plagiarism of Text,Mustapha Marrouchi,"11/30/2009

10.1080/14788810903264795","07/24/2015

10.1080/14788810.2015.1044242","Research Article
Retraction","United States
Yes"
17527,"A Passion for Excess or Just ‘Another Way of Telling'
(HUM) Arts -Literature/Poetry; 
College Literature ---Johns Hopkins University Press
UNLV , Nevada
http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",+Investigation by Company/Institution+Plagiarism of Article,Mustapha Marrouchi,"06/01/2010
00000000
unavailable","06/01/2015
00000000
10.1353/lit.2015.0029","Research Article
Retraction","United States
No"
17528,"Cry No More For Me, Palestine - Mahmoud Darwish
(HUM) Arts -Literature/Poetry; 
College Literature ---Johns Hopkins University Press
UNLV , Nevada
http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",+Investigation by Company/Institution+Plagiarism of Article,Mustapha Marrouchi,"09/01/2011
00000000
unavailable","06/01/2015
00000000
10.1353/lit.2015.0029","Research Article
Retraction","United States
No"
17526,"Introduction: Embargoed Literature: Arabic
(HUM) Arts -Literature/Poetry; 
College Literature ---Johns Hopkins University Press
UNLV , Nevada
http://retractionwatch.com/2015/07/28/serial-plagiarizer-notches-three-retractions/",+Investigation by Company/Institution+Plagiarism of Article,Mustapha Marrouchi,"10/01/2010
00000000
unavailable","06/01/2015
00000000
10.1353/lit.2015.0029","Research Article
Retraction","United States
No"
18455,"Errance et transgressions raciniennes: Pour une nouvelle semiotique du discours tragique
(HUM) Arts -Literature/Poetry; 
Symposium: A Quarterly Journal in Modern Literatures ---Taylor and Francis
Marygrove College, Carnegie and Danforth Foundations",+Duplication of Article+Investigation by Journal/Publisher,Richard Lawrence Etienne Barnett,"01/01/2001
00000000
10.1080/00397700109598531","05/11/2015
00000000
10.1080/00397709.2015.1044881","Review Article
Retraction","United States
No"
18454,"Le simulacra inaugural: Micro-lecture camusienne
(HUM) Arts -Literature/Poetry; 
Symposium: A Quarterly Journal in Modern Literatures ---Taylor and Francis
Marygrove College, Carnegie and Danforth Foundations",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"03/01/1999
00000000
10.1080/00397709909598513","05/11/2015
00000000
10.1080/00397709.2015.1044880","Review Article
Retraction","United States
No"
6621,"Absence et Subterfuge Modianesques
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"05/04/2012

10.1007/s11059-012-0120-6","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
6620,"Apories Cioraniennes
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"01/07/2011

10.1007/s11059-010-0081-6","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","United States
No"
6613,"Autopsies du Centre
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost and Executive Vice-President of Operations, University of Atlanta, Atlanta, USA
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"10/22/2010
00000000
10.1007/s11059-010-0065-6","01/23/2015
00000000
10.1007/s11059-014-0289-y","Research Article
Retraction","United States
No"
6616,"Aux Alentours du néant: Propos sur L’anodin
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"05/02/2013

10.1007/s11059-013-0186-9","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
6624,"Désignifier au Pluriel
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"07/26/2014

10.1007/s11059-014-0235-z","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
6615,"Les épreuves du Labyrinthe Rochien
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost and Executive Vice President for Operations, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifiquerue de Rivoli, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"08/30/2011

10.1007/s11059-011-0111-z","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
6618,"Of Difference Contrived: The Semiotics of Sameness in J.-K. Huysmans’ A Rebours
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Université Libre de Bruxelles, Bruxelles, Belgique
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"06/01/2007

10.1007/s11059-007-1013-y","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","Belgium
No"
6617,"Paroles à la Dérive
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"02/14/2014

10.1007/s11059-013-0232-7","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
18443,"Sur l’émiettement chaotique du sens
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Plagiarism of Text,Richard Lawrence Etienne Barnett,"06/07/2008
00000000
10.1007/s11059-008-3007-9","01/23/2015
00000000
10.1007/2Fs11059-014-0289-y","Research Article
Retraction","United States
No"
6619,"The Semiotics of “Transit” in Joyce’s Ulysses
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"05/19/2009

10.1007/s11059-009-1015-z","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","United States
No"
18451,"Cioran et le gouffre temporel
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
University of Atlanta, Georgia (USA)",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"03/24/2009
00000000
10.1075/rro.44.1.05bar","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
18452,"Jeux transgressifs: Sur les egarements rochiens
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
University of Atlanta, Georgia (USA)",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"06/27/2011
00000000
10.1075/rro.46.1.06bar","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
6623,"La Parole Monstrueuse
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Frederick A. Treuhaft Foundation
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"12/01/2006

10.1007/s11059-006-0032-4","01/01/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","United States
No"
18457,"Le mythe de l’éminence grise. Sémiotique du sous-texte paulhanien
(HUM) Arts -Literature/Poetry; 
Les Lettres Romanes ---Brepols Publishers
Unavailable",+Notice - Lack of+Withdrawal,Richard Lawrence Etienne Barnett,"01/01/2011
00000000
10.1484/J.LLR.1.102300","01/01/2015
00000000
unavailable","Review Article
Retraction","United States
No"
18456,"Le postmoderne a la derive: parcours dubouchettien
(HUM) Arts -Literature/Poetry; 
Nottingham French Studies ---Edinburgh University Press
University of Atlanta",+Investigation by Journal/Publisher+Plagiarism of Article+Withdrawal,Richard Lawrence Etienne Barnett,"06/01/2012
00000000
10.3366/nfs.2004-3.003","01/01/2015
00000000
10.3366/nfs.2015.0111","Review Article
Retraction","United States
No"
18444,"Les enjeux de l’irrepresentable
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
Frederick A. Treuhaft Foundation Fellow",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"05/25/2004
00000000
10.1111/j.1600-0811.2004.00005.x","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
18450,"L'interminable depart: topos de l'evanescence rimbaldienne
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
University of Atlanta, Georgia (USA)",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"12/27/2007
00000000
10.1111/j.1600-0811.2007.420206.x","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
18445,"Mélanges: La guerre du goût
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
Frederick A. Treuhaft Foundation Fellow",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"10/15/2004
00000000
10.1111/j.1600-0811.2004.00016.x","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
6622,"Paroles Disloquées
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/",+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text,Richard Lawrence Etienne Barnett,"07/11/2013

10.1007/s11059-013-0210-0","01/01/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
18459,"Poetique de la fuite. Parcours rimbaldiens
(HUM) Arts -Literature/Poetry; 
Les Lettres Romanes ---Brepols Publishers
Unavailable",+Notice - Lack of+Withdrawal,Richard Lawrence Etienne Barnett,"01/01/2007
00000000
10.1484/J.LLR.3.154","01/01/2015
00000000
unavailable","Review Article
Retraction","United States
No"
18453,"Poetique de la rupture spectrale: Hantise et ressassement
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
University of Atlanta, Georgia (USA)",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"06/21/2013
00000000
10.1075/rro.48.1.06eti","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
18446,"Sur la poetique circonstancielle : micro-lecture dubouchettienne
(HUM) Arts -Literature/Poetry; 
Revue Romane ---John Benjamins
Frederick A. Treuhaft Foundation Fellow",+Investigation by Journal/Publisher+Plagiarism of Article,Richard Lawrence Etienne Barnett,"10/15/2004
00000000
10.1111/j.1600-0811.2004.00016.x","01/01/2015
00000000
10.1075/rro.50.1.001edi","Review Article
Retraction","United States
No"
18458,"Transpositions architecturale chez Bosco
(HUM) Arts -Literature/Poetry; 
Les Lettres Romanes ---Brepols Publishers
Unavailable",+Notice - Lack of+Withdrawal,Richard Lawrence Etienne Barnett,"01/01/2009
00000000
10.1484/J.LLR.3.186","01/01/2015
00000000
unavailable","Review Article
Retraction","United States
No"
20492,"The Elusive Object and the Fading Craft of Theatre Criticism: A Conversation with Gordon Rogoff
(HUM) Arts -Literature/Poetry; 
Journal of Dramatic Theory and Criticism ---University of Kansas
Izmir University of Economics, Izmir,Turkey",+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,"09/01/2010
00000000
10.1353/dtc.2010.0005","08/20/2014
00000000
10.1353/dtc.2014.0004","Review Article
Retraction","Turkey
No"
20491,"The Man Who Would Be Hated: An Interview with John Simon
(HUM) Arts -Literature/Poetry; 
Journal of Dramatic Theory and Criticism ---University of Kansas
Izmir University of Economics, Izmir,Turkey",+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,"09/01/2009
00000000
10.1353/dtc.2009.0001","08/20/2014
00000000
10.1353/dtc.2014.0004","Review Article
Retraction","Turkey
No"
20489,"The Farceur as Modernist: Fernand Crommelynck, The Magnanimous Cuckold, and Twentieth-Century Western Drama
(HUM) Arts -Literature/Poetry; 
Journal of Dramatic Theory and Criticism ---University of Kansas
unavailable",+Duplication of Article+Euphemisms for Duplication,Robert James Cardullo,"09/01/2013
00000000
10.1353/dtc.2013.0033","02/09/2014
00000000
10.1353/dtc.2013.0033","Review Article
Retraction","Unknown
No"
17209,"Cinema as ‘social documentary’: The film theory of André Bazin, revisited
(HUM) Arts - Film Studies; 
Studies in French Cinema ---Taylor and Francis
Izmar University of Economics, Turkey
http://retractionwatch.com/2014/01/28/film-review-by-noted-critic-a-rerun-retracted/",+Plagiarism of Article,Robert James Cardullo,"01/01/2013
00000000
10.1386/sfc.13.1.33_1","01/23/2014
00000000
10.1080/14715880.2014.886808","Review Article
Retraction","Turkey
No"
18230,"Letzte Hoffnung
(HUM) Arts -Literature/Poetry; 
Studies in Communication Sciences ---Swiss Association of Communication and Media Research
Unavailable",+Error by Journal/Publisher,Anonymous,"01/01/2013
00000000
10.1016/j.scoms.2013.04.032","06/19/2013
00000000
10.1016/j.scoms.2013.04.032","Other
Retraction","United States
No"
17256,"Post-TRC South African writing and the trauma of apartheid
(HUM) Arts -Literature/Poetry; (HUM) History - Africa; (SOC) Psychology; (SOC) Sociology; 
Polyvocia ---SOAS University of London
University of London
http://retractionwatch.com/2014/08/14/mistaken-punctuation-misreferencing-and-other-euphemisms-for-plagiarism/",+Plagiarism of Article,Danielle Faye Tran,"05/01/2012
00000000
unavailable","05/01/2013
00000000
unavailable","Research Article
Retraction","United Kingdom
No"
20496,"Andre Bazin on Rene Clement and Literary Adaptation: Two Original Reviews
(HUM) Arts -Literature/Poetry; 
Literature Film Quarterly ---Salisbury University
University of Michigan, Ann Arbor, Michigan",+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,"01/01/2002
00000000
unavailable","01/01/2013
00000000
unavailable","Review Article
Retraction","United States
No"
20498,"Death Wish, Child's Whim, 'Auteurist' Will: Boyer and Clement's Forbidden Games Replayed
(HUM) Arts -Literature/Poetry; 
Literature Film Quarterly ---Salisbury University
Izmir University of Economics, Turkey",+Euphemisms for Plagiarism+Plagiarism of Article,Robert James Cardullo,"09/01/2011
00000000
unavailable","01/01/2013
00000000
unavailable","Review Article
Retraction","Turkey
No"
20497,"Theater and Film, or 'Adolphe Appia and Me': A Discussion with Hans-Jurgen Syberberg
(HUM) Arts -Literature/Poetry; 
Literature Film Quarterly ---Salisbury University
Izmir University of Economics, Turkey",+Duplication of Article+Euphemisms for Duplication,Robert James Cardullo,"01/01/2010
00000000
unavailable","01/01/2013
00000000
unavailable","Review Article
Retraction","Turkey
No"
