RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 42 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
17176,"The Study of Quality of Life: Interview with Konstadina Griva (HSC) Medicine - General; (HUM) Philosophy;  Europe’s Journal of Psychology ---Psych Open Health & Quality of Life Research Group, Department of Kinesiology, Centre for Research and Technology, Trikala, Greece http://retractionwatch.com/2013/11/20/psychology-journal-editor-has-seven-articles-retracted-for-duplication-or-plagiarism/",+Plagiarism of Article,Paraskevi Theofilou,02/01/2013 00000000 10.5964/ejop.v9i1.582,11/01/2013 00000000 10.5964/ejop.v9i1.3582,Interview/Q&A Retraction,Greece No
2859,Terror Management and Stereotyping: Why Do People Stereotype When Mortality Is Salient? (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Psychology; (SOC) Sociology;  Personality & Social Psychology Bulletin ---SAGE Publications University of Groningen  Tilburg University http://retractionwatch.com/2013/02/07/when-we-wonder-what-it-all-means-stapel-retraction-count-rises-to-49/ http://retractionwatch.com/2012/10/02/diederik-stapel-faces-criminal-inquiry-for-misuse-of-funds/ http://retractionwatch.com/the-retraction-watch-leaderboard/,+Criminal Proceedings+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by Third Party+Misconduct - Official Investigation/Finding,Lennart J Renkema Diederik A Stapel Marcus Maringer Nico W van Yperen,04/01/2008 18252834 10.1177/0146167207312465,02/05/2013 23386661 10.1177/0146167212474240,Research Article Retraction,Netherlands Yes
11517,Equity and Moderation: The Reception and Uses of Aristotle’s Doctrine of epieikeia in Thirteenth-Century Ethics (HUM) History - Europe; (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Ethics/Bioethics;  Documenti e Studi Sulla Tradizione Filosofica Medievale ---Società Internazionale per lo Studio del Medioevo Latino (SISMEL) Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Plagiarism of Text,Martin William Francis Stone,12/01/2006 00000000 unavailable,01/01/2012 00000000 unavailable,Research Article Retraction,Unknown No
9112,"The Angelic Doctor and the Stagirite: Thomas Aquinas and Contemporary ‘Aristotelian’ Ethics (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Ethics/Bioethics;  Proceedings of the Aristotelian Society ---Oxford Academic King's College London, London http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Article+Plagiarism of Text,Martin William Francis Stone,06/01/2001 00000000 10.1111/j.0066-7372.2003.00023.x,10/01/2011 00000000 10.1111/j.1467-9264.2011.00322.x,Research Article Retraction,United Kingdom Yes
17632,"Thought styles and paradigms: A comparative study of Ludwik Fleck and Thomas S. Kuhn (HUM) History - General; (HUM) Philosophy;  Studies in History and Philosophy of Science Part A ---Elsevier RWTH Aachen, Philosophisches Institut, Eilfschornsteinstr. 16, 52062 Aachen, Germany",+Duplication of Article+Error by Journal/Publisher,Nicola Mößner,04/09/2011 00000000 10.1016/j.shpsa.2011.02.001,09/01/2011 00000000 10.1016/j.shpsa.2011.02.001,Research Article Retraction,Germany No
10203,"Research on limitation of knowledge (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Education;  2011 International Conference on Product Innovation Management (ICPIM 2011) ---Institute of Electrical and Electronics Engineers (IEEE) Library, Wuhan University of Technology, Wuhan, China Department of Information Engineering, Wuhan University of Technology, Wuhan, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author+Investigation by Journal/Publisher+Notice - Limited or No Information,Wang Huawei Lou Ping,07/16/2011  10.1109/ICPIM.2011.5983659,08/15/2011  10.1109/ICPIM.2011.5983659,Conference Abstract/Paper Retraction,China No
12710,"Philosophy and Theology (HUM) History - Europe; (HUM) Philosophy;  The Cambridge History of Medieval Philosophy ---Cambridge University Press Katholieke Universiteit Leuven, Leuven, Belgium http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Legal Reasons/Legal Threats+Notice - Limited or No Information,Martin William Francis Stone Robert Wisnovsky,01/01/2009  10.1017/CHOL9780521762182.013,06/01/2011  10.1017/CHOL9780521762182.013,Book Chapter/Reference Work Retraction,Belgium No
9192,The care of souls and “practical ethics” (HUM) Philosophy; (HUM) Religion; (SOC) Ethics/Bioethics;  The Cambridge History of Medieval Philosophy ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Notice - Limited or No Information+Plagiarism of Text,Martin William Francis Stone,01/01/2009  10.1017/CHOL9780521762168.040,05/01/2011,Book Chapter/Reference Work Retraction,Unknown No
8846,"Conscience in Renaissance moral thought: a concept in transition? (HUM) Philosophy; (PUB) Society/Association Journals;  Renaissance Studies ---Wiley Institute of Philosophy, Catholic University of Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Text,Martin William Francis Stone,08/19/2009 00000000 10.1111/j.1477-4658.2009.00603.x,08/12/2010 00000000 10.1111/j.1477-4658.2010.00694.x,Research Article Retraction,Belgium Yes
10756,"C++ Teaching Guided by System Theory and Practice Theory in Philosophy (B/T) Computer Science; (HUM) Philosophy; (PUB) Society/Association Journals; (SOC) Education;  2010 Second International Workshop on Education Technology and Computer Science ---Institute of Electrical and Electronics Engineers (IEEE) Colledge of Inf. Technol., Jilin Agric. Univ., Changchun, China Dept. of Environ. Eng., Jilin Archit. & Civil Eng. Inst., Changchun, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information,Yu Helong Zhao Yuxin Chen Guifen Jiao Hongbin,03/06/2010  10.1109/ETCS.2010.561,05/06/2010  10.1109/ETCS.2010.561,Conference Abstract/Paper Retraction,China No
6725,"Enlightenment of artistic features of soul vase in Wei and Jin dynasties on modern art design of ceramics (HUM) Arts - General; (HUM) History - Asia; (HUM) Philosophy;  2009 IEEE 10th International Conference on Computer-Aided Industrial Design & Conceptual Design ---Institute of Electrical and Electronics Engineers (IEEE) College of Art, Zhejiang University of Technology, Hangzhou, 310023, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author,Yunlong Qi Xu Zhou,11/26/2009,01/08/2010  10.1109/CAIDCD.2009.5375385,Conference Abstract/Paper Retraction,China Yes
6808,"Sorcery, Taoism, polytheism, Sao - Sources of Chu art's spiritual images (HUM) Arts - General; (HUM) History - Asia; (HUM) Philosophy; (HUM) Religion;  2009 IEEE 10th International Conference on Computer-Aided Industrial Design & Conceptual Design ---Institute of Electrical and Electronics Engineers (IEEE) Art College, Jiujiang University, Jiangxi Province 332005, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author+Date of Retraction/Other Unknown+Notice - Limited or No Information,Yang Sibao,11/26/2009 00000000 10.1109/CAIDCD.2009.5374938,01/08/2010 00000000 10.1109/CAIDCD.2009.5374938,Conference Abstract/Paper Retraction,China Yes
6803,"The influence of zen on the gardens and landscape (HUM) Arts - General; (HUM) Philosophy; (HUM) Religion;  2009 IEEE 10th International Conference on Computer-Aided Industrial Design & Conceptual Design ---Institute of Electrical and Electronics Engineers (IEEE) School of Urban Design Institute, Wuhan University, HuBei Province 430072, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author,Jia-Qing Guan Qui-Wen Shi,11/26/2009,01/08/2010  10.1109/CAIDCD.2009.5374875,Conference Abstract/Paper Retraction,China Yes
11461,"In the Shadow of Augustine: The Scholastic Debate on Lying from Robert Grosseteste to Gabriel Biel (HUM) Philosophy;  'Herbst des Mittelalters' Fragen zur Bewertung des 14th und 15th Jahrhunderts ---De Gruyter University of Leuven, Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Investigation by Company/Institution+Plagiarism of Article,Martin William Francis Stone,01/01/2004 00000000 10.1515/9783110204544.6.277,01/01/2010 00000000 10.1515/9783110204544.6.277,Book Chapter/Reference Work Retraction,Belgium No
9455,"Truth, deception, and lies: Lessons from the casuistical tradition (HUM) Philosophy; (SOC) Ethics/Bioethics;  Tijdschrift voor Filosofie ---Driemaandelijks Katholieke Universiteit Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Text,Martin William Francis Stone,01/01/2006,01/01/2010,Research Article Retraction,Belgium
12779,Probabilism and Its Methods: Leonardus Lessius and His Contribution to the Development of Jesuit Casuistry (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  Ephemerides Theologicae Lovanienses ---Peeters Publishers Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Plagiarism of Text+Withdrawal,Martin William Francis Stone T Van Houdt,12/01/1999  10.2143/ETL.75.4.504765,11/15/2009,Research Article Retraction,Unknown No
11152,The origins of probabilism in late scholastic moral thought : A prolegomenon to further study (HUM) History - Europe; (HUM) History - General; (HUM) Philosophy; (HUM) Religion;  Recherches de Theologie et Philosophie Medievales ---Peeters Publishers Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Plagiarism of Text,Martin William Francis Stone,01/01/2000  10.2143/RTPM.67.1.520,11/12/2009,Research Article Retraction,Unknown No
9114,"The Antiquarian and the Moderniser: Giovanni Lorenzo Berti (1696-1766), Pietro Tamburini (1737-1827), and Contrasting Defenses of the Augustinian Teaching on Unbaptised Infants in Eighteenth-Century Italy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  Quaestio ---Brepols Publishers K. U. Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Euphemisms for Plagiarism+Investigation by Company/Institution+Plagiarism of Text,Martin William Francis Stone,01/01/2006  10.1484/J.QUAESTIO.1.100071,01/01/2009  10.5555/J.QUAESTIO.6.78018881010204000008030507080778,Research Article Expression of concern,Belgium No
9827,"Aristotelianism and Scholasticism in Early Modern Philosophy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  A Companion to Early Modern Philosophy ---Wiley-Blackwell Department of Theology and Religious Studies, King’s College London http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Text,Martin William Francis Stone,01/01/2002 00000000 10.1002/9780470998847.ch2,01/14/2008 00000000 10.1002/9780470998847.ch2,Book Chapter/Reference Work Retraction,United Kingdom No
13938,Scholastic schools and early modern philosophy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  The Cambridge Companion to Early Modern Philosophy ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Copyright Claims+Legal Reasons/Legal Threats+Notice - Limited or No Information+Withdrawal,Martin William Francis Stone,01/01/2006 00000000 10.1017/CCOL0521822424.012,01/01/2007 00000000 10.1017/CCOL0521822424.012,Book Chapter/Reference Work Retraction,Unknown No
10022,Augustine and medieval philosophy (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  The Cambridge Companion to Augustine ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Copyright Claims,Martin William Francis Stone,01/01/2001  10.1017/CCOL0521650186.018,05/01/2006  10.1017/CCOL0521650186.018,Book Chapter/Reference Work Retraction,Unknown Yes
12579,"Practical Reason and the Orders of Morals and Nature in Aquinas’s Theory of the Lex Naturae (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  Mind, Metaphysics, and Value in the Thomistic and Analytical Traditions ---University of Notre Dame Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Plagiarism of Text,Martin William Francis Stone,01/01/2002,12/01/2002,Book Chapter/Reference Work Expression of concern,Unknown No
