RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 68 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
20199,Words Made Flesh Volume II Biblical Reflections for Year B (HUM) Religion;  Words Made Flesh Volume II Biblical Reflections for Year B ---Canadian Conference of Catholic Bishop Salt and Light Catholic Media Foundation http://retractionwatch.com/?s=thomas+rosica,+Notice - Lack of+Plagiarism of Text+Withdrawal,Thomas M Rosica,12/27/2011 00000000 unavailable,03/22/2019 00000000 unavailable,Book Chapter/Reference Work Retraction,Canada No
20172,"Preconception Care through Religious Leaders in Bangladesh – A Novel Approach (HSC) Medicine - Obstetrics/Gynecology; (HUM) Religion;  Delta Medical College Journal ---Delta Medical College Department of Gynaecology and Obstetrics, BIRDEM General Hospital, Dhaka",+Duplication of Article,Samsad Jahan Shahana Shermin,09/14/2018 00000000 10.3329/dmcj.v6i2.38212,03/18/2019 00000000 10.3329/dmcj.v6i2.40608,Research Article Retraction,Bangladesh No
20101,"Child of Light, Prince of Peace (HUM) Religion;  The Bible Today ---Liturgical Press Ecce Homo Center for Biblical Formation, Jerusalem",+Plagiarism of Article,Thomas M Rosica,11/01/1991 00000000 unavailable,03/11/2019 00000000 unavailable,Research Article Retraction,Israel No
20102,"Two Journeys of Faith (HUM) Religion;  The Bible Today ---Liturgical Press Ecce Homo Center for Biblical Formation, Jerusalem",+Plagiarism of Article,Thomas M Rosica,05/01/1993 00000000 unavailable,03/11/2019 00000000 unavailable,Research Article Retraction,Israel No
20054,"The Road to Emmaus and the Road to Gaza: Luke 24:13-35 and Acts 8:26-40 (HUM) Religion;  Worship ---Liturgical Press Ecce Homo Center for Biblical Formation, Jerusalem http://retractionwatch.com/2019/03/04/plagiarism-prompts-retraction-of-25-year-old-article-by-prominent-priest/",+Date of Retraction/Other Unknown+Plagiarism of Article,Thomas M Rosica,03/01/1994 00000000 unavailable,03/01/2019 00000000 unavailable,Review Article Retraction,Israel No
20346,"Thy Will be Done Through Us, In Spite of Us and Because of Us: Reflections on Pastoral Leadership and Ministry in the Church of 2010 and Beyond (HUM) Religion;  Seminary Journal ---Holy Apostles Salt and Light Catholic Media Foundation in Toronto",+Date of Retraction/Other Unknown+Euphemisms for Plagiarism+Plagiarism of Text,Thomas M Rosica,09/01/2011 00000000 unavailable,03/01/2019 00000000 unavailable,Review Article Retraction,Canada No
20349,"Two Holy Popes who loved God’s Chosen People (HUM) Religion;  Ecumenism ---Canadian Centre for Ecumenism Salt and Light, Toronto",+Plagiarism of Text,Thomas M Rosica,03/01/2014 00000000 unavailable,03/01/2019 00000000 unavailable,Research Article Retraction,Canada No
20350,'Allahu akbar' was never a call to violence and destruction (HUM) Religion;  America: The Jesuit Review ---America Press Salt and Light Television Network,+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,11/16/2015 00000000 unavailable,02/25/2019 00000000 unavailable,Newspaper/Magazine Article Retraction,Canada No
20776,Did Pope Francis say anything new about abortion (HUM) Religion;  America: The Jesuit Review ---America Press Salt and Light Television Network,+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,09/01/2015 00000000 unavailable,02/25/2019 00000000 unavailable,Review Article Retraction,Canada No
20198,We have nothing to fear from the family synod (HUM) Religion;  Catholic Herald ---Catholic Herald Salt and Light Catholic Media Foundation http://retractionwatch.com/?s=thomas+rosica,+Plagiarism of Text+Withdrawal,Thomas M Rosica,09/24/2015 00000000 unavailable,02/23/2019 00000000 unavailable,Newspaper/Magazine Article Retraction,Canada No
20056,"A brief history of human evolution: challenging Darwin’s claim (BLS) Biology - General; (HUM) Religion;  International Journal of Anthropology and Ethnology ---Springer Department of Visual Arts & Graphic Design, Institute of Visual Arts & Design, Lahore College for Women University, Lahore, Pakistan http://retractionwatch.com/2019/03/05/journal-retracts-creationist-paper-because-it-was-published-in-error/",+Error by Journal/Publisher,Sarah Umer,10/29/2018 00000000 10.1186/s41257-018-0014-2,02/19/2019 00000000 10.1186/s41257-019-0017-7,Research Article Retraction,Pakistan No
19816,"Religion and mental health (HUM) Religion; (SOC) Psychology;  Indian Journal of Psychiatry ---Wolters Kluwer Department of Psychiatry, Jawaharlal Nehru Medical College, Wardha, Maharashtra, India Department of Psychiatry, Mahatma Gandhi Institute of Medical Sciences, Sevagram, Maharashtra, India American Board of Psychiatry and Neurology Adult Board Certified and Senior Child Psychiatry, Fellow South Illinois University, USA",+Plagiarism of Article,Prakash B Behere Anweshak Das Richa Yadav Aniruddh P Behere,01/07/2013 23858253 10.4103/0019-5545.105526,01/15/2019 31123368 10.4103/0019-5545.249884,Review Article Retraction,India United States No
19769,Can we prove the existence of God using quantitative biology (BLS) Genetics; (HUM) Philosophy; (HUM) Religion;  OSF Preprints ---Center for Open Science unavailable,+Notice - Lack of,Tidjani Locatelli,10/04/2018 00000000 10.31219/osf.io/q9xzj,12/21/2018 00000000 10.31219/osf.io/q9xzj,Research Article Retraction,Unknown No
19586,"Migration, Transnationalism and Catholicism: Global Perspectives (B/T) International Relations; (HUM) Religion;  Social & Cultural Geography ---Taylor and Francis School of Geography, Queen Mary University of London",+Duplication of Article+Error by Journal/Publisher,Olivia Sheringham,10/05/2018 00000000 10.1080/14649365.2018.1519125,11/28/2018 00000000 10.1080/14649365.2018.1552911,Review Article Retraction,United Kingdom No
19367,Managing Learning for Quality Improvement of Islamic Education (HUM) Religion; (SOC) Education;  Jurnal Evaluasi ---Sekolah Tinggi Agama Islam Ma'had Aly Al-Hikam Dosen STAI Ma’had Aly Al-Hikam Malang,+Plagiarism of Article,Siti Mutholingah,06/01/2018 00000000 10.32478/evaluasi.v2i2.169,10/01/2018 00000000 10.32478/evaluasi.v3i1.188,Review Article Retraction,Indonesia No
20341,Theology as the hermeneutical logos of Theos: approach from its epistemological status (HUM) Religion;  Theologica Xaveriana ---Pontificia Universidad Javeriana Lumen Gentium Catholic University Foundation Autonomous University of Cali,+Plagiarism of Article+Taken from Dissertation/Thesis,Jaime Florez,06/01/2008 00000000 unavailable,07/27/2018 00000000 unavailable,Research Article Retraction,Mexico No
18829,"Atomic resolution studies detect new biologic evidences on the Turin Shroud (HUM) Religion; (PHY) Crystallography/Spectroscopy;  PLoS One ---PLoS Istituto Officina dei Materiali, Laboratorio Tecnologie Avanzate Superfici e Catalisi del Consiglio Nazionale delle Ricerche, Area Science Park–Basovizza, Trieste, Italy Istituto di Cristallografia, Consiglio Nazionale delle Ricerche, Bari, Italy Department of Industrial Engineering, Padua University, Padua, Italy http://retractionwatch.com/2018/07/19/over-authors-objections-plos-one-retracts-paper-claiming-shroud-of-turin-showed-evidence-of-trauma/",+Concerns/Issues About Data+Concerns/Issues About Image+Concerns/Issues About Results+Conflict of Interest+Lack Of Balance/Bias Issues+Objections by Author(s),Elvio Carlino Liberato de Caro Cinzia Giannini Giulio Fanti,06/30/2017 28666007 10.1371/journal.pone.0180487,07/19/2018 30024956 10.1371/journal.pone.0201272,Research Article Retraction,Italy No
19027,"David Eduardo TAVAREZ (Ed.). Words and Worlds Turned Around: Indigenous Christianities in Colonial Latin America. (HUM) Religion;  International Journal of Latin American Religions ---Springer Pontifical Catholic University, São Paulo, Brazil",+Euphemisms for Plagiarism+Plagiarism of Article,Marcos Verdugo,03/13/2018 00000000 10.1007/s41603-018-0040-y,03/13/2018 00000000 10.1007/s41603-018-0040-y,Review Article Retraction,Brazil No
20347,Why Pope Francis is Waging War on the Devil (HUM) Religion;  Humanitas ---Pontificia Universidad Catolica de Chile Salt and Light Catholic Media Foundation,+Euphemisms for Plagiarism+Plagiarism of Article,Thomas M Rosica,08/01/2016 00000000 unavailable,02/27/2018 00000000 unavailable,Review Article Retraction,Canada No
19823,The democratic turn in the secularism-religion debate (B/T) Government; (HUM) Religion;  Isegoria: Revista de Filosofia Moral y Politica ---Consejo Superior de Investigaciones Científicas (CSIC) Universidad de Deusto,+Duplication of Article,Diego Bermejo,01/07/2017 00000000 10.3989/isegoria.2017.057.08,01/08/2018 00000000 10.3989/isegoria.2017.057.08,Research Article Retraction,Spain No
7977,Thou shalt not suffer a witch to live (Exod 22:18) and contemporary Akan Christian belief and practice: A translational and hermeneutical problem (HUM) Religion; (PUB) Institutional Journals; (PUB) Society/Association Journals; (SOC) Linguistics;  Old Testament Essays ---The Old Testament Society of Southern Africa (OTSSA) University of the Western Cape [South Africa] Ghana Baptist University College,+Euphemisms for Plagiarism+Plagiarism of Text,Yaw Adu-Gyamfi,01/01/2016  10.17159/2312-3621/2016/v29n1a3,11/07/2016,Research Article Retraction,Ghana South Africa No
19819,"The spiritual reform of Saint Teresa of Jesus and her relationship with the courtly factions of the Spanish monarchy (HUM) Religion;  Hispania Sacra ---Consejo Superior de Investigaciones Científicas (CSIC) Instituto Universitario la Corte en Europa, UniversIdad Autonoma de Madrid",+Plagiarism of Article,Jose Martinez Millan,07/01/2015 00000000 10.3989/hs.2015.013,07/19/2016 00000000 10.3989/hs.2015.013,Research Article Retraction,Spain No
19461,Output and workforce in the Jesuit haciendas of colonial Buenos Aires: La Chacarita and Las Conchas in the eighteenth century (HUM) History - South America; (HUM) Religion;  Anuario de Estudios Americanos ---Consejo Superior de Investigaciones Científicas (CSIC) Universidad de Sevilla,+Duplication of Article,Sandra Fabiana Olivero Guidobono,07/01/2012 00000000 10.3989/aeamer.2012.2.09,06/14/2016 00000000 10.3989/aeamer.2012.2.09,Review Article Retraction,Spain No
10340,"A physiological understanding on the concept of Alochaka Pitta (HSC) Medicine - Alternative; (HSC) Medicine - General; (HUM) Religion;  International Ayurvedic Medical Journal ---Ayurvedic Medical Journal Department of Shareera Kriya, Karnataka Ayurveda Medical College, Mangalore – 575006Karnataka, India",+Date of Retraction/Other Unknown+Investigation by Journal/Publisher+Plagiarism of Text,Kamath Nagaraj,05/01/2016 00000000 unavailable,05/01/2016 00000000 unavailable,Review Article Retraction,India Unknown
4896,"The mystery of reincarnation (HSC) Medicine - Psychiatry; (HUM) Philosophy; (HUM) Religion;  Indian Journal of Psychiatry ---Wolters Kluwer - Medknow Department of Psychiatry, Mysore Medical College and Research Institute, Mysore, Karnataka, India Department of Physiology, Mysore Medical College and Research Institute, Mysore, Karnataka, India http://retractionwatch.com/2016/02/01/wikipedia-page-reincarnated-as-paper-journal-retracts-reincarnation-paper-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Text,Anil Kumar Mysore Nagaraj Raveesh Bevinahalli Nanjegowda S M Purushothama,01/01/2013 23858250 10.4103/0019-5545.105519,12/15/2015 26816443 10.4103/0019-5545.171860,Review Article Retraction,India No
11971,"Factors affecting nursing staff in practising spiritual care (HSC) Medicine - Alternative; (HSC) Medicine - Nursing; (HUM) Religion;  Journal of Clinical Nursing ---Wiley Alice Lee Centre for Nursing Studies, National University of Singapore, Singapore, Singapore http://retractionwatch.com/2015/11/04/more-retractions-errata-discovered-for-nursing-researcher/",+Duplication of Text+Euphemisms for Duplication,Moon Fai Chan,07/08/2009 19619214 10.1111/j.1365-2702.2008.02690.x,07/14/2015 26311519 10.1111/jocn.12930,Research Article Correction,Singapore
6251,"Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/",+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice,Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa,04/01/2011 00000000 10.1016/j.leaqua.2011.02.002,10/01/2014 00000000 10.1016/j.leaqua.2014.07.005,Research Article Retraction,United States No
17185,"Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/",+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice,Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa,04/01/2011 00000000 10.1016/j.leaqua.2011.02.002,07/30/2014 00000000 10.1016/j.leaqua.2012.04.001,Correction/Erratum/Corrigendum Retracted Article Retraction,United States No
17184,"Impact of Spiritual Leadership on Unit Performance (B/T) Business - Management; (HUM) Religion; (SOC) Sociology;  The Leadership Quarterly ---Elsevier Texas A&M - Central Texas, 1901 South Clear Creek Rd. Killeen, TX 76549, United States Center for the Army Profession and Ethic, West Point, United States Military Academy, West Point, NY, 10996, United States Department of Behavioral Sciences and Leadership, United States Military Academy, West Point, NY, 10996, United States Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 85287-4006, United States http://retractionwatch.com/2014/02/07/leadership-journal-to-retract-five-papers-from-fiu-scholar/ http://retractionwatch.com/category/by-author/walumbwa/",+Error in Data,Louis W Fry Sean T Hannah Michael Noel Frederick O Walumbwa,04/01/2011 00000000 10.1016/j.leaqua.2011.02.002,04/27/2012 00000000 10.1016/j.leaqua.2012.04.001,Research Article Correction,United States No
20600,"Buddhist Approaches to Managing Stress and Improving Mental Health (HUM) Philosophy; (HUM) Religion;  University of the Thai Chamber of Commerce Journal of Humanities and Social Sciences ---University of the Thai Chamber of Commerce Faculty of Social Sciences and Humanities, Mahidol University",+Date of Retraction/Other Unknown+Notice - Lack of,Sukhumpong Channuwong,04/01/2014 00000000 unavailable,04/01/2014 00000000 unavailable,Research Article Retraction,Thailand No
17211,"Warlords, priests and the politics of ethnic cleansing: a case-study from rural Bosnia Hercegovina (HUM) History - Europe; (HUM) Religion;  Ethnic and Racial Studies ---SAGE Publications Free University of Amsternam, Netherlands http://retractionwatch.com/2014/04/03/first-retraction-appears-for-dutch-anthropologist-mart-bax/",+Falsification/Fabrication of Data+Investigation by Company/Institution+Investigation by Journal/Publisher+Misconduct - Official Investigation/Finding+Misconduct by Author,Mart Bax,12/07/2010 00000000 10.1080/014198700329114,03/28/2014 00000000 10.1080/01419870.2014.886365,Review Article Retraction,Netherlands No
5286,"Islam and Post-Modernism: Locating the Rise of Islamism in Turkey (HUM) History - Asia; (HUM) Religion; (SOC) Political Science;  Journal of Islamic Studies ---Oxford Academic Centre for West Asian Studies, Jamia Millia Islamia",+Concerns/Issues about Referencing/Attributions+Plagiarism of Text+Withdrawal,Anwar Alam,06/26/2009  10.1093/jis/etp023,12/21/2012  10.1093/jis/ets096,Research Article Retraction,India No
15713,"On the destruction of spiritual culture in university (HUM) Religion; (PUB) Society/Association Journals; (SOC) Education;  2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce ---Institute of Electrical and Electronics Engineers (IEEE) Jiyuan Vocational and Technical College, Henan 454650, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information+Withdrawal,Wendong Wang,08/08/2011 00000000 10.1109/AIMSEC.2011.6009712,09/06/2011 00000000 10.1109/AIMSEC.2011.6009712,Conference Abstract/Paper Retraction,China No
3113,"Religion, culture and male involvement in the use of family planning: evidence from Enugu and Katsina States of Nigeria (HSC) Medicine - Nursing; (HSC) Medicine - Obstetrics/Gynecology; (HUM) Religion; (SOC) Psychology; (SOC) Sociology;  International Nursing Review ---Wiley Research and Evaluation Division, Society for Family Health, Abuja, Nigeria",+Copyright Claims,C Ujuju J Anyanti S B Adebayo F Muhammad O Oluigbo A Gofwan,06/02/2011 22092328 10.1111/j.1466-7657.2011.00900.x,09/06/2011 21848764 10.1111/j.1466-7657.2010.00820.x,Research Article Retraction,Nigeria No
9192,The care of souls and “practical ethics” (HUM) Philosophy; (HUM) Religion; (SOC) Ethics/Bioethics;  The Cambridge History of Medieval Philosophy ---Cambridge University Press Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Notice - Limited or No Information+Plagiarism of Text,Martin William Francis Stone,01/01/2009  10.1017/CHOL9780521762168.040,05/01/2011,Book Chapter/Reference Work Retraction,Unknown No
2924,"St. Luke and his cult as holy healer of the Serbs (HSC) Medicine - General; (HUM) History - Europe; (HUM) Religion; (PUB) Society/Association Journals;  Srpski Arhiv Za Celokupno Lekarstvo ---Serbian Medical Society Ministry of Health of Republic of Serbia, BelgradeInstitute of Pathophysiology, School of Medicine, BelgradeInstitute of Pathoanatomy, School of Medicine, Belgrade http://retractionwatch.com/2012/01/03/a-tsunami-of-plagiarism-in-serbia-but-hardly-any-retractions/",+Duplication of Article,Zorica Mitrovic Ljiljana Markovic Maja Nenadovic,09/01/2004 15794062 10.2298/SARH0410364M,10/12/2010 21180206 10.2298/SARH1010674U,Research Article Retraction,Serbia No
8666,"Initium omnis peccati est superbia: Jean Gerson's Analysis of Pride in His Mystical Theology, Pastoral Thought, and Hamartiology (HUM) History - Europe; (HUM) Religion; (PUB) Institutional Journals;  Garden of Evil: The Vices and Culture in the Middle Ages ---Pontifical Institute of Mediaeval Studies Higher Institute of Philosophy, Katholieke Universiteit Leuven http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/",+Plagiarism of Text,Martin William Francis Stone,01/01/2005,05/15/2010,Book Chapter/Reference Work Expression of concern,Belgium Unknown
6808,"Sorcery, Taoism, polytheism, Sao - Sources of Chu art's spiritual images (HUM) Arts - General; (HUM) History - Asia; (HUM) Philosophy; (HUM) Religion;  2009 IEEE 10th International Conference on Computer-Aided Industrial Design & Conceptual Design ---Institute of Electrical and Electronics Engineers (IEEE) Art College, Jiujiang University, Jiangxi Province 332005, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author+Date of Retraction/Other Unknown+Notice - Limited or No Information,Yang Sibao,11/26/2009 00000000 10.1109/CAIDCD.2009.5374938,01/08/2010 00000000 10.1109/CAIDCD.2009.5374938,Conference Abstract/Paper Retraction,China Yes
6803,"The influence of zen on the gardens and landscape (HUM) Arts - General; (HUM) Philosophy; (HUM) Religion;  2009 IEEE 10th International Conference on Computer-Aided Industrial Design & Conceptual Design ---Institute of Electrical and Electronics Engineers (IEEE) School of Urban Design Institute, Wuhan University, HuBei Province 430072, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Breach of Policy by Author,Jia-Qing Guan Qui-Wen Shi,11/26/2009,01/08/2010  10.1109/CAIDCD.2009.5374875,Conference Abstract/Paper Retraction,China Yes
12779,Probabilism and Its Methods: Leonardus Lessius and His Contribution to the Development of Jesuit Casuistry (HUM) History - Europe; (HUM) Philosophy; (HUM) Religion;  Ephemerides Theologicae Lovanienses ---Peeters Publishers Unavailable http://retractionwatch.com/2016/06/08/philosopher-earns-13th-retraction-for-plagiarism/,+Plagiarism of Text+Withdrawal,Martin William Francis Stone T Van Houdt,12/01/1999  10.2143/ETL.75.4.504765,11/15/2009,Research Article Retraction,Unknown No
