cited_magid,cited_doi,cited_ref_hints(author),cited_retraction_year,cited_publication_year,citing_doi,citing_title,citing_author,citing_venue,venue_id,venue_type,venue_area,venue_category,citing_publisher,citing_publication_year,source,period,fulltext,retracted,notes
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,Resiliency and Selfless Service Development in Army ROTC Physical Training: A Qualitative Investigation,Molly Voelz Fischer,,nan,Thesis,,,,2014,mag,1,33_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,An integrated spiritual leadership model for the South African public service: a case of selected government departments,Penelope Karen P.K. Law,,nan,Thesis,,,University of the Western Cape,2013,mag,0,32_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,DEVELOPMENT AND VALIDATION OF A SPIRITUAL LEADERSHIP QUESTIONNAIRE IN A SOUTH AFRICAN CONTEXT,Magister Commercii,,nan,Thesis,,,,2013,mag,0,30_nodoi.pdf,,
2039505288,10.1097/00000539-200010000-00022,Joachim Boldt,2020,2000,,Physiological aspects of fluid and electrolyte balance,Dileep N. Lobo,,nan,Thesis,,,University of Nottingham,2003,mag,0,3_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,The relationship between spirituality and sustainable procurement in the Australian higher education sector,M Mansi,,nan,Thesis,,,,2012,mag,0,29_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,Professional reading and the education of military leaders,Emmet James McElhatton,,nan,Thesis,,,Victoria University of Wellington,2014,mag,1,28_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,An Examination Between High and Low Optimistic NCAA Division I Student-Athletes' Perceptions of Preferred Leadership Behavior in Sport: A Qualitative Investigation,Alexander C Roorda,,nan,Thesis,,,,2015,mag,1,25_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,Developing and validating a scale of altruistic leadership,Ksenia Zheltoukhova,,nan,Thesis,,,Lancaster University,2016,mag,1,23_nodoi.pdf,,
2121461932,10.3171/2010.9.FOCUS10200,Samuel Romero-Vargas;;Jose Luis Ruiz-Sandoval;;Arturo Sotomayor-Gonzalez;;Rogelio Revuelta-Gutierrez;;Miguel Angel Celis-Lopez;;Juan Luis Gomez-Amador;;Ulises Garcia-Gonzalez;;Raul Lopez-Serna;;Victor Garcia-Navarro;;Diego Mendez-Rosito;;Victor Correa-Correa;;Sergio Gomez-Llata,2018,2010,,"Site Occupation and Phenotypic Variation at Colha, Belize",Brenda Snowden,,nan,Thesis,,,,2013,mag,0,22_nodoi.pdf,,
2075796680,10.4103/0019-5545.105526,Prakash B Behere;;Anweshak Das;;Richa Yadav;;Aniruddh P Behere,2019,2013,,"Blame Recovery: Modeling the Effec ts Of Personality, Religious-spiritual Belief, and Gender On Blame Attr ibutions and Psychological Wellbeing Aft er A Failed Romantic Relationship",Gillian C. Tohver,,nan,Thesis,,,,2014,mag,0,21_nodoi.pdf,,
2075796680,10.4103/0019-5545.105526,Prakash B Behere;;Anweshak Das;;Richa Yadav;;Aniruddh P Behere,2019,2013,,Association of Religious Commitment and Perceived Stress Levels in College Students,Brianna N Carter,,nan,Thesis,,,,2016,mag,0,20_nodoi.pdf,,
2039505288,10.1097/00000539-200010000-00022,Joachim Boldt,2020,2000,,PENGARUH KADAR ALBUMIN TERHADAP LAMA RAWATAN DAN MORTALITAS PADA PASIEN DI RUANG RAWAT INTENSIF ANAK,Gema Nazri Yanni,,nan,Thesis,,,,2008,mag,0,2_nodoi.pdf,,
2075796680,10.4103/0019-5545.105526,Prakash B Behere;;Anweshak Das;;Richa Yadav;;Aniruddh P Behere,2019,2013,,Daily stress and religion as a coping resource,Kea Beckham,,nan,Thesis,,,Dublin Business School,2013,mag,0,19_nodoi.pdf,,
1925740804,10.1016/j.cub.2015.09.056,Jean Decety;;Jason M Cowell;;Kang Lee;;Randa Mahasneh;;Susan Malcolm-Smith,2019,2015,,"Group Dynamics, Religious Group Relations and Terror Management Theory",Mikhail Terman,,nan,Thesis,,,,2016,mag,0,17_nodoi.pdf,,
1925740804,10.1016/j.cub.2015.09.056,Jean Decety;;Jason M Cowell;;Kang Lee;;Randa Mahasneh;;Susan Malcolm-Smith,2019,2015,,Children's understanding of kindness,Elizabeth R. Coalter,,nan,Thesis,,,,2017,mag,0,16_nodoi.pdf,,
1973632246,10.2466/pr0.1990.66.2.355,Ronald Grossarth-Maticek;;Hans J Eysenck,2020,1990,,"Evaluation of differences in depression, defensiveness, social support, and coping between acute and chronic CHD patients hospitalized for myocardial infarction or unstable angina",Ashley Ellen Owen,,nan,Thesis,,,,2003,mag,0,11_nodoi.pdf,,
2087178820,10.1080/1462740500061160,Charles K Armstrong,2020,2005,,Criminology on Crimes Against Humanity: A North Korean Case Study,Megan Alyssa Novak,,nan,Thesis,,,,2015,mag,0,10_nodoi.pdf,,
2039505288,10.1097/00000539-200010000-00022,Joachim Boldt,2020,2000,,Analysis of methoxy-polyethylene glycol-modified human serum albumin,Frederick William Houts,,nan,Thesis,,,,2006,mag,0,0_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,"Knowledge, Leadership and the Role of Spirituality: An Exploration of Principal as Spiritual Leader",Amanda Werts ;; Jane Clark Lindle ;; Robert C Knoeppel ;; Emily Riester Green ;; Matt Della Salla,Annual Meeting of the American Educational Research Association,nan,Journal article,,,,2012,mag,0,73_nodoi.pdf,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,10.1108/TLO-08-2011-0046,Organizational learning culture and workplace spirituality,Monthon Sorakraikitikul ;; Sununta Siengthai,The Learning Organization,issn: 9696474,Journal article,"Business, Management and Accounting;; Social Sciences
",Organizational Behavior and Human Resource Management;; Education,Emerald Group Publishing Limited,2014,mag,1,,,
2564173654,10.1093/ips/olw019,Jens Bartelson,2016,2016,10.1177/0967010618795787,Warfare as design : Transgressive creativity and reductive operational planning,Dan Öberg,Security Dialogue,issn: 9670106,Journal article,Social Sciences,"Political Science and International Relations; Sociology and Political Science
",Sage Publications,2018,mag,1,,,
2796436963,10.1213/00000539-199911000-00009,Bernhard Kumle;;Joachim Boldt;;Sven Piper;;Christian Schmidt;;Stephan Suttner;;Sanja Salopek,2020,1999,10.1007/S00508-004-0237-3,Hydroxyethyl starch--can the safety problems be ignored?,Christian J. Wiedermann,Wiener Klinische Wochenschrift,issn: 4353250,Journal article,Medicine,Medicine (miscellaneous),Springer Vienna,2004,mag,0,,,
2796436963,10.1213/00000539-199911000-00009,Bernhard Kumle;;Joachim Boldt;;Sven Piper;;Christian Schmidt;;Stephan Suttner;;Sanja Salopek,2020,1999,10.1007/BF03040482,Hydroxyethylstärke (HES)@@@Hydroxyethylstärke (HES),Joachim Boldt,Wiener Klinische Wochenschrift,issn: 4353250,Journal article,Medicine,Medicine (miscellaneous),,2004,mag,0,,,
2302544899,10.1111/1467-9752.12181,Kubilay Kaptan,2016,2016,10.1111/THEO.12268,Do Moral Philosophers Have to Be Moral,Sven Ove Hansson,Theoria,issn: 4058250,Journal article,Arts and Humanities,Philosophy,"John Wiley & Sons, Ltd",2020,mag,1,,,
1973632246,10.2466/pr0.1990.66.2.355,Ronald Grossarth-Maticek;;Hans J Eysenck,2020,1990,10.4328/JCAM.3253,Choroidal and Ganglion Cell Complex Thicknesses in Subjects with Type A Behavior Pattern: An Optical Coherence Tomography Study A Tipi Kişilik Yapisina Sahip Bireylerde Koroid ve Ganglion Hücre Kompleks Kalinliklari: Optik Koherens Tomografi Çalişmasi,Gülizar Demirok ;; Ahmet Gül ;; Sertaç Öztürk,,issn: 2667663X,Journal article,,,,2015,mag,0,DOI,,VENUE-NOT-IN-SCIMAGO
1925740804,10.1016/j.cub.2015.09.056,Jean Decety;;Jason M Cowell;;Kang Lee;;Randa Mahasneh;;Susan Malcolm-Smith,2019,2015,10.33929/SHERM.2019.VOL1.NO1.06,Responses to the Religion Singularity: A Rejoinder,Darren M. Slade ;; Kenneth W. Howard,Socio-Historical Examination of Religion and Ministry,issn: 26377519; issn:  26377500,Journal article,,,The FaithX Project,2019,mag,1,,,VENUE-NOT-IN-SCIMAGO
1925740804,10.1016/j.cub.2015.09.056,Jean Decety;;Jason M Cowell;;Kang Lee;;Randa Mahasneh;;Susan Malcolm-Smith,2019,2015,10.1007/S41603-017-0024-3,"Pro-Social Behavior: Contributions of Religiosity, Empathic Concern, and Spirituality",Eric Roth,International Journal of Latin American Religions,issn: 25099965; issn:  25099957,Journal article,,,Springer International Publishing,2017,mag,0,,,VENUE-NOT-IN-SCIMAGO
2039120332,10.2143/RTPM.67.1.520,Martin William Francis Stone,2009,2000,10.1353/NOV.2019.0050,The Incipient Probabilism of Francisco de Vitoria,O P Gregory Pine,Nova et vetera,issn: 24705861; issn:  15427315,Journal article,,,The Catholic University of America Press,2019,mag,1,,,VENUE-NOT-IN-SCIMAGO
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,Universality of Servant Leadership,A.J. Timiyo ;; Annie Yeadon-Lee,International Leadership Journal,issn: 24543012; issn:  23940417,Journal article,,,Thomas Edison State University,2016,mag,1,,,VENUE-NOT-IN-SCIMAGO
2075796680,10.4103/0019-5545.105526,Prakash B Behere;;Anweshak Das;;Richa Yadav;;Aniruddh P Behere,2019,2013,10.1016/J.HELIYON.2020.E04273,Prevalence of and factors associated with depression among hill tribe individuals aged 30 years and over in Thailand,Chalitar Chomchoei ;; Tawatchai Apidechkul ;; Vivat Keawdounglek ;; Chanyanut Wongfu ;; Siriyaporn Khunthason ;; Niwed Kullawong ;; Ratipark Tamornpark ;; Panupong Upala ;; Fartima Yeemard,Heliyon,issn: 24058440,Journal article,Multidisciplinary,Multidisciplinary,Elsevier,2020,mag,1,,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,10.11114/BMS.V1I2.921,Self-interest and Altruism: Pluralism as a Basis for Leadership in Business,Jay Joseph,Business and Management Studies,issn: 23745916; issn:  23745924,Journal article,,,Redfame Publishing,2015,mag,1,,,VENUE-NOT-IN-SCIMAGO
2941524414,10.1111/cccr.12076,Linda Jean Kenix,2016,2014,10.1080/23743670.2017.1292703,Questioning the media-democracy link: South African journalists’ views,Wallace Chuma ;; Herman Wasserman ;; Tanja Bosch ;; Rebecca Pointer,African journalism studies,issn: 23743689; issn:  23743670,Journal article,Social Sciences,Communication,Routledge,2017,mag,1,,,
2899430158,10.1186/s41257-018-0014-2,Sarah Umer,2019,2018,10.1186/S41257-019-0017-7,Retraction Note: A brief history of human evolution: challenging Darwin’s claim,Sarah Umer,International Journal of Anthropology and Ethnology,issn: 23661003,Journal article,,,SpringerOpen,2019,mag,1,,,VENUE-NOT-IN-SCIMAGO
2315104695,10.1557/opl.2014.430,Maryfran Heinsch;;Pamela B Vandiver;;Kyra Lyublyanovics;;Alice M Choyke;;Perry Tourtellotte;;Claudia Chang,2017,2014,10.1016/J.JASREP.2019.101905,Local production and long-distance trade of Islamic glazed ceramics in Central Asia: A compositional analyses of ceramics from Southern Kazakhstan by NAA and LA-ICP-MS,Catherine E. Klesner ;; Brandi L. MacDonald ;; Laure Dussubieux ;; Yeraly Akymbek ;; Pamela B. Vandiver,Journal of Archaeological Science: Reports,issn: 2352409X,Journal article,"Arts and Humanities;;
Social Sciences","Archeology (arts and humanities); History;; Archeology
",Elsevier,2019,mag,1,,,
2796436963,10.1213/00000539-199911000-00009,Bernhard Kumle;;Joachim Boldt;;Sven Piper;;Christian Schmidt;;Stephan Suttner;;Sanja Salopek,2020,1999,,Utilización perioperatoria de coloides por los anestesiólogos españoles: encuesta de opinión,Basora M ;; Moral ;; Llau Jv ;; Silva S,Revista española de anestesiología y reanimación,"issn: 23403284, 00349356",Journal article,Medicine,"Anesthesiology and Pain Medicine;
Critical Care and Intensive Care Medicine
",Rev Esp Anestesiol Reanim,2007,mag,0,,,
2097384229,10.1080/014198700329114,Mart Bax,2014,2010,10.51134/SOD.2014.019,The War in Bosnia and Herzegovina and the Phenomenon of Ethnic Cleansing,Ondřej Žíla,Czech Journal of Contemporary History,issn: 23363142; issn:  23363134,Journal article,,,"Institute of Contemporary History, Czech Academy of Sciences",2014,mag,1,,,VENUE-NOT-IN-SCIMAGO
2168925826,10.1177/0305735613482025,Nicolas Guéguen;;Sébastien Meineri;;Jacques Fischer-Lokou,2020,2013,10.1007/S40806-018-0147-7,The Status Competition Model of Cultural Production,Bo Winegard ;; Ben Winegard ;; David C. Geary,Evolutionary Psychological Science,"issn: 23302933; issn:  23302925
",Journal article,Psychology,"Experimental and Cognitive Psychology; Social Psychology
",Springer International Publishing,2018,mag,0,,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,10.1146/ANNUREV-ORGPSYCH-031413-091312,The Fascinating Psychological Microfoundations of Strategy and Competitive Advantage,Robert E. Ployhart ;; Robert E. Ployhart ;; Donald Hale,Annual Review of Organizational Psychology and Organizational Behavior,issn: 23270608,Journal article,"Business, Management and Accounting;; Psychology",Organizational Behavior and Human Resource Management;; Applied Psychology; Social Psychology,Annual Reviews,2014,mag,1,,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,10.1177/2322093717736134,"Workplace Spirituality and Organizational Performance in Indian Context: Mediating Effect of Organizational Commitment, Work Motivation and Employee Engagement:",Naval Garg,South Asian Journal of Human Resources Management,issn: 23220937; issn:  23495790,Journal article,"Business, Management and Accounting	",Organizational Behavior and Human Resource Management,"SAGE PublicationsSage India: New Delhi, India",2017,mag,1,,,
2125545750,10.1155/2015/954651,Changhai Peng;;Xiao Wu,2017,2015,10.1155/2016/8513293,Case Study: LCA Methodology Applied to Materials Management in a Brazilian Residential Construction Site,João de Lassio ;; Josué França ;; Kárida Espirito Santo ;; Assed Haddad,The Journal of Engineering,"issn: 23144912; issn:  23144904
",Journal article,Chemical Engineering;; Computer Science;; Engineering,"Chemical Engineering (miscellaneous);; Hardware and Architecture;; Civil and Structural Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering

",Hindawi,2016,mag,0,,,
1840656621,10.1093/jis/etp023,Anwar Alam,2012,2009,10.5339/MESSA.2014.5,Back in the Barracks But Not Forgotten: Lasting Cultural Legacies of the Turkish Armed Forces,Patrick Hamon,Journal of Georgetown University-Qatar Middle Eastern Studies Student Association,issn: 23118148,Journal article,,,Hamad bin Khalifa University Press (HBKU Press),2014,mag,1,,,VENUE-NOT-IN-SCIMAGO
2120150106,10.1109/ICCSIT.2010.5564489,Chao Zhen;;Jieping Xu,2010,2010,10.1080/23080477.2015.11665646,A Smart Audio On Demand Application On Android Systems,"Ding, Ing-Jr; Lin, Tse-Min; Shih, Roung-Chen; Fan, Yang-Cheng; Nian, Ting-Wei",Smart Science,issn: 23080477,Journal article,Chemical Engineering;; Chemistry;; Computer Science;; Energy;; Engineering;; Mathematics,Fluid Flow and Transfer Processes;; Chemistry (miscellaneous);; Computer Networks and Communications;; Energy (miscellaneous);; Engineering (miscellaneous);; Computational Mathematics; Modeling and Simulation,,2015,coci,1,DOI,,
2120150106,10.1109/ICCSIT.2010.5564489,Chao Zhen;;Jieping Xu,2010,2010,10.6493/SMARTSCI.2015.240,A Smart Audio on Demand Application on Android Systems,Ing-Jr Ding ;; Tse-Min Lin ;; Roung-Chen Shih ;; Yang-Cheng Fan ;; Ting-Wei Nian,Smart Science,issn: 23080477,Journal article,Chemical Engineering;; Chemistry;; Computer Science;; Energy;; Engineering;; Mathematics,Fluid Flow and Transfer Processes;; Chemistry (miscellaneous);; Computer Networks and Communications;; Energy (miscellaneous);; Engineering (miscellaneous);; Computational Mathematics; Modeling and Simulation,TAETI ACADEMIC PUBLISHER,2015,mag,1,,,
1968685498,10.1016/j.leaqua.2011.02.002,Louis W Fry;;Sean T Hannah;;Michael Noel;;Frederick O Walumbwa,2014,2011,,"THE RELATIONSHIP BETWEEN SPIRITUAL LEADERSHIP, SPIRITUAL WELL-BEING AND JOB SATISFACTION IN THE MALAYSIAN SHIPPING INDUSTRY: A PILOT STUDY",Juhaizi Mohd Yusof ;; Mahadzirah Mohamad ;; Zainal Abidin,,issn: 2307227X ,Journal article,,,,2014,mag,1,24_nodoi.pdf,,VENUE-NOT-IN-SCIMAGO
2121461932,10.3171/2010.9.FOCUS10200,Samuel Romero-Vargas;;Jose Luis Ruiz-Sandoval;;Arturo Sotomayor-Gonzalez;;Rogelio Revuelta-Gutierrez;;Miguel Angel Celis-Lopez;;Juan Luis Gomez-Amador;;Ulises Garcia-Gonzalez;;Raul Lopez-Serna;;Victor Garcia-Navarro;;Diego Mendez-Rosito;;Victor Correa-Correa;;Sergio Gomez-Llata,2018,2010,10.1515/OPAR-2016-0002,Essential Tensions: A Framework for Exploring Inequality Through Mortuary Archaeology and Bioarchaeology,Colin P. Quinn ;; Jess Beck,Open Archaeology,issn: 23006560,Journal article,"Arts and Humanities;;
Social Sciences",Archeology (arts and humanities); Conservation;; Education,De Gruyter Open,2016,mag,0,,,
2886242761,10.3389/fpsyg.2018.01333,Jolie B Wormwood;;Madeleine Devlin;;Yu Ru Lin;;Lisa Feldman Barrett;;Karen S Quigley,2020,2018,10.3389/FPUBH.2020.00175,An Experimental Study of Effects of Media Implication on Self-Report Symptoms Related With MP Use,Peng Gao ;; Fei-Zhou Zheng ;; Min-Di He ;; Min Li ;; Ping Deng ;; Zhou Zhou ;; Zheng-Ping Yu ;; Lei Zhang,Frontiers in Public Health,"issn: 22962565
",Journal article,Medicine,"Public Health, Environmental and Occupational Health",Front Public Health,2020,mag,1,,,
1925740804,10.1016/j.cub.2015.09.056,Jean Decety;;Jason M Cowell;;Kang Lee;;Randa Mahasneh;;Susan Malcolm-Smith,2019,2015,10.5812/IJHRBA.95072,The Role of the Educational Teachings of Religion in the Prevention of High-Risk Social Behaviors: The Biography and Hadiths of Imam Sadiq (Peace Be Upon Him),Mahdi Mahdavi Panah ;; Seyed Mahdi Lotfi,international journal high risk behaviors & addiction,issn: 2251872X; issn:  22518711,Journal article,"Medicine;; Psychology

","Medicine (miscellaneous); Psychiatry and Mental Health;; Clinical Psychology
",Kowsar,2019,mag,1,,,
2075796680,10.4103/0019-5545.105526,Prakash B Behere;;Anweshak Das;;Richa Yadav;;Aniruddh P Behere,2019,2013,,Self-perception of quality of life and its association with lifestyle behaviours of young Iranian women.,Asiyeh Salehi ;; Neil Harris ;; Bernadette Sebar ;; Elisabeth Coyne,Iranian Journal of Public Health,issn: 22516085; issn:  22516093,Journal article,Medicine,"Public Health, Environmental and Occupational Health",IRANIAN JOURNAL OF PUBLIC HEALTH,2015,mag,0,,,
2055080221,10.1016/j.sbspro.2011.05.014,Nangkula Utaberta;;Badiossadat Hassanpour;;Adi Irfan Che Ani;;Mastor Surat,2011,2011,10.21326/KSDT.2016..53.008,"Relationship between Self-efficacy, Satisfaction and Academic Outcome of Korean Design Major Students",Ji Sun An ;; Nangyeon Lim,Journal of Korea Design Forum,issn: 22339205,Journal article,,,Korea Society of Design Trend,2016,mag,1,,,VENUE-NOT-IN-SCIMAGO
1973632246,10.2466/pr0.1990.66.2.355,Ronald Grossarth-Maticek;;Hans J Eysenck,2020,1990,,Mindfulness and Basic Psychological Needs among Patients with Coronary Heart Disease,Yadollah Ghasemipour ;; Nima Ghorbani,Iranian Journal of Psychiatry and Clinical Psychology,issn: 22287515; issn:  17354315,Journal article,Medicine;; Psychology,Psychiatry and Mental Health;; Clinical Psychology,Iranian Journal of Psychiatry and Clinical Psychology,2010,mag,0,,,
1973632246,10.2466/pr0.1990.66.2.355,Ronald Grossarth-Maticek;;Hans J Eysenck,2020,1990,10.29252/NIRP.IJPCP.23.4.408,An Evaluation of the Contributions of the Triple Vulnerability Model to the Prediction of Emotional Disorders,Tohid Ranjbari ;; Javad Karimi ;; Abolfazl Mohammadi ;; Mohammad Reza Norouzi,Iranian Journal of Psychiatry and Clinical Psychology,issn: 22287515; issn:  17354315,Journal article,Medicine;; Psychology,Psychiatry and Mental Health;; Clinical Psychology,Iranian Journal of Psychiatry and Clinical Psychology,2018,mag,0,,,
