citfunc,sectitle,refentry,art,sectype,sectype2,refid,sec,ctx,pointerlist,nbcontexts,nbsections,itrp,anchorsent,partext,potential_cf,annotator,dataset
"qualifies","epidemiologic aspects","","10.1097/00001574-199907000-00008","","","","","","","","","","generally, it seems that the incidence of uc has changed little over the past decade.

another recent paper by wakefield et al.[5], implicating a close relationship between the measles, mumps, and rubella (mmr) vaccine, ibd, and autism in children, stimulated much controversy. in a relatively small number of patients (12), an association was found between pervasive developmental disorders and ileal-lymphoid-nodular hyperplasia or nonspecific colitis.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1097/00005176-199909000-00008","","","","","","","","","","this is a reasonable conclusion, because after casein is ingested, many casein-derived peptides can be recovered from the blood (7). ileal-lymphoid nodular hyperplasia and nonspecific colitis have been related to late-onset pervasive development in children (17). in this group of children, we find very high peptide levels in the urine (14,15).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"cites for information","autism with intestinal features 
","","10.1089/acm.1999.5.575","introduction","","","","","","","","","some researchers regard the presence of abdominal features in these illnesses as important and of possible etiologic significance (amery and forget, 1989; mavromichalis et al., 1995; peppercorn and herzog, 1989). recently, autism has been added to the list of neurologic conditions with abdominal features (horvath et al., 1998; murch et al, 1998; wakefield et al., 1998;). 
a possible explanation of the relationship between abdominal symptoms and neurological syndromes can be found in the influence that the enteric nervous system (ens) has on the central nervous system (cns).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","autism with intestinal features 
","","10.1089/acm.1999.5.575","introduction","","","","","","","","","although there is no cure, appropriate management may foster relatively normal development and reduce undesirable behaviors, 
recent medical research may add autism to the growing list of neurological illnesses with abdominal features. wakefield et al. (1998) investigated a consecutive series of children with chronic enterocolitis and regressive developmental disorder. the 12 children (mean age 6 years) had a history of normal development followed by loss of acquired skills, including ianguage.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"qualifies","aetiology","","10.1192/bjp.176.1.20","","","","","","","","","","more tangible has been the discovery of lymphoid hyperplasia near the ileo-caecal junction in children who had been selected on the basis of an autistic regression together with current bowel symptoms (wakefield et al, 1998c ). the regression occurred immediately after immunisation in only one-third of the subjects, but nearly all the biopsy specimens showed evidence of measles infection (wakefield et al, 1998a ). this suggests that measles might act in conjunction with another factor, whether genetic predisposition, intercurrent infection or multiple immunisation, to trigger a chronic inflammatory response.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1080/13590840020013248","","","","","","","","","","since many of the uk children were experiencing diarrhoea and other gastrointestinal problems, dr andrew wake􏱜field, a gastroenterologist at the royal free hospital, was consulted. 
the ensuing battle, conducted in the pages of the lancet in articles, editorials and letters [8, 9, 10] would, if reported in detail, take more space than can possibly be devoted to it here, and is probably well known to the reader. suf􏱜r ce it to say that the acrimonious charges and countercharges are still being heard, and the 􏱜 ght is far from over.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"disputes","discussion","","10.1080/13590840020013257","","","","","","","","","","it is possible that other metals may play an etiologic role in some cases in a similar manner [16– 18]. there is now evidence that some of these children have had their bowel/brain disease triggered by immunizing agents [19], though this has been refuted [20]. also, ileal-lymphoid nodular hyperplasia has been reported in other conditions [21].","","","disputes","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1080/13590840020024994","","","","","","","","","","the number of children involved in it has now grown to over 1,000, and it should come to court early next year. meanwhile dr andrew wake􏱜field, with his new collaborator, prof. john o’leary of dublin, hopes next year to publish new research which, they claim, con􏱜firms in greater detail the hypothesis set out in the 1988 lancet paper [6]. but how does this mesh with the new, mercury-based, hypothesis of autism?","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","aetiology ","","10.1007/s007870070022","","","","","","","","","","recently, attention has been drawn to a report on a consecutive series of 12 children with a history of pervasive developmental disorder who were reported to exhibit loss of acquired skills and intestinal symptoms, such as diarrhoea, abdominal pain and food intolerance. extensive clinical investigations revealed a chronic inflammatory bowel disease, associated autism (n = 9) or related conditions (n = 3) and an absence of focal neurological abnormalities (124). according to the parents, the onset of behavioural symptoms was associated with recent measles, mumps, rubella vaccination in eight children, with measles infection in one child and with otitis media in another child.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1177/1362361300004002008","","","","","","","","","","the original theory of elevated levels of opioid-type compounds affecting neurotransmission within the central nervous system (cns) of people with autism has been expanded (shattock et al., 1990; shattock and savery, 1996; wakefield et al., 1998) and biochemical tests are now available to establish the presence of these compounds in the urine of people with autistic spectrum disorders (reichel et al., 1981; shattock et al., 1990; mills et al., 1998). diet has long been suspected of being the source of these exogenously derived opioid-type compounds, with studies demonstrating a connection between the exclusion of gluten and/or casein from the diet and improvements in the behaviour of some children with autism (knivsberg et al., 1990; 1995; lucarelli et al., 1995; whiteley et al., 1999).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","discussion","","10.1177/088307380001500701","","","","","","","","","","the apparent, though short-term, improvement during treatment with this minimally absorbed antibiotic is not explainable using current conventional genetic hypotheses 17 alone for autism. results of this preliminary study, along with previous reports of increased intestinal permeability18 and a &dquo;nonspecific colitis&dquo; in children with autism 19,&dquo; suggests a possible &dquo;gut-brain&dquo; etiologic connection in a subset of these children. although the hypothesis that autism (in a defined subset of children) might be a sequela to the colonization of the intestinal tract by one or more neuro toxin-producing bac-teria is novel, published data along several paths could lend credence to the notion that an alteration in colonic flora contributes to autism symptoms.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1111/j.1572-0241.2000.03247.x","","","","","","","","","","others have emphasized the possible impact of a number of postnatal factors ranging from environmental toxins to dietary factors, and a variety of infectious agents. of these, the possible relationship to casein and gluten intolerance (5), on one hand, and measles and mmr vaccination (6), on the other, have generated particular interest. as a consequence of the former, many of these children, who often already have a very limited diet because of highly selective eating patterns, are placed on casein and glutenfree diets, rendering an already precarious dietary intake even more so.","","","credits","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1111/j.1572-0241.2000.03247.x","","","","","","","","","","however, it is the possible association of autism with ileocolonic disease that has attracted the most attention. wakefield et al. first reported prominent ileal lymphoid nodular hyperplasia (lnh) and ileocolitis in an uncontrolled study of 12 autistic children and went on to speculate a link to mmr vaccination (6). the same group had previously postulated a similar link between measles, mmr, and inflammatory bowel disease in adults (11, 12).","","","describes","coci_wakefield_ret_intext_ref.csv"
"uses data from","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","we have recently described a characteristic pattern of intestinal inflammation in a cohort of children with developmental disorders (1). in these children, the majority of whom had autism, a period of initial normal development was followed by developmental regression and loss of acquired skills, sometimes occurring precipitously over a period of days to weeks.","","","uses data from","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","in these children, the majority of whom had autism, a period of initial normal development was followed by developmental regression and loss of acquired skills, sometimes occurring precipitously over a period of days to weeks. long-standing intestinal symptoms, as described previously (1), were typical of this group of children. these symptoms had often started at around the same time as the behavioral changes.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","in its persistent acquired form, ileal lnh has been reported in association with infection with human immunodeficiency virus (hiv) before the development of aids (10). 
the other consistent feature of the intestinal lesion was a mild-to-moderate colitis that lacked the specific diagnostic features of either crohn’s disease or ulcerative colitis (1). this combination of features, i.e., lnh and nonspecific colitis, indicates the possibility of chronic mucosal and/or systemic immune dysregulation.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"obtains background from","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","these immune changes, plus the presence of myelin basic protein (mbp) antibodies (15) and inhibition of macrophage migration to mbp (16), have led some workers to suggest that the behavioural syndrome may be associated with cerebral damage due to an autoimmune response to myelin or other structural components of the cns (15, 16). as part of our initial study (1) we undertook cerebral magnetic resonance imaging, eeg, and biochemical analysis of cerebrospinal fluid; none of these investigations indicated cerebral inflammation that would be consistent with autoimmune demyelination, although a more subtle lesion remains a possibility. alternatively, others have proposed that some forms of autism may arise from the toxic effects of intestinal products on the developing brain (17–19), a situation that may have some overlap with hepatic enephalopathy.","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"uses data from","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","this study involved the analysis of data from 60 consecutive children with developmental disorders (affected children) including those 12 children described in a preliminary report (1). the median age of the children was 6 yr (range 3–16 yr) and 53 were boys, consistent with the male bias of developmental disorders (20).","","","uses data from","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","all clinical investigations were undertaken with fully informed, written consent from the parents. the initial phase of these studies (1) was approved by the ethical practices committee of the royal free hampstead nhs trust. thereafter, children were investigated according to clinical need after a formal referral from each child’s general practitioner or consultant.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"obtains support from","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","lnh (not graded), red halo sign surrounding follicles (21), loss of vascular pattern, mucosal granularity, mucosal erythema, and presence of ulcer(s). these features, which are recognized correlates of associated histopathological abnormality, were noted previously to be characteristic of this patient group (1). these features were recorded both for cases and for non-ibd controls; the data are shown in figure 3.","","","obtains support from","coci_wakefield_ret_intext_ref.csv"
"obtains support from","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","the differences between biopsies from affected children and from both non-ibd controls and those with ulcerative colitis are significant (p 􏰌 0.001 and p 􏰌 0.01, respectively). qualitatively, ileal lymph nodes in those children with lnh showed marked expansion of lymphoid tissue in histological section, as described previously (1). follicle numbers per biopsy were increased from 2–3 follicles per biopsy in normal ileal biopsies to 4–5 per biopsy in those with lnh: follicles were confluent with loss of follicle-to-follicle demarcation.","","","obtains support from","coci_wakefield_ret_intext_ref.csv"
"extends","discussion","","10.1111/j.1572-0241.2000.03248.x","results","","","","","","","","","these data both confirm and extend our original observations (1), and indicate a subtle and consistent pattern of intestinal pathology in this cohort of consecutively referred children. the combination of ileocolonic lnh and colitis in children with developmental disorders distinguished them from developmentally normal children with similar symptoms (including abdominal pain and constipation) in whom lnh and histopathological change were uncommon.","","","extends","coci_wakefield_ret_intext_ref.csv"
"credits","using the steps","","10.1177/001857870003501217","","","","","","","","","","wakefield and colleagues raised concerns about mmr vaccine leading to inflammatory bowel disease (ibd, eg, ulcerative colitis, crohn’s disease).41 wakefield’s theory is based on 12 people referred to a specialty service, even though no vaccine viruses were isolated from these patients.","","","credits","coci_wakefield_ret_intext_ref.csv"
"disputes","using the steps","","10.1177/001857870003501217","","","","","","","","","","this is the time when mmr vaccine is administered. the other “evidence” offered for an association between mmr and autism is wakefield’s inference that bowel problems could lead to decreased absorption of nutrients, permitting developmental disorders like autism.41 this case against mmr is based on speculation and events coinciding in time, no more.51,55–56","","","disputes","coci_wakefield_ret_intext_ref.csv"
"disputes","discussion","","10.1097/00006454-200012000-00002","","","","","","","","","","no case of inflammatory bowel disease or autism was detected during this long follow-up study comprising 3 million vaccine doses. this finding is important because were there an association with mmr vaccination after such a short interval as suggested, 45, 46 this prospective study design would undoubtedly have disclosed at least some cases.
some events were no doubt triggered by mmr vaccination.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"disputes","pathologies of “bonding”—the case of autism","","10.1002/1097-0355(200101/04)22:1<132::aid-imhj5>3.0.co;2-9","","","","","","","","","","indeed,the increasing incidence of autism during the last few decades may implicate environmental vectors (rimland, 1999). among those being most actively considered besides dietary factors (shattock & lowdon, 1991; whiteley, 1999), are rare autoimmune disorders that may arise from viruses (singh, warren, averett, & ghaziuddin, 1997; singh, lin, & yang, 1998) or perhaps even a hyperresponsiveness to early inoculations with certain vaccines (wakefield et al., 1998), although no convincing epidemiological data on that issue has ever been published. of course, with the overall low incidence of such iatrogenic problems, it will be difficult to verify the role of specific vectors in rigorous ways (fombonne, 1999).","","","disputes","coci_wakefield_ret_intext_ref.csv"
"obtains support from","discussion","","10.1080/1028415x.2001.11747348","","","","","","","","","","furthermore peptides can cross the blood-brain barrier (nyberg et al., 1989; banks and kastin, 1990; ermisch et al., 1993). a rather strong indication of this gut/brain connection is the regional nodular lymphadenitis reported in late onset autism (wakefield et al., 1998). 
transmitter abnormalities have been detected in autism, where one of the more robust findings is increased uptake of serotonin in blood platelets (i.e., review in gillberg and coleman, 1992), and two serotonin uptake stimulators have 
identified (reichelt et al., 1994; 1998).","","","obtains support from","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1177/175717740100200106","","","","","","","","","","in the past decade britain has seen this aspect become a major issue. the mumps, measles and rubella (mmr) vaccine uptake in britain fell by over 6% during the period mid-i997 to mid-1999 amid worries that it was linked to the development of autism and inflammatory bowel disease in children (wakefield et al 1998). a study of parental attitudes to immunisation conducted concurrently found a correlation between the decline in mothers' certainty about vaccine safety and uptake (cdsc 1999a).","","","credits","coci_wakefield_ret_intext_ref.csv"
"credits","discussion","","10.1046/j.1365-2141.2001.02543.x","","","","","","","","","","mrc ukall viii was associated with a significant number of fatal pneumonitis episodes (darbyshire et al, 1985) and the introduction of routine prophylaxis with oral cotrimoxazole resulted in a reduction in pneumocystis carinii pneumonitis, as in other trials. measles in the immune‐suppressed child causes an interstitial pneumonitis for which there is no effective treatment (gray et al, 1987; kernahan et al, 1987) and the introduction of routine childhood measles, mumps and rubella (mmr) immunization in 1988 has fortunately resulted in the virtual abolition of this devastating complication. however, the recent drop in uptake of mmr vaccine (wakefield et al, 1998; destafano et al, 2000) is of great concern, and immunization of siblings and social contacts remains extremely important if cases are to be avoided. there has also been a reduction in deaths owing to chickenpox and herpes simplex viruses with the standard management of passive immunization and acyclovir therapy.","","","credits","coci_wakefield_ret_intext_ref.csv"
"critiques","","","10.12968/pnur.2001.12.2.4447","","","","","","","","","","the evidence to support the continued use of mmr vaccine in its combined form is 
strong and compelling (taylor et al, 1999; patya et al, 2000). the case against is weak, based on small studies and inconclusive results (wakefield et al, 1998; montgomery et al, 1999). however, they form two sides of an ongoing argument as to whether mmr vaccine is linked to autism.","","","critiques","coci_wakefield_ret_intext_ref.csv"
"describes","vaccines cause autism","","10.1177/105984050101700105","","","","","","","","","","therefore, a close temporal association could be expected. wakefield, murch, anthony, and linnell (1998) published the only evidence that suggests a causal association between vaccines and autism. these investigators proposed that the mmr vaccine was responsible for bowel problems that could lead to autism.","","","describes","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1186/1471-2458-1-2","related work","","","","","","","","","in 1998 a link was suggested between mumps-measles-rubella (mmr) vaccination and autism [7]. this was based on an uncontrolled case series of 12 children referred to a paediatric gastroenterology unit with a history of normal development followed by loss of acquired skills, including language, together with diarrhoea and abdominal pain.","","","describes","coci_wakefield_ret_intext_ref.csv"
"obtains background from","","","10.12968/bjcn.2001.6.4.7093","","","","","","","","","","if this is so, however, it is depressing to read of primary health-care professionals’ lack of knowledge of the contraindications to the measles, mumps and rubella combined vaccine (mmr) (harris, 2001). this confirms findings from a study in north wales of gps’, health visitors’ and practice nurses’ (pns’) attitudes to mmr vaccine (petrovic et al, 2001) conducted shortly after the publication of wakefield et al’s (1998) emotive article. the study showed that a significant minority of health professionals, especially pns, were ambivalent about the second dose mmr.","","","obtains background from","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1097/00041444-200106000-00008","","","","","","","","","","furthermore, converging lines of evidence from neuropsychological žminshew et al., 1997., brain imaging žpiven et al., 1996., and oculomotor studies žminshew and goldstein, 1998; minshew et al., 1999., coupled with the high frequency of seizures and abnormal electroencephalogram žeeg. recordings, strongly point toward altered neuronal wiring at the neocortical level in autistic patients. moreover, neuropsychiatric symptoms in autism are accompanied to a variable degree by altered cell-mediated immune responses žvan gent et al., 1997; comi et al., 1999., possibly leading to a recently described form of inflammatory bowel disease žwakefield et al., 1998, 2000.. 
the plasminogen􏰈plasmin fibrinolytic system, besides dissolving blood clots and contributing to the pathogenesis of thrombotic disorders, also participates in a variety of normal and pathological cellular processes, including embryonic development, cancer, and synaptic function žfor a review, see carmeliet and collen, 1996..","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","","","10.1034/j.1600-0447.2001.00086.x","introduction","","","","","","","","","this is supported by the clinical findings of epilepsy occurring in about 20% of patients with infantile autism before 30 years of age (5), mental retardation occurring in about 75% of cases (6) and the co‐occurrence of autism and various neurological diseases. the specific aetiology in most cases is unknown and several aetiological factors have been proposed, e.g. genes, viruses (7, 8), measles‐containing vaccines (9) and obstetric complications (10).
the involvement of genetic factors in infantile autism based on family and twin studies is well established.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"describes","discussion","","10.1111/j.1572-0241.2001.03943.x","","","","","","","","","","previous studies have also alluded to an increased risk of schizophrenia in ibd, possibly related to the consumption of corticosteroids and their action on the central nervous system (35–37). wakefield et al. have recently reported a frequent association between autism and a form of idiopathic terminal ileitis (38, 39). other possible explanations for these associations could be sought.","","","describes","coci_wakefield_ret_intext_ref.csv"
"describes","autism, pervasive developmental disorders, and autistic enterocolitis","","10.1097/00001574-200107000-00009","","","","","","","","","","gastrointestinal symptoms, such as diarrhea, constipation, and abdominal distension appear to be common in autistic children. recently, wakefield et al. [4] proposed a possible association of autism and ibd, based on an uncontrolled study of 12 autistic children. they reported prominent ileal lymphoid hyperplasia and ileocolitis in this initial study.","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1093/pch/6.6.387","","","","","","","","","","in 1998, andrew wakefield and colleagues (1) published a report in which the administration of measles-mumps-rubella (mmr) vaccine to young children was hypothesized to precipitate chronic inflammatory bowel disease that could lead to autism. the proposed mechanism through which this disease process was thought to occur is as follows: mmr vaccine may produce ileal-lymphoid-nodular hyperplasia, a nonspecific colitis; and the colitis may induce either malabsorption of vitamins or micronutrients, or an increase in intestinal permeability to protein, eventually giving rise to the formation of autoantibodies that are deleterious to brain tissue or other organs","","","discusses","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1093/pch/6.6.387","","","","","","","","","","three other children without autism, but with behavioural difficulties, were also included. since the wakefield et al report (1) was published, it has resulted in significant controversy in the medical community, the lay press, the general public and the united states congress.
the association among mmr immunization, inflammatory bowel disease and autism described by wakefield and colleagues (1) could be coincidental, causal or an interaction related to another unknown event.","","","credits","coci_wakefield_ret_intext_ref.csv"
"qualifies","","","10.1093/pch/6.6.387","","","","","","","","","","since the wakefield et al report (1) was published, it has resulted in significant controversy in the medical community, the lay press, the general public and the united states congress.
the association among mmr immunization, inflammatory bowel disease and autism described by wakefield and colleagues (1) could be coincidental, causal or an interaction related to another unknown event. to determine whether a relationship is likely to be causal, the following criteria are generally assessed: the strength of the association; consistency in studies conducted in different populations and by different investigators; specificity; whether events are temporarily clustered in time after an exposure; biological gradient; plausibility (although its absence does not rule out a causal association); coherence; supportive experimental evidence; and, finally, analogies with other illnesses (2).","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1093/pch/6.6.387","","","","","","","","","","to determine whether a relationship is likely to be causal, the following criteria are generally assessed: the strength of the association; consistency in studies conducted in different populations and by different investigators; specificity; whether events are temporarily clustered in time after an exposure; biological gradient; plausibility (although its absence does not rule out a causal association); coherence; supportive experimental evidence; and, finally, analogies with other illnesses (2).
causality could not be shown in the wakefield et al report (1) because of the small numbers of children studied, selection bias from a highly specialized gastroenterology clinic, recall bias of the timing of symptom onset by parents and the lack of a control group. a subsequent report by wakefield and colleagues (2), involving additional numbers of affected children along with a control group, also had a number of methodological flaws that precluded its ability to support a causal association (3).","","","disputes","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1093/pch/6.6.387","","","","","","","","","","a subsequent report by wakefield and colleagues (2), involving additional numbers of affected children along with a control group, also had a number of methodological flaws that precluded its ability to support a causal association (3).
since the initial report by wakefield et al (1) was released, a number of studies that addressed whether the hypothesized association between mmr and autism has scientific merit have been published.
the national board of health and national public health institute of finland (4) reviewed 14 years of data collected on adverse events related to mmr vaccination of 1.8 million children (involving approximately three million vaccine doses) and did not find a single case similar to those described by wakefield and colleagues (1).","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1093/pch/6.6.387","","","","","","","","","","since the initial report by wakefield et al (1) was released, a number of studies that addressed whether the hypothesized association between mmr and autism has scientific merit have been published.
the national board of health and national public health institute of finland (4) reviewed 14 years of data collected on adverse events related to mmr vaccination of 1.8 million children (involving approximately three million vaccine doses) and did not find a single case similar to those described by wakefield and colleagues (1). 
taylor et al (5) reviewed 498 cases of autism among children born since 1979 and did not find an epidemiological link with mmr vaccine administration.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","mmr vaccine","","10.12968/pnur.2001.12.8.4390","","","","","","","","","","recent alarms about an association between inflammatory bowel disease and the combined mmr vaccine and the consequent development of autism have led some parents to choose single-antigen vaccines for their children. however, after careful review of the article in which wakefield and montgomery raised concerns about this issue (wakefield et al, 1998), both the joint committee on vaccination and immunisation and the committee on safety of medicines have ‘unequivocally rejected the allegations made in the article and the calls for the provision of single antigen vaccines’ (public health laboratory service, 2001; medicines control agency, 2001). 
adverse reactions to the mmr vaccine occur more commonly after the first injection.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"credits","immunizations","","10.1097/00008480-200108000-00016","","","","","","","","","","two recent examples highlight the issues surrounding vaccine safety. in 1998, wakefield et al. [28] postulated an association between the mmr vaccine and the development of autism based on a series of only 12 children. subsequently, extensive media coverage increased public concern and led to a decline in the level of mmr coverage in parts of the united kingdom [29].","","","credits","coci_wakefield_ret_intext_ref.csv"
"describes","vaccines and autism  ","","10.1097/00006454-200109000-00013","","","","","","","","","","it is in these cases of regressive autism that, at least theoretically, a biologically plausible link with immunization could be made. 
the hypothesis that the mmr vaccine may cause autism received considerable attention with the publication of a report by wakefield et al.2 describing 12 patients with inflammatory bowel conditions and regressive developmental disorders, primarily autism. the authors hypothesized that the mmr vaccine could have been responsible for the bowel dysfunction, which resulted in the malabsorption of essential nutrients that subsequently led to the neurodevelopmental disorders.","","","describes","coci_wakefield_ret_intext_ref.csv"
"disputes","safety of vaccines","","10.1056/nejmra011223","","","","","","","","","","overall, there is no firm scientific or clinical evidence that the administration of any vaccine causes a specific allergy, asthma, autism, multiple sclerosis, or the sudden infant death syndrome. a widely cited report claimed an association between vaccination 
against measles (usually with measles, mumps, and rubella vaccine) and the subsequent occurrence of inflammatory bowel disease or autism.12 at least 10 studies13,14 found no evidence to substantiate such an association.","","","disputes","coci_wakefield_ret_intext_ref.csv"
